# REFUSED ('double', 64, 32, 512): relsd 0.1530 > 0.10
# REFUSED ('double', 64, 64, 128): relsd 0.2138 > 0.10
# REFUSED ('double', 64, 64, 512): relsd 0.1078 > 0.10
# REFUSED ('double', 128, 32, 128): relsd 0.2104 > 0.10
# REFUSED ('double', 512, 16, 32): relsd 0.2658 > 0.10
# REFUSED ('cfloat', 256, 32, 128): relsd 0.4179 > 0.10
# REFUSED ('cfloat', 256, 32, 256): relsd 0.1064 > 0.10
# REFUSED ('cdouble', 64, 16, 256): relsd 0.2576 > 0.10
# REFUSED ('cdouble', 64, 128, 512): relsd 0.1579 > 0.10
# REFUSED ('cdouble', 128, 32, 512): relsd 0.1803 > 0.10
# REFUSED ('cdouble', 512, 32, 128): relsd 0.1066 > 0.10
# REFUSED ('cfloat', 128, 32, 1024): relsd 0.1122 > 0.10
# REFUSED ('cfloat', 128, 32, 2048): relsd 0.1030 > 0.10
# REFUSED ('cfloat', 128, 64, 1024): relsd 0.1420 > 0.10
# 135 cells paired across all four sweeps
type,n,nrhs,batch,nat_p1,ven_p1,r_p1,nat_p2,ven_p2,r_p2,QUOTED,spread_nat,spread_ven
cfloat,128,128,512,1.5864,2.1819,1.3754,1.5805,2.1722,1.3744,1.3744,1.0037,1.0045
cfloat,128,128,1024,3.3332,5.7959,1.7388,3.3384,5.1714,1.5491,1.5491,1.0016,1.1208
cfloat,128,128,2048,6.7752,18.0016,2.6570,6.7969,16.2698,2.3937,2.3937,1.0032,1.1064
cfloat,128,128,4096,13.3330,42.7245,3.2044,13.3431,39.3575,2.9497,2.9497,1.0008,1.0855
cfloat,256,64,1024,4.3795,5.5555,1.2685,4.3814,5.5678,1.2708,1.2685,1.0004,1.0022
cfloat,256,64,2048,8.8895,15.1523,1.7045,8.8949,14.2781,1.6052,1.6052,1.0006,1.0612
cfloat,256,64,4096,17.8559,40.8822,2.2896,17.8595,40.7176,2.2799,2.2799,1.0002,1.0040
cfloat,256,128,512,3.9124,6.0557,1.5478,3.9113,6.0979,1.5590,1.5478,1.0003,1.0070
cfloat,256,128,1024,7.9918,13.9330,1.7434,8.0062,13.9747,1.7455,1.7434,1.0018,1.0030
cfloat,256,128,2048,16.2010,43.2295,2.6683,16.2245,40.3286,2.4857,2.4857,1.0015,1.0719
