op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,flag,foreign
getrs,float,256,64,32,1.3685,1.3683,0.0007,196.15,4.152e-07,0,vendor:auto|vendor:auto,4.456e-07,252,ok,0
getrs,float,256,64,128,1.4103,1.4104,0.0010,761.38,4.531e-07,0,vendor:auto|vendor:auto,3.046e-07,246,ok,0
getrs,float,256,64,256,1.5822,1.5821,0.0006,1357.28,4.595e-07,0,vendor:auto|vendor:auto,2.661e-07,251,ok,0
getrs,float,256,64,512,1.9843,1.9842,0.0010,2164.46,4.787e-07,0,vendor:auto|vendor:auto,3.521e-07,251,ok,0
getrs,float,256,128,32,2.5345,2.5363,0.0024,211.83,4.152e-07,0,vendor:auto|vendor:auto,4.456e-07,252,ok,0
getrs,float,256,128,128,2.6995,2.7000,0.0008,795.50,4.956e-07,0,vendor:auto|vendor:auto,3.046e-07,246,ok,0
getrs,float,256,128,256,3.0395,3.0394,0.0011,1413.06,4.595e-07,0,vendor:auto|vendor:auto,2.661e-07,251,ok,0
getrs,float,256,128,512,4.0117,4.0125,0.0013,2141.21,4.787e-07,0,vendor:auto|vendor:auto,3.521e-07,251,ok,0
getrs,float,512,16,32,0.9157,0.9153,0.0019,293.14,5.742e-07,0,vendor:auto|vendor:auto,4.372e-07,504,ok,0
getrs,float,512,16,128,1.1278,1.1278,0.0011,952.04,5.456e-07,0,vendor:auto|vendor:auto,3.907e-07,503,ok,0
getrs,float,512,16,256,1.3200,1.3207,0.0026,1626.85,6.079e-07,0,vendor:auto|vendor:auto,4.773e-07,504,ok,0
getrs,float,512,16,512,1.7895,1.7898,0.0011,2400.14,5.441e-07,0,vendor:auto|vendor:auto,4.133e-07,505,ok,0
getrs,float,512,32,32,1.6128,1.6131,0.0005,332.88,5.330e-07,0,vendor:auto|vendor:auto,4.372e-07,504,ok,0
getrs,float,512,32,128,1.7735,1.7742,0.0012,1210.89,5.454e-07,0,vendor:auto|vendor:auto,3.907e-07,503,ok,0
getrs,float,512,32,256,2.0458,2.0526,0.0069,2099.39,6.083e-07,0,vendor:auto|vendor:auto,4.773e-07,504,ok,0
getrs,float,512,32,512,2.7303,2.7315,0.0054,3146.19,5.437e-07,0,vendor:auto|vendor:auto,4.133e-07,505,ok,0
getrs,float,512,64,32,2.7976,2.7983,0.0010,383.81,4.980e-07,0,vendor:auto|vendor:auto,4.372e-07,504,ok,0
getrs,float,512,64,128,3.0220,3.0218,0.0009,1421.22,5.454e-07,0,vendor:auto|vendor:auto,3.907e-07,503,ok,0
getrs,float,512,64,256,3.4656,3.4651,0.0016,2478.59,6.083e-07,0,vendor:auto|vendor:auto,4.773e-07,504,ok,0
getrs,float,512,64,512,4.8025,4.8030,0.0010,3577.27,5.437e-07,0,vendor:auto|vendor:auto,4.133e-07,505,ok,0
getrs,float,512,128,32,5.1911,5.1911,0.0010,413.69,4.782e-07,0,vendor:auto|vendor:auto,4.372e-07,504,ok,0
getrs,float,512,128,128,5.6234,5.6216,0.0008,1527.54,5.454e-07,0,vendor:auto|vendor:auto,3.907e-07,503,ok,0
getrs,float,512,128,256,6.5812,6.5801,0.0006,2610.43,6.083e-07,0,vendor:auto|vendor:auto,4.773e-07,504,ok,0
getrs,float,512,128,512,10.5587,10.5603,0.0013,3254.16,5.437e-07,0,vendor:auto|vendor:auto,4.133e-07,505,ok,0
getrs,float,1024,16,32,2.0884,2.0889,0.0010,514.14,7.495e-07,0,vendor:auto|vendor:auto,5.042e-07,1012,ok,0
getrs,float,1024,16,128,2.6058,2.6072,0.0022,1648.21,6.298e-07,0,vendor:auto|vendor:auto,7.493e-07,1019,ok,0
getrs,float,1024,16,256,3.3122,3.3126,0.0003,2593.45,7.716e-07,0,vendor:auto|vendor:auto,6.985e-07,1014,ok,0
getrs,float,1024,16,512,4.9134,4.9439,0.0157,3496.55,6.677e-07,0,vendor:auto|vendor:auto,6.201e-07,1015,ok,0
getrs,float,1024,32,32,3.4912,3.4918,0.0011,615.11,7.495e-07,0,vendor:auto|vendor:auto,5.042e-07,1012,ok,0
getrs,float,1024,32,128,4.0275,4.0248,0.0038,2132.82,6.474e-07,0,vendor:auto|vendor:auto,7.493e-07,1019,ok,0
getrs,float,1024,32,256,5.1950,5.1885,0.0048,3307.00,7.711e-07,0,vendor:auto|vendor:auto,6.985e-07,1014,ok,0
getrs,float,1024,32,512,7.5834,7.5807,0.0013,4530.94,6.982e-07,0,vendor:auto|vendor:auto,6.201e-07,1015,ok,0
getrs,float,1024,64,32,5.8783,5.8797,0.0013,730.65,7.495e-07,0,vendor:auto|vendor:auto,5.042e-07,1012,ok,0
getrs,float,1024,64,128,6.5881,6.5884,0.0010,2607.72,6.744e-07,0,vendor:auto|vendor:auto,7.493e-07,1019,ok,0
getrs,float,1024,64,256,7.9277,7.9261,0.0008,4334.14,8.037e-07,0,vendor:auto|vendor:auto,6.985e-07,1014,ok,0
getrs,float,1024,64,512,12.8044,12.8011,0.0015,5366.85,8.728e-07,0,vendor:auto|vendor:auto,6.201e-07,1015,ok,0
getrs,float,1024,128,32,10.6473,10.6532,0.0019,806.77,7.495e-07,0,vendor:auto|vendor:auto,5.042e-07,1012,ok,0
getrs,float,1024,128,128,11.8640,11.8657,0.0005,2896.14,6.131e-07,0,vendor:auto|vendor:auto,7.493e-07,1019,ok,0
getrs,float,1024,128,256,14.9796,14.9804,0.0009,4587.53,8.236e-07,0,vendor:auto|vendor:auto,6.985e-07,1014,ok,0
getrs,float,1024,128,512,26.6987,27.9327,0.0512,5147.77,6.678e-07,0,vendor:auto|vendor:auto,6.201e-07,1015,ok,0
getrs,double,64,16,32,0.1597,0.1597,0.0020,26.27,7.785e-16,0,vendor:auto|vendor:auto,6.699e-16,58,ok,0
getrs,double,64,16,128,0.1586,0.1587,0.0010,105.77,6.758e-16,0,vendor:auto|vendor:auto,9.938e-16,57,ok,0
getrs,double,64,16,256,0.1607,0.1607,0.0011,208.83,6.707e-16,0,vendor:auto|vendor:auto,1.017e-15,59,ok,0
getrs,double,64,16,512,0.2133,0.2133,0.0009,314.63,9.011e-16,0,vendor:auto|vendor:auto,6.987e-16,59,ok,0
getrs,double,64,32,32,0.2282,0.2284,0.0036,36.77,6.758e-16,0,vendor:auto|vendor:auto,6.699e-16,58,ok,0
getrs,double,64,32,128,0.2308,0.2312,0.0076,145.40,6.758e-16,0,vendor:auto|vendor:auto,9.938e-16,57,ok,0
getrs,double,64,32,256,0.2827,0.2828,0.0015,237.36,6.744e-16,0,vendor:auto|vendor:auto,1.017e-15,59,ok,0
getrs,double,64,32,512,0.4005,0.4393,0.1530,335.15,9.011e-16,0,vendor:auto|vendor:auto,6.987e-16,59,ok,0
getrs,double,64,64,32,0.3688,0.3689,0.0019,45.49,6.758e-16,0,vendor:auto|vendor:auto,6.699e-16,58,ok,0
getrs,double,64,64,128,0.4224,0.4668,0.2138,158.88,6.758e-16,0,vendor:auto|vendor:auto,9.938e-16,57,ok,0
getrs,double,64,64,256,0.5386,0.5387,0.0010,249.18,5.972e-16,0,vendor:auto|vendor:auto,1.017e-15,59,ok,0
getrs,double,64,64,512,0.7756,0.8030,0.1078,346.09,9.011e-16,0,vendor:auto|vendor:auto,6.987e-16,59,ok,0
getrs,double,64,128,32,0.6447,0.6444,0.0009,52.05,6.758e-16,0,vendor:auto|vendor:auto,6.699e-16,58,ok,0
getrs,double,64,128,128,0.8174,0.8175,0.0006,164.20,8.026e-16,0,vendor:auto|vendor:auto,9.938e-16,57,ok,0
getrs,double,64,128,256,1.0536,1.0545,0.0018,254.77,7.987e-16,0,vendor:auto|vendor:auto,1.017e-15,59,ok,0
getrs,double,64,128,512,1.5325,1.5653,0.0659,350.32,9.011e-16,0,vendor:auto|vendor:auto,6.987e-16,59,ok,0
getrs,double,128,16,32,0.3248,0.3251,0.0033,51.66,1.111e-15,0,vendor:auto|vendor:auto,1.085e-15,125,ok,0
getrs,double,128,16,128,0.3470,0.3471,0.0014,193.39,1.000e-15,0,vendor:auto|vendor:auto,1.117e-15,122,ok,0
getrs,double,128,16,256,0.4423,0.4500,0.0484,303.43,1.111e-15,0,vendor:auto|vendor:auto,1.757e-15,119,ok,0
getrs,double,128,16,512,0.6751,0.6759,0.0031,397.64,1.006e-15,0,vendor:auto|vendor:auto,1.457e-15,116,ok,0
getrs,double,128,32,32,0.4923,0.4925,0.0027,68.16,1.111e-15,0,vendor:auto|vendor:auto,1.085e-15,125,ok,0
getrs,double,128,32,128,0.5253,0.5834,0.2104,255.53,1.000e-15,0,vendor:auto|vendor:auto,1.117e-15,122,ok,0
getrs,double,128,32,256,0.6840,0.6840,0.0010,392.46,1.111e-15,0,vendor:auto|vendor:auto,1.757e-15,119,ok,0
