# 120 paired cells
type,n,nrhs,batch,walk_p1,gather_p1,r_p1,walk_p2,gather_p2,r_p2,QUOTED,spread_walk,spread_gather
float,1024,4,256,1.4998,1.4947,1.0034,1.4995,1.4982,1.0009,1.0009,1.0002,1.0023
float,1024,16,256,5.0318,3.9677,1.2682,5.0468,3.9775,1.2688,1.2682,1.0030,1.0025
float,1024,32,256,4.5915,3.5309,1.3004,4.6029,3.5375,1.3012,1.3004,1.0025,1.0019
float,1024,64,256,5.2955,4.1567,1.2740,5.2920,4.1447,1.2768,1.2740,1.0007,1.0029
float,1024,128,256,11.3641,7.2696,1.5632,11.1577,7.0922,1.5732,1.5632,1.0185,1.0250

# ALL CELLS: 120  geomean 1.2026  min 0.9953  max 2.7873  below 1.00: 28
# worst cell: ('double', 128, 1, 4096) = 0.9953
#   float     30 cells  geomean 1.3561  (0.9964 - 2.7873)
#   double    30 cells  geomean 1.1329  (0.9953 - 1.6955)
#   cfloat    30 cells  geomean 1.2963  (0.9970 - 2.0707)
#   cdouble   30 cells  geomean 1.0501  (0.9986 - 1.2610)
#   nrhs=1     20 cells  geomean 0.9993  (0.9953 - 1.0031)
#   nrhs=4     20 cells  geomean 0.9997  (0.9964 - 1.0027)
#   nrhs=16    20 cells  geomean 1.1182  (1.0004 - 1.2941)
#   nrhs=32    20 cells  geomean 1.2148  (1.0141 - 1.4482)
#   nrhs=64    20 cells  geomean 1.4171  (1.0295 - 2.2392)
#   nrhs=128   20 cells  geomean 1.5728  (1.0411 - 2.7873)
# cross-pass median spread 1.0017  worst 1.0250  above 1.10: 0 of 240
