# REFUSED ('float', 64, 2, 8192): relsd 0.417 > 0.10
# 59 paired cells
type,n,nrhs,batch,walk_p1,gather_p1,r_p1,walk_p2,gather_p2,r_p2,QUOTED,spread_walk,spread_gather
float,512,24,1024,6.8992,6.1121,1.1288,6.8996,6.1182,1.1277,1.1277,1.0001,1.0010
float,1024,2,256,1.3144,1.3127,1.0013,1.3102,1.3115,0.9990,0.9990,1.0032,1.0009
float,1024,8,256,1.8510,1.8547,0.9980,1.8532,1.8554,0.9988,0.9980,1.0012,1.0004
float,1024,24,256,7.8388,6.1777,1.2689,7.8399,6.1821,1.2682,1.2682,1.0001,1.0007

# ALL CELLS: 59  geomean 1.0491  min 0.9963  max 1.3414  below 1.00: 22
# worst cell: ('double', 512, 2, 1024) = 0.9963
#   float     14 cells  geomean 1.0781  (0.9980 - 1.3160)
#   double    15 cells  geomean 1.0325  (0.9963 - 1.1333)
#   cfloat    15 cells  geomean 1.0768  (0.9982 - 1.3414)
#   cdouble   15 cells  geomean 1.0126  (0.9980 - 1.0829)
#   nrhs=2     19 cells  geomean 0.9996  (0.9963 - 1.0026)
#   nrhs=8     20 cells  geomean 1.0011  (0.9980 - 1.0256)
#   nrhs=24    20 cells  geomean 1.1511  (1.0108 - 1.3414)
# cross-pass median spread 1.0008  worst 1.0161  above 1.10: 0 of 118
