name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,GFLOPS,Time (µs) / matrix
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,300,0.992373,0.00976673,17311.9,1.93823
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,230,1.30619,0.0410957,26305.2,2.55116
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,300,0.991793,0.00946072,17322,1.93709
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,230,1.30939,0.038988,26241,2.5574
