name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,GFLOPS,Time (µs) / matrix
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,183,1.64128,0.0452341,10467.3,3.20563
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,109,2.7563,0.0933421,12465.9,5.38339
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,183,1.64363,0.0472148,10452.4,3.21021
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,109,2.75349,0.102572,12478.6,5.37791
