name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,GFLOPS,Time (µs) / matrix
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,198,1.52123,0.0461381,11293.4,2.97115
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,115,2.61147,0.0920248,13157.2,5.10053
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,197,1.52371,0.0437205,11275,2.97601
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,116,2.6044,0.0997404,13193,5.08671
