type,side,route,n,q,batch,ms,sd_pct
float,Left,vendor,8,256,128,0.0237077,2.310797757690539
float,Left,vendor,8,1024,128,0.0343109,4.071155230553556
float,Left,vendor,8,4096,128,0.0763283,1.7027760345769525
float,Left,vendor,8,256,512,0.0311443,2.5349839296436265
float,Left,vendor,8,1024,512,0.0733787,0.2472747541180206
float,Left,vendor,8,4096,512,0.250057,1.7321050800417506
float,Left,vendor,8,256,2048,0.0782531,2.5444231602326295
float,Left,vendor,8,1024,2048,0.253667,2.3994409994205004
float,Left,vendor,8,4096,2048,0.947838,0.46084035457536
float,Left,vendor,16,256,128,0.0283055,1.7179240783593295
float,Left,vendor,16,1024,128,0.0511532,1.2861443663348529
float,Left,vendor,16,4096,128,0.144592,0.39625082992143407
float,Left,vendor,16,256,512,0.0517852,2.9448761422182397
float,Left,vendor,16,1024,512,0.144803,0.38210948668190586
float,Left,vendor,16,4096,512,0.532423,0.6950188102317144
float,Left,vendor,16,256,2048,0.154372,4.425400979452232
float,Left,vendor,16,1024,2048,0.53764,1.4712874786102226
float,Left,vendor,16,4096,2048,2.03933,0.0351069223715632
float,Left,vendor,32,256,128,0.0378829,3.336544984676464
float,Left,vendor,32,1024,128,0.0973893,1.5742489164620754
float,Left,vendor,32,4096,128,0.347598,0.9549911104206583
float,Left,vendor,32,256,512,0.108593,4.9496928899652834
float,Left,vendor,32,1024,512,0.35198,1.0586766293539405
float,Left,vendor,32,4096,512,1.29886,1.1253175861909674
float,Left,vendor,32,256,2048,0.362051,3.868543382009717
float,Left,vendor,32,1024,2048,1.30846,1.199715696314752
float,Left,vendor,32,4096,2048,5.06156,0.33714111854843165
float,Left,vendor,64,256,128,0.0796351,2.8313268897759905
float,Left,vendor,64,1024,128,0.248867,1.1407739877123122
float,Left,vendor,64,4096,128,0.931514,0.3071462157305204
float,Left,vendor,64,256,512,0.25512,3.986555346503606
float,Left,vendor,64,1024,512,0.9392,0.2127853492333901
float,Left,vendor,64,4096,512,3.57966,0.02983439768022661
float,Left,vendor,64,256,2048,1.01303,0.4073512136856757
float,Left,vendor,64,1024,2048,3.59822,0.18044533130269969
float,Left,vendor,64,4096,2048,14.1377,0.06358757082127928
float,Left,vendor,128,256,128,0.167072,4.489184303773223
float,Left,vendor,128,1024,128,0.591655,1.122126915178609
float,Left,vendor,128,4096,128,2.30054,0.6097220652542447
float,Left,vendor,128,256,512,0.596209,1.9940155214027295
float,Left,vendor,128,1024,512,2.32607,0.16721766756804393
float,Left,vendor,128,4096,512,8.91215,0.18487794752108078
float,Left,vendor,128,256,2048,2.48914,0.380719445270254
float,Left,vendor,128,1024,2048,8.96503,0.11507713861526397
float,Left,vendor,256,256,128,0.365739,1.3108801631764728
float,Left,vendor,256,1024,128,1.52932,0.4351770721627913
