shape,route,pad,m,k,ms,rsd,gflops
inner,vendor,32,32,96,0.405388,1.56,7946.03
inner,vendor,64,32,96,0.435918,1.32,7389.52
inner,vendor,128,32,96,0.428213,1.65,7522.48
inner,vendor,129,32,96,0.616342,1.21,5226.36
inner,vendor,132,32,96,0.594234,1.35,5420.8
inner,vendor,256,32,96,0.430011,1.62,7491.04
inner,vendor,384,32,96,0.439395,1.5,7331.05
inner,vendor,512,32,96,0.433637,1.42,7428.4
outer,native,0,128,128,0.984261,0.88,17454.6
outer,native,1,128,128,1.8737,2.58,9168.95
outer,native,2,128,128,1.89571,2.55,9062.52
outer,native,3,128,128,1.88815,2.46,9098.8
outer,native,4,128,128,1.04358,3.69,16462.4
outer,native,5,128,128,1.91894,2.71,8952.81
outer,native,6,128,128,1.93084,2.6,8897.61
outer,native,7,128,128,1.93595,2.55,8874.13
outer,native,8,128,128,1.03343,3.46,16624.1
outer,native,10,128,128,1.88898,2.67,9094.78
outer,native,12,128,128,1.07321,3.75,16008.0
outer,native,16,128,128,1.04918,3.61,16374.6
outer,native,20,128,128,1.09784,3.69,15648.9
outer,native,24,128,128,1.11141,3.62,15457.8
outer,native,32,128,128,1.12732,3.63,15239.5
outer,native,48,128,128,1.23307,3.49,13932.6
outer,native,64,128,128,1.22474,3.54,14027.3
outer,native,96,128,128,1.34721,3.25,12752.2
outer,native,128,128,128,1.46548,3.11,11723.1
outer,native,129,128,128,1.89183,2.52,9081.06
outer,native,130,128,128,1.88974,2.72,9091.13
outer,native,132,128,128,1.50433,3.07,11420.3
outer,native,192,128,128,1.41552,3.2,12136.8
outer,native,256,128,128,1.52371,2.87,11275.0
outer,native,384,128,128,1.54742,3.08,11102.2
outer,native,512,128,128,1.64363,2.87,10452.4
outer,vendor,0,128,128,0.927057,0.88,18531.6
outer,vendor,1,128,128,0.928921,0.98,18494.4
outer,vendor,2,128,128,0.937292,0.98,18329.3
outer,vendor,3,128,128,0.960024,0.96,17895.2
outer,vendor,4,128,128,0.950575,0.92,18073.1
outer,vendor,8,128,128,0.962034,0.9,17857.9
outer,vendor,16,128,128,1.00613,0.87,17075.2
outer,vendor,32,128,128,0.958987,0.89,17914.6
outer,vendor,64,128,128,0.940589,1.01,18265.0
outer,vendor,128,128,128,0.936715,0.97,18340.6
outer,vendor,129,128,128,1.17776,3.19,14587.0
outer,vendor,132,128,128,1.14803,3.58,14964.6
outer,vendor,256,128,128,0.965964,0.94,17785.2
outer,vendor,384,128,128,0.961998,0.91,17858.5
outer,vendor,512,128,128,0.991793,0.95,17322.0
outer,native,0,128,256,2.38319,3.21,14417.5
outer,native,1,128,256,2.97504,3.17,11549.3
outer,native,2,128,256,3.00442,3.73,11436.4
outer,native,3,128,256,2.99513,3.43,11471.9
outer,native,4,128,256,2.24221,3.89,15324.1
outer,native,5,128,256,3.01893,3.49,11381.4
outer,native,6,128,256,3.04759,4.14,11274.4
outer,native,7,128,256,3.03886,3.86,11306.8
outer,native,8,128,256,2.34651,3.63,14642.9
outer,native,10,128,256,2.98742,3.75,11501.5
outer,native,12,128,256,2.26318,4.36,15182.1
outer,native,16,128,256,2.3358,4.7,14710.0
outer,native,20,128,256,2.27411,3.56,15109.1
outer,native,24,128,256,2.30159,4.21,14928.7
outer,native,32,128,256,2.24305,3.81,15318.3
outer,native,48,128,256,2.39575,4.59,14342.0
outer,native,64,128,256,2.3144,3.95,14846.0
outer,native,96,128,256,2.46714,4.04,13927.0
outer,native,128,128,256,2.55779,3.39,13433.4
outer,native,129,128,256,2.95728,4.3,11618.7
outer,native,130,128,256,2.93887,3.62,11691.5
outer,native,132,128,256,2.57627,4.24,13337.0
outer,native,192,128,256,2.42907,4.59,14145.2
outer,native,256,128,256,2.6044,3.83,13193.0
outer,native,384,128,256,2.74668,3.87,12509.5
outer,native,512,128,256,2.75349,3.73,12478.6
outer,vendor,0,128,256,1.261,3.06,27247.9
outer,vendor,1,128,256,1.269,3.39,27076.3
outer,vendor,2,128,256,1.27274,3.33,26996.7
