shape,route,beta,pad,m,n,k,batch,iters,ms,sd_ms,rsd_pct,gflops
inner,vendor,0,1,32,1024,96,512,300,0.383712,0.00685601,1.79,8394.91
inner,vendor,0,2,32,1024,96,512,300,0.38391,0.00610815,1.59,8390.58
inner,vendor,0,3,32,1024,96,512,300,0.389228,0.00618618,1.59,8275.93
inner,vendor,0,4,32,1024,96,512,300,0.3832,0.00584867,1.53,8406.12
inner,vendor,0,8,32,1024,96,512,300,0.377069,0.0065078,1.73,8542.79
inner,vendor,0,16,32,1024,96,512,300,0.373784,0.00630685,1.69,8617.89
inner,vendor,0,32,32,1024,96,512,300,0.353967,0.00747048,2.11,9100.35
inner,vendor,0,64,32,1024,96,512,300,0.383436,0.00638347,1.66,8400.95
inner,vendor,0,128,32,1024,96,512,300,0.369881,0.00693602,1.88,8708.81
inner,vendor,0,384,32,1024,96,512,300,0.374474,0.0077258,2.06,8602.01
inner,native,1,0,32,1024,96,512,300,0.490068,0.00625504,1.28,6573.01
inner,native,1,1,32,1024,96,512,262,1.14905,0.0365619,3.18,2803.38
inner,native,1,2,32,1024,96,512,270,1.11319,0.0323146,2.9,2893.68
inner,native,1,3,32,1024,96,512,252,1.19145,0.0367346,3.08,2703.61
inner,native,1,4,32,1024,96,512,240,1.25327,0.0378477,3.02,2570.25
inner,native,1,8,32,1024,96,512,300,0.95403,0.00878243,0.92,3376.44
inner,native,1,16,32,1024,96,512,300,0.486292,0.00620423,1.28,6624.05
inner,native,1,32,32,1024,96,512,300,0.477341,0.00634139,1.33,6748.28
inner,native,1,64,32,1024,96,512,300,0.529772,0.0068156,1.29,6080.4
inner,native,1,128,32,1024,96,512,300,0.735552,0.0090882,1.24,4379.33
inner,native,1,384,32,1024,96,512,300,0.954631,0.0327745,3.43,3374.31
inner,vendor,1,0,32,1024,96,512,300,0.416547,0.00619394,1.49,7733.16
inner,vendor,1,1,32,1024,96,512,300,0.417276,0.00687372,1.65,7719.65
inner,vendor,1,2,32,1024,96,512,300,0.422303,0.00612164,1.45,7627.76
inner,vendor,1,3,32,1024,96,512,300,0.426334,0.00661096,1.55,7555.64
inner,vendor,1,4,32,1024,96,512,300,0.444289,0.00686897,1.55,7250.29
inner,vendor,1,8,32,1024,96,512,300,0.439423,0.0202857,4.62,7330.58
inner,vendor,1,16,32,1024,96,512,300,0.471173,0.006816,1.45,6836.6
inner,vendor,1,32,32,1024,96,512,300,0.405388,0.00633421,1.56,7946.03
inner,vendor,1,64,32,1024,96,512,300,0.435918,0.00573321,1.32,7389.52
inner,vendor,1,128,32,1024,96,512,300,0.428213,0.00706072,1.65,7522.48
inner,vendor,1,384,32,1024,96,512,300,0.439395,0.00661258,1.5,7331.05
outer,native,0,0,128,1024,128,512,300,0.764372,0.00821525,1.07,22475.8
