2760 MHz, 69
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     0       0       0       0       100         0.020690    3.2485e-05  11906.      2432.6      1444.4      0.16164     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     1       0       0       0       100         0.023413    3.3246e-05  11707.      2149.7      1276.4      0.18292     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       0       0       100         0.13950     0.00015172  11906.      1443.3      856.95      0.27245     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     1       0       0       0       100         0.14365     0.00017733  11707.      1401.5      832.15      0.28057     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     0       0       0       0       100         0.040650    4.3043e-05  24701.      2579.5      1070.5      0.31758     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     1       0       0       0       100         0.056252    6.1471e-05  24615.      1864.1      773.59      0.43947     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       0       0       100         0.20805     0.00021056  24701.      2016.0      836.65      0.40635     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     1       0       0       0       100         0.23929     0.00031186  24615.      1752.8      727.44      0.46735     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     0       0       0       0       100         0.076730    0.00044336  49070.      2733.2      908.78      0.59945     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     1       0       0       0       100         0.15512     0.00029383  49483.      1352.0      449.54      1.2118      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     0       0       0       0       100         0.36223     0.0015248   49070.      2315.8      770.02      0.70747     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     1       0       0       0       100         0.60261     0.0065399   49483.      1392.1      462.86      1.1770      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      128     0       0       0       0       100         0.046238    6.9626e-05  23615.      2177.1      1292.7      0.36123     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      128     1       0       0       0       100         0.044475    3.7434e-05  23546.      2263.4      1343.9      0.34746     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      512     0       0       0       0       100         0.26762     0.00017084  23615.      1504.6      893.36      0.52269     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      512     1       0       0       0       100         0.27059     0.00020794  23546.      1488.1      883.54      0.52850     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     0       0       0       0       100         0.10525     0.00023147  49005.      1992.6      826.93      0.82224     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     1       0       0       0       100         0.12550     0.00054971  48901.      1671.0      693.48      0.98047     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      512     0       0       0       0       100         0.39799     0.00035013  49005.      2107.8      874.73      0.77732     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      512     1       0       0       0       100         0.44657     0.0023836   48901.      1878.5      779.57      0.87220     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      128     0       0       0       0       100         0.19777     0.00033468  98011.      2120.8      705.18      1.5450      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      128     1       0       0       0       100         0.33004     0.0010906   98451.      1270.8      422.56      2.5785      32768       16          
