2775 MHz, 58
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       0       100         0.16389     0.00013875  2501.8      76.778      179.16      0.32009     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       0       100         0.16422     0.00018825  4985.5      153.24      229.88      0.32074     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       512     0       0       1       0       100         0.16888     0.0010864   9973.2      298.03      322.87      0.32985     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       8       512     0       0       1       0       100         0.18559     0.00055843  19873.      542.39      474.60      0.36248     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       12      512     0       0       1       0       100         0.29831     0.011062    29814.      506.17      407.76      0.58263     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       25      512     0       0       1       0       100         0.62675     0.013323    61852.      501.91      368.07      1.2241      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       1       512     0       0       1       0       100         0.19939     0.00017566  4887.6      126.21      241.92      0.38944     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       2       512     0       0       1       0       100         0.20017     0.0011782   9761.0      251.44      282.88      0.39097     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       4       512     0       0       1       0       100         0.20587     0.00016289  19641.      488.96      356.54      0.40210     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       8       512     0       0       1       0       100         0.34121     0.00052801  38905.      590.04      313.46      0.66643     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       12      512     0       0       1       0       100         0.44349     0.00022944  58388.      680.94      316.83      0.86619     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       25      512     0       0       1       0       100         0.92582     0.0017162   1.2115e+05  679.55      269.56      1.8082      6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       1       512     0       0       1       0       100         0.22049     0.00016112  6451.2      152.18      275.83      0.43065     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       2       512     0       0       1       0       100         0.22105     0.00019739  12868.      303.60      313.09      0.43173     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       4       512     0       0       1       0       100         0.25227     0.00025439  26001.      532.03      340.84      0.49272     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       8       512     0       0       1       0       100         0.40472     0.0013458   51482.      663.26      295.36      0.79047     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       12      512     0       0       1       0       100         0.56630     0.0024277   77230.      711.02      270.34      1.1061      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       25      512     0       0       1       0       100         1.2417      0.0016905   1.6035e+05  675.55      211.11      2.4253      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      1       512     0       0       1       0       100         0.25550     0.00015029  9653.9      196.99      336.54      0.49902     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      2       512     0       0       1       0       100         0.25523     0.0010694   19228.      394.41      369.76      0.49849     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      4       512     0       0       1       0       100         0.33436     0.00071590  38811.      602.12      332.43      0.65305     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      8       512     0       0       1       0       100         0.56719     0.00028048  76690.      709.90      255.13      1.1078      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      12      512     0       0       1       0       100         0.80384     0.00085335  1.1521e+05  751.37      221.76      1.5700      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      25      512     0       0       1       0       100         1.6662      0.0016658   2.3951e+05  755.17      172.43      3.2544      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      1       512     0       0       1       0       100         0.27894     0.00013869  12665.      240.59      398.48      0.54480     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      2       512     0       0       1       0       100         0.28729     0.00031337  25335.      467.18      416.09      0.56112     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      4       512     0       0       1       0       100         0.40038     0.00025661  51255.      670.45      340.47      0.78199     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      8       512     0       0       1       0       100         0.71117     0.00043798  1.0142e+05  754.91      238.86      1.3890      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       1       0       100         1.0221      0.0010044   1.5242e+05  787.93      199.04      1.9962      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      512     0       0       1       0       100         2.0924      0.0019841   3.1682e+05  801.81      149.34      4.0868      16384       16          
2760 MHz, 66
