2760 MHz, 63
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       1       0       100         0.16525     0.0011698   1134.1      19.036      177.68      0.32276     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       1       0       100         0.16703     0.00019128  2210.6      37.667      226.02      0.32623     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       4       512     0       0       1       0       100         0.17337     0.00020007  4394.9      72.576      314.51      0.33862     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       8       512     0       0       1       0       100         0.25179     0.00016535  8677.2      99.949      349.83      0.49177     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       12      512     0       0       1       0       100         0.37550     0.0015481   13024.      100.53      323.94      0.73339     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       25      512     0       0       1       0       100         0.70712     0.013280    26970.      111.22      326.24      1.3811      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       1       512     0       0       1       0       100         0.20110     0.00019847  1921.5      31.285      239.86      0.39277     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       2       512     0       0       1       0       100         0.20300     0.00015585  3775.3      61.984      278.94      0.39649     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       4       512     0       0       1       0       100         0.27515     0.00019559  7616.2      91.464      266.78      0.53739     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       8       512     0       0       1       0       100         0.44734     0.00021417  15100.      112.51      239.09      0.87372     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       12      512     0       0       1       0       100         0.62467     0.00022036  22678.      120.86      224.94      1.2201      6144        6           
