type,tag,m,n,k,batch,beta,pad,arm,reps,median_ms,min_ms,max_ms,rel_spread,worst_within_run_rsd
cdouble,P_k136,1024,1024,136,128,0,0,vendor,2,126.99700,126.99700,127.42300,0.0034,0.0014
cdouble,P_k136,1024,1024,136,128,0,0,wide,2,114.47600,114.47600,114.80600,0.0029,0.0024
cdouble,P_k136,1024,1024,136,128,0,384,auto,2,374.65500,374.65500,375.53700,0.0024,0.0011
cdouble,P_k136,1024,1024,136,128,0,384,vendor,2,126.39200,126.39200,126.68100,0.0023,0.0019
cdouble,P_k136,1024,1024,136,128,0,384,wide,2,113.95300,113.95300,114.57600,0.0055,0.0021
cdouble,P_k136,1024,1024,136,128,1,0,auto,2,375.57600,375.57600,375.59900,0.0001,0.0008
cdouble,P_k136,1024,1024,136,128,1,0,vendor,2,127.75300,127.75300,128.16900,0.0033,0.0004
cdouble,P_k136,1024,1024,136,128,1,0,wide,2,114.59500,114.59500,114.60800,0.0001,0.0020
cdouble,P_k136,1024,1024,136,128,1,384,auto,2,374.41600,374.41600,375.08600,0.0018,0.0011
cdouble,P_k136,1024,1024,136,128,1,384,vendor,2,127.41100,127.41100,127.65800,0.0019,0.0013
cdouble,P_k136,1024,1024,136,128,1,384,wide,2,114.01400,114.01400,114.19600,0.0016,0.0021
cdouble,P_k32,1024,1024,32,128,0,0,auto,2,92.23720,92.23720,92.46750,0.0025,0.0028
cdouble,P_k32,1024,1024,32,128,0,0,vendor,2,29.45670,29.45670,29.61890,0.0055,0.0018
cdouble,P_k32,1024,1024,32,128,0,0,wide,2,27.35390,27.35390,27.41780,0.0023,0.0073
cdouble,P_k32,1024,1024,32,128,0,384,auto,2,92.01770,92.01770,92.25050,0.0025,0.0031
cdouble,P_k32,1024,1024,32,128,0,384,vendor,2,29.23830,29.23830,29.50720,0.0092,0.0069
cdouble,P_k32,1024,1024,32,128,0,384,wide,2,27.25460,27.25460,27.48210,0.0083,0.0091
cdouble,P_k32,1024,1024,32,128,1,0,auto,2,92.41350,92.41350,92.61210,0.0021,0.0029
cdouble,P_k32,1024,1024,32,128,1,0,vendor,2,30.33760,30.33760,30.36640,0.0009,0.0041
cdouble,P_k32,1024,1024,32,128,1,0,wide,2,27.42690,27.42690,27.58000,0.0056,0.0067
cdouble,P_k32,1024,1024,32,128,1,384,auto,2,91.95270,91.95270,92.40870,0.0050,0.0025
cdouble,P_k32,1024,1024,32,128,1,384,vendor,2,30.33470,30.33470,30.34470,0.0003,0.0034
cdouble,P_k32,1024,1024,32,128,1,384,wide,2,27.30940,27.30940,27.57900,0.0099,0.0057
cdouble,P_k64,1024,1024,64,128,0,0,auto,2,179.45600,179.45600,179.85100,0.0022,0.0015
cdouble,P_k64,1024,1024,64,128,0,0,vendor,2,57.39670,57.39670,57.40610,0.0002,0.0034
cdouble,P_k64,1024,1024,64,128,0,0,wide,2,52.33100,52.33100,52.45370,0.0023,0.0049
cdouble,P_k64,1024,1024,64,128,0,384,auto,2,178.77600,178.77600,179.27800,0.0028,0.0016
cdouble,P_k64,1024,1024,64,128,0,384,vendor,2,57.16620,57.16620,57.23630,0.0012,0.0036
cdouble,P_k64,1024,1024,64,128,0,384,wide,2,52.21580,52.21580,52.34940,0.0026,0.0049
