bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_v,geqrf,cdouble,160,160,2048,109.9602,109.9754,0.0024,101.72,2.377e-15,-1,-1,24576,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,160,160,2048,178.9252,178.9269,0.0001,62.51,2.240e-15,-1,-1,469762048,native:blocked,6080,ok
qrbench_v,geqrf,float,256,256,2048,121.4153,121.4663,0.0009,377.32,3.857e-07,-1,-1,24576,vendor:auto,24320,ok
qrbench_nv,geqrf,float,256,256,2048,21.6173,21.6172,0.0004,2119.27,6.324e-07,-1,-1,192937984,native:blocked,24320,ok
qrbench_v,geqrf,double,256,256,2048,228.6899,228.7911,0.0014,200.33,1.972e-15,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,double,256,256,2048,72.2536,72.2426,0.0005,634.06,2.020e-15,-1,-1,197132288,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,256,256,2048,227.0520,226.9830,0.0009,201.77,4.592e-07,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,256,256,2048,44.4005,44.4314,0.0009,1031.81,6.783e-07,-1,-1,385875968,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,256,256,2048,434.9410,435.1808,0.0021,105.33,2.055e-15,-1,-1,24576,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,256,256,2048,520.5722,520.7119,0.0007,88.01,2.772e-15,-1,-1,771751936,native:blocked,6080,ok
qrbench_v,geqrf,float,512,512,512,370.9158,370.8381,0.0004,247.03,5.034e-07,-1,-1,6144,vendor:auto,24320,ok
qrbench_nv,geqrf,float,512,512,512,30.4506,30.4537,0.0003,3009.00,9.556e-07,-1,-1,98566144,native:blocked,24320,ok
qrbench_v,geqrf,double,512,512,512,685.7765,685.8902,0.0003,133.61,4.148e-15,-1,-1,6144,vendor:auto,12160,ok
qrbench_nv,geqrf,double,512,512,512,101.4613,101.4628,0.0000,903.06,3.279e-15,-1,-1,99614720,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,512,512,512,560.7740,560.7760,0.0002,163.39,6.431e-07,-1,-1,6144,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,512,512,512,63.2074,63.3115,0.0022,1449.61,8.452e-07,-1,-1,197132288,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,512,512,512,1112.0835,1112.1500,0.0003,82.39,4.258e-15,-1,-1,6144,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,512,512,512,789.4671,789.4783,0.0001,116.06,3.864e-15,-1,-1,394264576,native:blocked,6080,ok
qrbench_v,geqrf,float,1024,1024,128,2112.0315,2111.9865,0.0000,86.77,6.388e-07,-1,-1,1536,vendor:auto,24320,ok
qrbench_nv,geqrf,float,1024,1024,128,51.4185,51.4128,0.0002,3563.93,1.408e-06,-1,-1,49807360,native:blocked,24320,ok
qrbench_v,geqrf,double,1024,1024,128,4290.9296,4290.9326,0.0000,42.71,3.905e-15,-1,-1,1536,vendor:auto,12160,ok
qrbench_nv,geqrf,double,1024,1024,128,169.8710,169.8706,0.0000,1078.77,6.183e-15,-1,-1,50069504,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,1024,1024,128,3428.6271,3428.5795,0.0001,53.45,8.686e-07,-1,-1,1536,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,1024,1024,128,108.8817,108.9507,0.0008,1683.04,1.398e-06,-1,-1,99614720,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,1024,1024,128,5993.9232,5993.9415,0.0000,30.57,5.023e-15,-1,-1,1536,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,1024,1024,128,1392.2119,1392.2076,0.0001,131.63,5.214e-15,-1,-1,199229440,native:blocked,6080,ok
qrbench_v,geqrf,float,2048,2048,32,21283.2330,21305.4202,0.0015,17.22,8.438e-07,-1,-1,1024,vendor:auto,24320,ok
qrbench_nv,geqrf,float,2048,2048,32,117.5756,117.5903,0.0002,3117.18,1.920e-06,-1,-1,25034752,native:blocked,24320,ok
qrbench_v,geqrf,double,2048,2048,32,30529.4264,30529.2224,0.0000,12.00,6.684e-15,-1,-1,1024,vendor:auto,12160,ok
qrbench_nv,geqrf,double,2048,2048,32,359.2709,359.2568,0.0001,1020.13,5.865e-15,-1,-1,25100288,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,2048,2048,32,24888.3385,24888.3523,0.0000,14.73,1.093e-06,-1,-1,1024,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,2048,2048,32,242.4552,242.4496,0.0001,1511.64,1.951e-06,-1,-1,50069504,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,2048,2048,32,41947.1652,41946.3851,0.0001,8.74,5.660e-15,-1,-1,1024,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,2048,2048,32,2815.9499,2815.9661,0.0000,130.15,5.718e-15,-1,-1,100139008,native:blocked,6080,ok
qrbench_v,orgqr,float,32,32,8192,462.4067,473.8399,0.0604,0.77,2.421e-07,8.054e-07,3.952e-07,1119879168,vendor:auto,24320,ok
qrbench_nv,orgqr,float,32,32,8192,3.7523,3.7557,0.0014,95.38,2.760e-07,7.287e-07,3.110e-07,167772160,native:blocked,24320,ok
qrbench_v,orgqr,double,32,32,8192,481.9366,482.2089,0.0048,0.74,1.410e-15,1.252e-15,9.043e-16,2235564032,vendor:auto,12160,ok
qrbench_nv,orgqr,double,32,32,8192,4.2235,4.2236,0.0002,84.74,7.300e-16,1.283e-15,8.600e-16,184549376,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,32,32,8192,447.9141,452.4391,0.0320,0.80,3.775e-07,8.208e-07,4.266e-07,2235564032,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,32,32,8192,6.8821,6.8782,0.0008,52.01,5.824e-07,8.756e-07,4.085e-07,335544320,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,32,32,8192,850.2488,849.9817,0.0009,0.42,1.183e-15,1.772e-15,7.668e-16,4466933760,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,32,32,8192,68.7160,68.7160,0.0001,5.21,1.324e-15,1.791e-15,8.953e-16,671088640,native:blocked,6080,ok
qrbench_v,orgqr,float,64,64,8192,453.6928,452.6804,0.0085,6.31,2.503e-07,9.454e-07,4.125e-07,1220542464,vendor:auto,24320,ok
qrbench_nv,orgqr,float,64,64,8192,9.0491,9.0392,0.0015,316.42,3.937e-07,9.224e-07,4.111e-07,369098752,native:blocked,24320,ok
qrbench_v,orgqr,double,64,64,8192,788.7523,789.1883,0.0021,3.63,9.356e-16,2.158e-15,7.990e-16,2436890624,vendor:auto,12160,ok
qrbench_nv,orgqr,double,64,64,8192,13.1001,13.0997,0.0002,218.57,7.879e-16,1.574e-15,9.855e-16,486539264,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,64,64,8192,457.7604,460.9246,0.0163,6.26,3.835e-07,9.444e-07,4.980e-07,2436890624,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,64,64,8192,17.8409,17.8427,0.0004,160.49,3.031e-07,1.050e-06,4.163e-07,738197504,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,64,64,8192,1719.7067,1722.4271,0.0050,1.66,1.133e-15,2.313e-15,1.175e-15,4869586944,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,64,64,8192,163.5634,163.5647,0.0000,17.51,1.053e-15,2.111e-15,9.768e-16,1476395008,native:blocked,6080,ok
qrbench_v,orgqr,float,96,96,4096,295.2381,293.4422,0.0202,16.37,4.072e-07,1.498e-06,4.519e-07,727711744,vendor:auto,24320,ok
qrbench_nv,orgqr,float,96,96,4096,9.2069,9.2061,0.0004,524.81,3.932e-07,1.034e-06,3.619e-07,318767104,native:blocked,24320,ok
qrbench_v,orgqr,double,96,96,4096,682.1176,682.1038,0.0009,7.08,2.398e-15,2.900e-15,1.339e-15,1453326336,vendor:auto,12160,ok
qrbench_nv,orgqr,double,96,96,4096,14.6339,14.6395,0.0008,330.18,1.893e-15,2.008e-15,9.050e-16,461373440,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,96,96,4096,295.3904,295.5119,0.0024,16.36,3.879e-07,1.372e-06,6.768e-07,1453326336,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,96,96,4096,17.6831,17.6833,0.0007,273.25,3.043e-07,9.122e-07,4.582e-07,637534208,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,96,96,4096,1436.9810,1437.2684,0.0009,3.36,1.190e-15,3.998e-15,1.724e-15,2904555520,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,96,96,4096,178.0149,178.2406,0.0018,27.14,1.102e-15,3.044e-15,1.388e-15,1275068416,native:blocked,6080,ok
qrbench_v,orgqr,float,128,128,4096,261.1511,260.8765,0.0057,43.86,2.983e-07,2.112e-06,4.903e-07,1080033280,vendor:auto,24320,ok
qrbench_nv,orgqr,float,128,128,4096,15.3077,15.3073,0.0004,748.20,3.319e-07,1.190e-06,5.627e-07,486539264,native:blocked,24320,ok
qrbench_v,orgqr,double,128,128,4096,845.0535,845.0420,0.0006,13.55,1.893e-15,3.517e-15,1.207e-15,2157969408,vendor:auto,12160,ok
qrbench_nv,orgqr,double,128,128,4096,27.4552,27.4574,0.0002,417.16,1.629e-15,2.008e-15,1.337e-15,746586112,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,128,128,4096,315.7130,315.7515,0.0042,36.28,5.079e-07,2.032e-06,7.626e-07,2157969408,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,128,128,4096,29.6694,29.6750,0.0007,386.03,5.783e-07,9.977e-07,6.569e-07,973078528,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,128,128,4096,1757.9064,1759.7907,0.0026,6.52,2.318e-15,3.777e-15,1.981e-15,4313841664,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,128,128,4096,291.9670,291.9538,0.0014,39.23,1.663e-15,1.850e-15,1.462e-15,1946157056,native:blocked,6080,ok
qrbench_v,orgqr,float,160,160,2048,277.9005,278.2570,0.0019,40.25,3.098e-07,1.137e-06,4.709e-07,640679936,vendor:auto,24320,ok
qrbench_nv,orgqr,float,160,160,2048,11.9354,11.9344,0.0007,937.11,5.275e-07,1.150e-06,5.424e-07,343932928,native:blocked,24320,ok
qrbench_v,orgqr,double,160,160,2048,792.3751,792.9856,0.0018,14.12,2.665e-15,2.892e-15,1.511e-15,1280311296,vendor:auto,12160,ok
