bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag,pin
qrbench_nv,geqrf,cfloat,80,80,4096,7.7323,7.7321,0.0001,361.63,4.295e-07,-1,-1,218103808,native:cta,12160,ok,cta
qrbench_nv,geqrf,cfloat,80,80,4096,9.6881,9.6900,0.0006,288.62,5.335e-07,-1,-1,218103808,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,80,80,4096,105.2464,105.2442,0.0001,26.57,1.279e-15,-1,-1,436207616,native:blocked,6080,ok,cta
qrbench_nv,geqrf,cdouble,80,80,4096,104.6967,104.7044,0.0001,26.71,1.279e-15,-1,-1,436207616,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,96,96,4096,5.0076,5.0076,0.0001,964.90,3.932e-07,-1,-1,134217728,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,96,96,4096,6.4775,6.4808,0.0010,745.94,6.095e-07,-1,-1,134217728,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,96,96,4096,32.7276,32.7276,0.0000,147.64,1.893e-15,-1,-1,142606336,native:cta,12160,ok,cta
qrbench_nv,geqrf,double,96,96,4096,23.9354,23.9346,0.0001,201.87,1.878e-15,-1,-1,142606336,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,96,96,4096,10.6428,10.6426,0.0001,454.00,3.043e-07,-1,-1,268435456,native:cta,12160,ok,cta
qrbench_nv,geqrf,cfloat,96,96,4096,11.4829,11.4852,0.0012,420.79,4.926e-07,-1,-1,268435456,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,96,96,4096,126.1337,126.1382,0.0001,38.31,1.102e-15,-1,-1,536870912,native:blocked,6080,ok,cta
qrbench_nv,geqrf,cdouble,96,96,4096,126.1311,126.1290,0.0000,38.31,1.102e-15,-1,-1,536870912,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,112,112,4096,12.0036,12.0034,0.0001,639.21,4.467e-07,-1,-1,159383552,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,112,112,4096,9.8599,9.8607,0.0007,778.18,4.369e-07,-1,-1,159383552,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,112,112,4096,30.1805,30.1816,0.0002,254.23,1.879e-15,-1,-1,167772160,native:blocked,12160,ok,cta
qrbench_nv,geqrf,double,112,112,4096,30.1806,30.1817,0.0001,254.23,1.879e-15,-1,-1,167772160,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,112,112,4096,16.7630,16.7614,0.0012,457.72,4.620e-07,-1,-1,318767104,native:blocked,12160,ok,cta
qrbench_nv,geqrf,cfloat,112,112,4096,16.7560,16.7509,0.0007,457.91,4.620e-07,-1,-1,318767104,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,112,112,4096,191.9378,191.8217,0.0015,39.98,1.668e-15,-1,-1,637534208,native:blocked,6080,ok,cta
qrbench_nv,geqrf,cdouble,112,112,4096,191.9151,191.5895,0.0021,39.98,1.668e-15,-1,-1,637534208,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,128,128,4096,15.4175,15.4180,0.0001,742.87,3.319e-07,-1,-1,184549376,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,128,128,4096,10.7695,10.7744,0.0009,1063.49,4.841e-07,-1,-1,184549376,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,128,128,4096,37.1592,37.1598,0.0001,308.22,1.629e-15,-1,-1,192937984,native:blocked,12160,ok,cta
qrbench_nv,geqrf,double,128,128,4096,37.1607,37.1623,0.0001,308.21,1.629e-15,-1,-1,192937984,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,128,128,4096,19.5470,19.5726,0.0037,585.93,5.783e-07,-1,-1,369098752,native:blocked,12160,ok,cta
qrbench_nv,geqrf,cfloat,128,128,4096,19.5210,19.5223,0.0004,586.72,5.783e-07,-1,-1,369098752,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,128,128,4096,224.7658,224.7671,0.0000,50.96,1.663e-15,-1,-1,738197504,native:blocked,6080,ok,cta
qrbench_nv,geqrf,cdouble,128,128,4096,224.7788,224.6706,0.0012,50.95,1.663e-15,-1,-1,738197504,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,160,160,2048,8.4664,8.4658,0.0007,1321.08,5.275e-07,-1,-1,117440512,native:blocked,24320,ok,cta
qrbench_nv,geqrf,float,160,160,2048,8.4791,8.4770,0.0010,1319.10,5.275e-07,-1,-1,117440512,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,160,160,2048,28.1426,28.1416,0.0001,397.43,2.132e-15,-1,-1,121634816,native:blocked,12160,ok,cta
qrbench_nv,geqrf,double,160,160,2048,28.1406,28.1409,0.0000,397.46,2.132e-15,-1,-1,121634816,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,160,160,2048,16.4167,16.4204,0.0020,681.31,6.449e-07,-1,-1,234881024,native:blocked,12160,ok,cta
qrbench_nv,geqrf,cfloat,160,160,2048,16.4261,16.4271,0.0011,680.92,6.449e-07,-1,-1,234881024,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,160,160,2048,179.2930,179.2897,0.0001,62.38,2.240e-15,-1,-1,469762048,native:blocked,6080,ok,cta
qrbench_nv,geqrf,cdouble,160,160,2048,178.9596,178.9857,0.0004,62.50,2.240e-15,-1,-1,469762048,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,192,192,2048,11.9937,11.9928,0.0006,1611.46,6.281e-07,-1,-1,142606336,native:blocked,24320,ok,cta
qrbench_nv,geqrf,float,192,192,2048,11.9922,11.9939,0.0004,1611.67,6.281e-07,-1,-1,142606336,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,192,192,2048,39.7434,39.7500,0.0004,486.30,1.773e-15,-1,-1,146800640,native:blocked,12160,ok,cta
qrbench_nv,geqrf,double,192,192,2048,39.7625,39.7614,0.0001,486.07,1.773e-15,-1,-1,146800640,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,192,192,2048,23.5919,23.5928,0.0009,819.24,6.459e-07,-1,-1,285212672,native:blocked,12160,ok,cta
qrbench_nv,geqrf,cfloat,192,192,2048,23.5976,23.5989,0.0008,819.04,6.459e-07,-1,-1,285212672,native:blocked,12160,ok,blocked
