bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_v,geqrf,float,64,64,32,1.2374,1.2372,0.0004,9.04,2.746e-07,-1,-1,1024,vendor:auto,24320,ok
qrbench_nv,geqrf,float,64,64,32,0.1427,0.1427,0.0008,78.39,3.522e-07,-1,-1,655360,native:cta,24320,ok
qrbench_v,geqrf,float,64,64,128,1.2435,1.3205,0.1365,35.98,2.503e-07,-1,-1,1536,vendor:auto,24320,ok
qrbench_nv,geqrf,float,64,64,128,0.1433,0.1433,0.0011,312.25,3.070e-07,-1,-1,2621440,native:cta,24320,ok
qrbench_v,geqrf,float,64,64,512,1.2393,1.2395,0.0004,144.40,3.047e-07,-1,-1,6144,vendor:auto,24320,ok
qrbench_nv,geqrf,float,64,64,512,0.2118,0.2119,0.0010,844.93,3.161e-07,-1,-1,10485760,native:cta,24320,ok
qrbench_v,geqrf,float,64,64,2048,1.4040,1.4036,0.0008,509.84,2.883e-07,-1,-1,24576,vendor:auto,24320,ok
qrbench_nv,geqrf,float,64,64,2048,0.7831,0.7829,0.0006,914.09,3.257e-07,-1,-1,41943040,native:cta,24320,ok
qrbench_v,geqrf,float,64,64,8192,6.2414,6.2257,0.0146,458.76,2.503e-07,-1,-1,98304,vendor:auto,24320,ok
qrbench_nv,geqrf,float,64,64,8192,2.9466,2.9478,0.0011,971.72,3.937e-07,-1,-1,167772160,native:cta,24320,ok
qrbench_v,geqrf,float,64,64,16384,10.1589,10.1495,0.0101,563.71,3.023e-07,-1,-1,196608,vendor:auto,24320,ok
qrbench_nv,geqrf,float,64,64,16384,5.8292,5.8290,0.0010,982.40,4.423e-07,-1,-1,335544320,native:cta,24320,ok
qrbench_v,geqrf,double,64,64,32,2.2604,2.2606,0.0009,4.95,1.154e-15,-1,-1,1024,vendor:auto,12160,ok
qrbench_nv,geqrf,double,64,64,32,0.5176,0.5176,0.0002,21.61,1.116e-15,-1,-1,720896,native:cta,12160,ok
qrbench_v,geqrf,double,64,64,128,2.2681,2.2671,0.0013,19.73,9.520e-16,-1,-1,1536,vendor:auto,12160,ok
qrbench_nv,geqrf,double,64,64,128,0.5179,0.5179,0.0006,86.39,1.116e-15,-1,-1,2883584,native:cta,12160,ok
qrbench_v,geqrf,double,64,64,512,2.2012,2.2015,0.0005,81.30,1.135e-15,-1,-1,6144,vendor:auto,12160,ok
qrbench_nv,geqrf,double,64,64,512,1.9020,1.9018,0.0002,94.09,9.361e-16,-1,-1,11534336,native:cta,12160,ok
qrbench_v,geqrf,double,64,64,2048,3.4207,3.4240,0.0047,209.26,9.356e-16,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,double,64,64,2048,7.4723,7.4723,0.0001,95.80,8.465e-16,-1,-1,46137344,native:cta,12160,ok
qrbench_v,geqrf,double,64,64,8192,15.8660,15.8570,0.0038,180.47,9.356e-16,-1,-1,98304,vendor:auto,12160,ok
qrbench_nv,geqrf,double,64,64,8192,29.7141,29.7140,0.0000,96.36,7.879e-16,-1,-1,184549376,native:cta,12160,ok
qrbench_v,geqrf,double,64,64,16384,31.7060,31.6916,0.0031,180.62,1.220e-15,-1,-1,196608,vendor:auto,12160,ok
qrbench_nv,geqrf,double,64,64,16384,59.3758,59.3774,0.0001,96.45,8.880e-16,-1,-1,369098752,native:cta,12160,ok
qrbench_v,geqrf,cfloat,64,64,32,1.3943,1.4702,0.1204,8.02,3.694e-07,-1,-1,1024,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,64,64,32,0.1628,0.1628,0.0004,68.71,3.695e-07,-1,-1,1310720,native:cta,12160,ok
qrbench_v,geqrf,cfloat,64,64,128,1.3996,1.4757,0.1208,31.97,6.018e-07,-1,-1,1536,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,64,64,128,0.1641,0.1640,0.0007,272.72,3.772e-07,-1,-1,5242880,native:cta,12160,ok
qrbench_v,geqrf,cfloat,64,64,512,1.3956,1.3956,0.0003,128.23,3.694e-07,-1,-1,6144,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,64,64,512,0.3883,0.3883,0.0005,460.89,4.873e-07,-1,-1,20971520,native:cta,12160,ok
qrbench_v,geqrf,cfloat,64,64,2048,2.1118,2.1105,0.0020,338.96,3.694e-07,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,64,64,2048,1.3122,1.3118,0.0006,545.52,3.444e-07,-1,-1,83886080,native:cta,12160,ok
qrbench_v,geqrf,cfloat,64,64,8192,13.1517,13.1615,0.0042,217.71,3.835e-07,-1,-1,98304,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,64,64,8192,4.9781,4.9779,0.0001,575.18,3.031e-07,-1,-1,335544320,native:cta,12160,ok
qrbench_v,geqrf,cfloat,64,64,16384,26.7480,26.7490,0.0028,214.10,4.408e-07,-1,-1,196608,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,64,64,16384,9.8685,9.8694,0.0002,580.29,3.234e-07,-1,-1,671088640,native:cta,12160,ok
qrbench_v,geqrf,cdouble,64,64,32,4.6564,4.7140,0.0220,2.40,1.267e-15,-1,-1,1024,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,64,64,32,0.9226,0.9226,0.0002,12.12,1.052e-15,-1,-1,2621440,native:cta,6080,ok
qrbench_v,geqrf,cdouble,64,64,128,4.6285,4.6296,0.0014,9.67,1.212e-15,-1,-1,1536,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,64,64,128,0.9236,0.9235,0.0001,48.44,1.183e-15,-1,-1,10485760,native:cta,6080,ok
qrbench_v,geqrf,cdouble,64,64,512,4.5609,4.5623,0.0009,39.24,1.206e-15,-1,-1,6144,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,64,64,512,3.6748,3.6864,0.0065,48.70,1.208e-15,-1,-1,41943040,native:cta,6080,ok
qrbench_v,geqrf,cdouble,64,64,2048,8.1333,8.1370,0.0008,88.01,9.645e-16,-1,-1,24576,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,64,64,2048,14.8121,14.8120,0.0000,48.33,1.134e-15,-1,-1,167772160,native:cta,6080,ok
qrbench_v,geqrf,cdouble,64,64,8192,31.5271,31.5541,0.0017,90.82,1.133e-15,-1,-1,98304,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,64,64,8192,59.1707,59.1663,0.0002,48.39,1.053e-15,-1,-1,671088640,native:cta,6080,ok
qrbench_v,geqrf,cdouble,64,64,16384,61.4142,61.4121,0.0009,93.25,1.611e-15,-1,-1,196608,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,64,64,16384,118.3218,118.3227,0.0001,48.40,1.167e-15,-1,-1,1342177280,native:cta,6080,ok
qrbench_v,geqrf,float,256,256,32,32.6758,32.6861,0.0016,21.91,3.857e-07,-1,-1,1024,vendor:auto,24320,ok
qrbench_nv,geqrf,float,256,256,32,2.3128,2.3127,0.0004,309.50,6.324e-07,-1,-1,3014656,native:blocked,24320,ok
qrbench_v,geqrf,float,256,256,128,32.6776,32.6885,0.0011,87.62,3.857e-07,-1,-1,1536,vendor:auto,24320,ok
qrbench_nv,geqrf,float,256,256,128,2.8486,2.8489,0.0008,1005.18,6.324e-07,-1,-1,12058624,native:blocked,24320,ok
qrbench_v,geqrf,float,256,256,512,50.7839,50.7981,0.0005,225.53,4.060e-07,-1,-1,6144,vendor:auto,24320,ok
qrbench_nv,geqrf,float,256,256,512,6.0717,6.0755,0.0015,1886.32,6.324e-07,-1,-1,48234496,native:blocked,24320,ok
qrbench_v,geqrf,float,256,256,2048,121.5202,121.5064,0.0007,377.00,3.857e-07,-1,-1,24576,vendor:auto,24320,ok
qrbench_nv,geqrf,float,256,256,2048,21.6278,21.6286,0.0004,2118.24,6.324e-07,-1,-1,192937984,native:blocked,24320,ok
qrbench_v,geqrf,double,256,256,32,59.9841,59.9715,0.0007,11.93,1.862e-15,-1,-1,1024,vendor:auto,12160,ok
qrbench_nv,geqrf,double,256,256,32,3.8415,3.8415,0.0002,186.34,2.020e-15,-1,-1,3080192,native:blocked,12160,ok
