bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_v,orgqr,float,1024,1024,32,20.3944,19.9662,0.0407,2246.35,6.388e-07,1.816e-06,7.513e-07,52477952,vendor:auto,24320,ok
qrbench_nv,orgqr,float,1024,1024,32,24.3366,24.3387,0.0005,1882.47,1.408e-06,2.071e-06,1.566e-06,146931712,native:blocked,24320,ok
qrbench_v,orgqr,float,1024,1024,64,45.4439,45.4409,0.0021,2016.24,6.388e-07,1.869e-06,6.666e-07,104955904,vendor:auto,24320,ok
qrbench_nv,orgqr,float,1024,1024,64,40.8136,40.8133,0.0001,2244.99,1.408e-06,2.513e-06,1.574e-06,293863424,native:blocked,24320,ok
qrbench_v,orgqr,float,1024,1024,128,93.9159,94.0736,0.0104,1951.23,6.388e-07,1.816e-06,6.535e-07,209911808,vendor:auto,24320,ok
qrbench_nv,orgqr,float,1024,1024,128,73.6689,73.6653,0.0001,2487.51,1.408e-06,2.152e-06,1.358e-06,587726848,native:blocked,24320,ok
qrbench_v,orgqr,float,1024,1024,256,188.4760,188.4779,0.0010,1944.57,6.670e-07,1.816e-06,6.762e-07,419823616,vendor:auto,24320,ok
qrbench_nv,orgqr,float,1024,1024,256,141.3600,141.3718,0.0001,2592.70,1.408e-06,2.384e-06,1.347e-06,1175453696,native:blocked,24320,ok
qrbench_v,orgqr,double,1024,1024,32,145.7146,145.8626,0.0021,314.40,3.869e-15,6.776e-15,3.667e-15,104939520,vendor:auto,12160,ok
qrbench_nv,orgqr,double,1024,1024,32,69.4353,69.4359,0.0001,659.79,5.084e-15,5.221e-15,4.364e-15,281083904,native:blocked,12160,ok
qrbench_v,orgqr,double,1024,1024,64,296.2748,296.3552,0.0016,309.26,5.046e-15,5.888e-15,3.632e-15,209879040,vendor:auto,12160,ok
qrbench_nv,orgqr,double,1024,1024,64,127.7615,127.7609,0.0000,717.16,7.086e-15,5.666e-15,4.017e-15,562167808,native:blocked,12160,ok
qrbench_v,orgqr,double,1024,1024,128,594.2951,594.5471,0.0008,308.35,3.905e-15,5.777e-15,3.632e-15,419758080,vendor:auto,12160,ok
qrbench_nv,orgqr,double,1024,1024,128,244.0766,244.0814,0.0000,750.80,6.183e-15,5.442e-15,3.880e-15,1124335616,native:blocked,12160,ok
qrbench_v,orgqr,double,1024,1024,256,1192.7597,1192.8942,0.0012,307.27,3.869e-15,5.785e-15,4.225e-15,839516160,vendor:auto,12160,ok
qrbench_nv,orgqr,double,1024,1024,256,482.5964,482.5829,0.0001,759.44,5.084e-15,5.785e-15,3.384e-15,2248671232,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,1024,1024,32,30.7828,30.7861,0.0039,1488.27,8.686e-07,2.725e-06,9.718e-07,104939520,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,1024,1024,32,56.0733,56.0721,0.0000,817.02,1.405e-06,2.013e-06,1.332e-06,293863424,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,1024,1024,64,62.7161,62.7644,0.0018,1460.96,1.016e-06,2.411e-06,9.718e-07,209879040,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,1024,1024,64,89.2209,89.2237,0.0001,1026.96,1.398e-06,2.059e-06,1.575e-06,587726848,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,1024,1024,128,127.2124,127.2169,0.0005,1440.52,8.686e-07,2.404e-06,1.079e-06,419758080,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,1024,1024,128,155.4063,155.4054,0.0001,1179.18,1.398e-06,2.059e-06,1.341e-06,1175453696,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,1024,1024,256,255.7383,255.7582,0.0009,1433.12,8.686e-07,2.547e-06,9.936e-07,839516160,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,1024,1024,256,291.5580,291.6027,0.0007,1257.05,1.398e-06,2.059e-06,1.327e-06,2350907392,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,1024,1024,32,397.7206,397.7676,0.0002,115.19,5.023e-15,7.679e-15,3.501e-15,209862656,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,1024,1024,32,576.6099,576.6082,0.0000,79.45,4.733e-15,4.463e-15,4.017e-15,587726848,native:blocked,6080,ok
