bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_v,geqrf,cdouble,512,64,1024,37.5515,37.5631,0.0015,109.61,4.493e-15,-1,-1,12288,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,512,64,1024,51.2325,51.2278,0.0005,80.34,4.317e-15,-1,-1,318767104,native:blocked,6080,ok
qrbench_v,geqrf,float,1024,64,512,16.7515,16.7547,0.0018,251.05,2.924e-07,-1,-1,6144,vendor:auto,24320,ok
qrbench_nv,geqrf,float,1024,64,512,3.7061,3.7085,0.0025,1134.75,7.104e-07,-1,-1,73400320,native:blocked,24320,ok
qrbench_v,geqrf,double,1024,64,512,31.4575,31.4454,0.0012,133.69,7.346e-15,-1,-1,6144,vendor:auto,12160,ok
qrbench_nv,geqrf,double,1024,64,512,8.5432,8.5377,0.0020,492.26,8.230e-15,-1,-1,74448896,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,1024,64,512,26.6001,26.5950,0.0014,158.10,3.806e-07,-1,-1,6144,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,1024,64,512,12.0593,12.0610,0.0017,348.73,6.317e-07,-1,-1,146800640,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,1024,64,512,43.9975,44.0183,0.0012,95.58,1.092e-14,-1,-1,6144,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,1024,64,512,53.5515,53.5578,0.0007,78.53,1.047e-14,-1,-1,293601280,native:blocked,6080,ok
qrbench_v,geqrf,float,2048,64,256,34.7548,34.7525,0.0004,122.29,3.448e-07,-1,-1,3072,vendor:auto,24320,ok
qrbench_nv,geqrf,float,2048,64,256,4.5829,4.5795,0.0022,927.42,8.990e-07,-1,-1,70254592,native:blocked,24320,ok
qrbench_v,geqrf,double,2048,64,256,51.1567,51.1691,0.0007,83.08,1.313e-14,-1,-1,3072,vendor:auto,12160,ok
qrbench_nv,geqrf,double,2048,64,256,8.0886,8.0891,0.0019,525.46,1.319e-14,-1,-1,70778880,native:blocked,12160,ok
