2760 MHz, 67
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       8       0       0       0       1       100         0.0071117   0.00031499  940.25      27.646      110.59      0.88896     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       8       0       0       1       1       100         0.0065226   0.00039630  2521.9      30.143      120.58      0.81532     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       32      0       0       0       1       100         0.0065632   1.3833e-05  940.25      119.82      479.31      0.20510     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       32      0       0       1       1       100         0.0091949   3.4686e-06  2521.9      85.530      342.13      0.28734     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       64      0       0       0       1       100         0.010026    7.4931e-06  940.25      156.88      627.54      0.15666     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       64      0       0       1       1       100         0.013235    1.2849e-05  2521.9      118.84      475.38      0.20680     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       128     0       0       0       1       100         0.015458    1.7509e-05  940.25      203.50      814.02      0.12077     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       128     0       0       1       1       100         0.021679    1.8767e-05  2521.9      145.10      580.43      0.16937     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       256     0       0       0       1       100         0.026378    2.2144e-05  940.25      238.51      954.07      0.10304     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       256     0       0       1       1       100         0.036955    3.3705e-05  2521.9      170.24      681.01      0.14436     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       0       1       100         0.046758    2.7999e-05  940.25      269.11      1076.5      0.091324    3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       1       100         0.066470    6.0017e-05  2521.9      189.30      757.24      0.12982     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       1024    0       0       0       1       100         0.12383     0.00019774  940.25      203.23      812.97      0.12092     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       1024    0       0       1       1       100         0.15911     0.00023116  2521.9      158.16      632.68      0.15538     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       0       0       1       100         0.0053916   6.5595e-05  1874.1      72.932      194.49      0.67395     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       0       1       1       100         0.0070975   6.1951e-06  4971.2      55.402      147.74      0.88719     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       0       0       1       100         0.0090461   3.5595e-06  1874.1      173.87      463.67      0.28269     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       0       1       1       100         0.012793    1.5032e-05  4971.2      122.95      327.87      0.39978     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       0       0       1       100         0.015189    9.9564e-06  1874.1      207.10      552.28      0.23733     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       0       1       1       100         0.020727    1.8982e-05  4971.2      151.77      404.74      0.32385     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       128     0       0       0       1       100         0.025676    2.2471e-05  1874.1      245.03      653.44      0.20059     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       128     0       0       1       1       100         0.035146    0.00022105  4971.2      179.01      477.37      0.27458     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       256     0       0       0       1       100         0.048789    4.5063e-05  1874.1      257.90      687.77      0.19058     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       256     0       0       1       1       100         0.064148    0.00013161  4971.2      196.15      523.09      0.25058     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       0       1       100         0.089022    0.00013728  1874.1      282.69      753.87      0.17387     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       1       100         0.12132     0.00039948  4971.2      207.44      553.18      0.23695     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       1024    0       0       0       1       100         0.22883     0.0012751   1874.1      219.95      586.56      0.22347     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       1024    0       0       1       1       100         0.31241     0.0023957   4971.2      161.11      429.63      0.30509     3072        3           
2775 MHz, 59
