2760 MHz, 56
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       0       0       100         0.0063717   0.00021994  874.68      987.41      3620.8      0.012445    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       0       100         0.010894    1.0705e-05  2210.6      577.54      2117.8      0.021277    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       1       0       0       100         0.0072881   6.4437e-05  1.3349e+08  863.25      3741.0      0.014235    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       1       1       0       100         0.011407    1.2628e-05  9.5844e+07  551.55      2390.2      0.022279    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     1       0       0       0       100         0.0064115   6.7428e-05  830.12      981.28      3598.3      0.012522    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     1       0       1       0       100         0.010772    3.1450e-05  2155.0      584.06      2141.7      0.021039    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     1       1       0       0       100         0.0073091   0.00019150  1.2653e+08  860.78      3730.3      0.014275    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     1       1       1       0       100         0.011251    3.3660e-05  9.5188e+07  559.17      2423.3      0.021975    3072        3           
2745 MHz, 65
