double    1024   3    1         0.389/0.087 r=0.224     0.343/0.071 r=0.208     0.323/0.063 r=0.196     0.313/0.058 r=0.184
double    1024   3    2         0.397/0.141 r=0.355     0.349/0.125 r=0.359     0.326/0.114 r=0.351     0.315/0.108 r=0.345
double    1024   3    4         0.425/0.243 r=0.573     0.367/0.231 r=0.629     0.338/0.216 r=0.638     0.324/0.269 r=0.829
double    1024   3    8         0.627/0.456 r=0.727     0.509/0.446 r=0.877     0.478/0.479 r=1.002     0.714/0.662 r=0.927
double    1024   3    12        0.839/0.728 r=0.867     0.693/0.715 r=1.031     0.817/0.969 r=1.187     1.017/1.089 r=1.071
double    1024   16   1         0.672/0.565 r=0.840     0.631/0.545 r=0.864     0.618/0.568 r=0.919     0.609/0.564 r=0.926
double    1024   16   2         0.962/0.870 r=0.904     0.902/0.845 r=0.937     0.881/0.850 r=0.965     0.871/0.846 r=0.971
double    1024   16   4         1.473/1.450 r=0.984     1.396/1.405 r=1.007     1.473/1.438 r=0.976     1.464/1.402 r=0.957
double    1024   16   8         2.716/2.805 r=1.033     2.677/2.777 r=1.037     2.685/2.805 r=1.045     2.620/2.821 r=1.077
double    1024   16   12        3.704/4.326 r=1.168     3.617/4.530 r=1.252     3.622/4.321 r=1.193     3.667/4.261 r=1.162
double    2048   3    1         0.685/0.139 r=0.203     0.642/0.122 r=0.190     0.621/0.112 r=0.180     0.611/0.157 r=0.257
double    2048   3    2         0.697/0.241 r=0.346     0.649/0.221 r=0.341     0.624/0.212 r=0.340     0.613/0.295 r=0.482
double    2048   3    4         0.733/0.442 r=0.604     0.673/0.414 r=0.614     0.642/0.530 r=0.825     0.753/0.651 r=0.864
double    2048   3    8         1.006/0.850 r=0.845     0.936/0.959 r=1.024     1.353/1.361 r=1.006     1.382/1.368 r=0.990
double    2048   3    12        1.355/1.286 r=0.949     1.641/1.845 r=1.124     2.078/2.138 r=1.029     2.059/2.121 r=1.030
double    2048   16   1         1.249/1.102 r=0.883     1.224/1.193 r=0.974     1.206/1.154 r=0.957     1.199/1.144 r=0.954
double    2048   16   2         1.728/1.705 r=0.987     1.705/1.735 r=1.018     1.661/1.693 r=1.019     1.654/1.692 r=1.023
double    2048   16   4         2.691/2.859 r=1.063     2.619/2.874 r=1.097     2.600/2.864 r=1.101     2.691/2.848 r=1.059
double    2048   16   8         4.699/5.511 r=1.173     4.633/5.452 r=1.177     4.813/5.472 r=1.137     4.847/5.418 r=1.118
double    2048   16   12        6.687/8.358 r=1.250     6.768/8.455 r=1.249     6.974/8.267 r=1.185     6.954/8.119 r=1.168
float     1024   3    1         0.902/0.082 r=0.091     0.337/0.068 r=0.203     0.318/0.057 r=0.180     0.308/0.053 r=0.171
float     1024   3    2         0.383/0.125 r=0.328     0.338/0.114 r=0.337     0.318/0.102 r=0.321     0.309/0.098 r=0.318
float     1024   3    4         0.395/0.219 r=0.553     0.348/0.203 r=0.583     0.325/0.191 r=0.587     0.313/0.187 r=0.597
float     1024   3    8         0.532/0.409 r=0.770     0.480/0.399 r=0.831     0.456/0.383 r=0.841     0.445/0.398 r=0.893
float     1024   3    12        0.703/0.660 r=0.938     0.655/0.626 r=0.956     0.663/0.611 r=0.921     0.649/0.669 r=1.032
float     1024   16   1         0.738/0.399 r=0.541     0.695/0.441 r=0.635     0.673/0.410 r=0.609     0.668/0.421 r=0.629
float     1024   16   2         1.026/0.687 r=0.670     0.979/0.688 r=0.703     1.019/0.647 r=0.634     1.057/0.653 r=0.618
float     1024   16   4         1.532/1.170 r=0.764     1.488/1.161 r=0.781     1.458/1.141 r=0.782     1.460/1.142 r=0.782
float     1024   16   8         2.833/2.421 r=0.855     2.707/2.402 r=0.887     2.689/2.377 r=0.884     2.700/2.336 r=0.865
float     1024   16   12        3.929/4.047 r=1.030     3.864/3.798 r=0.983     3.961/3.847 r=0.971     3.957/3.776 r=0.954
float     2048   3    1         0.673/0.131 r=0.195     0.633/0.111 r=0.175     0.612/0.102 r=0.167     0.603/0.098 r=0.162
float     2048   3    2         0.674/0.225 r=0.335     0.633/0.198 r=0.313     0.612/0.189 r=0.309     0.603/0.196 r=0.325
float     2048   3    4         0.692/0.396 r=0.572     0.645/0.372 r=0.577     0.621/0.364 r=0.586     0.610/0.402 r=0.658
float     2048   3    8         0.933/0.786 r=0.843     0.883/0.758 r=0.858     0.862/0.799 r=0.927     0.980/0.913 r=0.931
float     2048   3    12        1.270/1.270 r=1.000     1.206/1.220 r=1.011     1.281/1.387 r=1.083     1.421/1.452 r=1.022
float     2048   16   1         1.384/0.960 r=0.694     1.341/0.892 r=0.666     1.327/0.917 r=0.691     1.323/0.897 r=0.678
float     2048   16   2         1.915/1.512 r=0.790     1.862/1.471 r=0.790     1.841/1.441 r=0.783     1.836/1.416 r=0.771
float     2048   16   4         2.826/2.716 r=0.961     2.772/2.571 r=0.928     2.768/2.552 r=0.922     2.746/2.485 r=0.905
float     2048   16   8         4.977/5.273 r=1.060     4.947/5.349 r=1.081     4.925/5.131 r=1.042     4.970/5.084 r=1.023
float     2048   16   12        7.152/8.298 r=1.160     7.084/8.281 r=1.169     7.200/7.986 r=1.109     7.146/7.512 r=1.051

scl2 -- transA=Trans, scattered pattern: per-item us (vendor/native), ratio
type      m      nnz  nrhs                    b=128                   b=256                   b=512                  b=1024
cdouble   1024   3    1         0.408/0.173 r=0.423     0.357/0.145 r=0.406     0.333/0.130 r=0.389     0.323/0.159 r=0.491
cdouble   1024   3    2         0.437/0.280 r=0.640     0.373/0.251 r=0.672     0.345/0.237 r=0.687     0.335/0.307 r=0.917
cdouble   1024   3    4         0.648/0.496 r=0.765     0.572/0.464 r=0.811     0.543/0.545 r=1.003     0.671/0.684 r=1.019
cdouble   1024   3    8         0.993/0.984 r=0.992     0.909/1.034 r=1.137     1.278/1.423 r=1.113     1.307/1.418 r=1.085
cdouble   1024   3    12        1.406/1.469 r=1.045     1.587/1.968 r=1.240     1.960/2.259 r=1.152     1.943/2.173 r=1.118
cdouble   1024   16   1         1.065/0.941 r=0.884     1.031/0.945 r=0.917     1.007/1.056 r=1.048     1.000/1.083 r=1.083
cdouble   1024   16   2         1.537/1.543 r=1.004     1.487/1.523 r=1.024     1.460/1.560 r=1.069     1.452/1.597 r=1.100
cdouble   1024   16   4         2.580/2.654 r=1.029     2.489/2.711 r=1.089     2.450/2.721 r=1.111     2.491/2.754 r=1.106
cdouble   1024   16   8         4.486/4.998 r=1.114     4.422/5.217 r=1.180     4.568/5.329 r=1.167     4.595/5.280 r=1.149
cdouble   1024   16   12        6.462/7.612 r=1.178     6.655/8.109 r=1.218     6.726/8.138 r=1.210     6.752/7.988 r=1.183
cdouble   2048   3    1         0.713/0.277 r=0.389     0.664/0.248 r=0.374     0.641/0.311 r=0.484     0.630/0.368 r=0.585
cdouble   2048   3    2         0.748/0.474 r=0.635     0.686/0.452 r=0.659     0.662/0.607 r=0.918     0.791/0.709 r=0.896
cdouble   2048   3    4         1.133/0.888 r=0.783     1.062/1.080 r=1.017     1.409/1.387 r=0.984     1.376/1.377 r=1.000
cdouble   2048   3    8         1.827/2.026 r=1.109     2.575/2.927 r=1.137     2.669/2.915 r=1.092     2.653/2.886 r=1.088
cdouble   2048   3    12        3.298/3.945 r=1.196     4.065/4.507 r=1.109     3.924/4.409 r=1.124     3.908/4.382 r=1.121
cdouble   2048   16   1         2.293/1.829 r=0.797     2.157/2.110 r=0.978     1.973/2.172 r=1.101     1.958/2.216 r=1.132
cdouble   2048   16   2         2.764/2.871 r=1.039     2.710/3.097 r=1.143     2.686/3.243 r=1.207     2.805/3.247 r=1.157
cdouble   2048   16   4         4.887/5.255 r=1.075     4.810/5.615 r=1.167     4.989/5.669 r=1.136     5.032/5.640 r=1.121
cdouble   2048   16   8        8.259/10.606 r=1.284    9.174/10.900 r=1.188    9.106/10.841 r=1.191    9.144/10.763 r=1.177
cdouble   2048   16   12      12.706/16.224 r=1.277   13.418/16.205 r=1.208   13.481/16.152 r=1.198   13.563/16.050 r=1.183
cfloat    1024   3    1         0.386/0.133 r=0.345     0.342/0.121 r=0.353     0.322/0.110 r=0.342     0.312/0.105 r=0.336
cfloat    1024   3    2         0.400/0.233 r=0.583     0.349/0.216 r=0.619     0.326/0.204 r=0.627     0.315/0.201 r=0.638
cfloat    1024   3    4         0.552/0.436 r=0.791     0.521/0.420 r=0.807     0.484/0.398 r=0.823     0.457/0.416 r=0.909
cfloat    1024   3    8         0.935/0.833 r=0.891     0.804/0.826 r=1.026     0.801/0.829 r=1.034     0.951/0.929 r=0.977
cfloat    1024   3    12        1.214/1.282 r=1.056     1.145/1.296 r=1.132     1.216/1.380 r=1.134     1.368/1.457 r=1.065
cfloat    1024   16   1         0.989/0.927 r=0.937     0.937/0.834 r=0.890     0.917/0.839 r=0.915     0.905/0.809 r=0.894
cfloat    1024   16   2         1.573/1.461 r=0.929     1.627/1.369 r=0.841     1.594/1.377 r=0.864     1.494/1.367 r=0.914
cfloat    1024   16   4         2.572/2.646 r=1.029     2.560/2.498 r=0.975     2.605/2.580 r=0.991     2.582/2.493 r=0.965
cfloat    1024   16   8         4.923/5.028 r=1.021     4.813/5.018 r=1.043     4.779/5.026 r=1.052     4.821/5.078 r=1.053
cfloat    1024   16   12        6.991/8.463 r=1.211     7.023/8.069 r=1.149     7.017/7.902 r=1.126     7.050/7.526 r=1.068
cfloat    2048   3    1         0.686/0.232 r=0.337     0.640/0.211 r=0.330     0.619/0.202 r=0.326     0.610/0.228 r=0.374
cfloat    2048   3    2         0.695/0.421 r=0.607     0.648/0.396 r=0.612     0.623/0.383 r=0.615     0.612/0.437 r=0.714
cfloat    2048   3    4         1.010/0.793 r=0.785     0.918/0.758 r=0.826     0.884/0.818 r=0.925     1.061/0.911 r=0.858
cfloat    2048   3    8         1.561/1.582 r=1.013     1.516/1.598 r=1.054     1.824/1.863 r=1.021     1.888/1.880 r=0.995
cfloat    2048   3    12        2.214/2.402 r=1.085     2.401/2.660 r=1.108     2.869/2.895 r=1.009     2.757/2.863 r=1.039
cfloat    2048   16   1         1.766/1.701 r=0.963     1.708/1.709 r=1.001     1.690/1.677 r=0.992     1.683/1.672 r=0.993
cfloat    2048   16   2         3.025/2.857 r=0.944     2.960/2.808 r=0.949     2.744/2.760 r=1.006     2.724/2.717 r=0.998
cfloat    2048   16   4         4.718/5.064 r=1.074     4.793/5.082 r=1.060     4.585/5.042 r=1.100     4.658/4.960 r=1.065
cfloat    2048   16   8         8.851/9.899 r=1.118     8.773/9.601 r=1.094     8.697/9.640 r=1.108     8.721/9.554 r=1.095
cfloat    2048   16   12      12.582/14.707 r=1.169   12.603/14.650 r=1.162   12.758/14.519 r=1.138   12.744/14.207 r=1.115
