shape,type,m,n,k,batch,transA,vendor,route
G3_N1024_nb56_j0,double,1024,968,56,128,N,vendor_present,Native:RegisterTiled
G3_N1024_nb56_j0,double,1024,968,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j504,double,56,464,520,128,T,vendor_present,Native:RegisterTiled
G1_N1024_nb56_j504,double,56,464,520,128,T,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j504,double,520,464,56,128,N,vendor_present,Native:RegisterTiled
G3_N1024_nb56_j504,double,520,464,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j952,double,56,16,72,128,T,vendor_present,Native:RegisterTiled
G1_N1024_nb56_j952,double,56,16,72,128,T,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j952,double,72,16,56,128,N,vendor_present,Native:RegisterTiled
G3_N1024_nb56_j952,double,72,16,56,128,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j0,double,56,1992,2048,32,T,vendor_present,Vendor:Auto
G1_N2048_nb56_j0,double,56,1992,2048,32,T,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j0,double,2048,1992,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j0,double,2048,1992,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1008,double,56,984,1040,32,T,vendor_present,Vendor:Auto
G1_N2048_nb56_j1008,double,56,984,1040,32,T,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1008,double,1040,984,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1008,double,1040,984,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1960,double,56,32,88,32,T,vendor_present,Vendor:Auto
G1_N2048_nb56_j1960,double,56,32,88,32,T,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1960,double,88,32,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1960,double,88,32,56,32,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j0,cfloat,24,232,256,2048,C,vendor_present,Vendor:Auto
G1_N256_nb24_j0,cfloat,24,232,256,2048,C,vendor_free,Native:RegisterTiled
G3_N256_nb24_j0,cfloat,256,232,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j0,cfloat,256,232,24,2048,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j120,cfloat,24,112,136,2048,C,vendor_present,Vendor:Auto
G1_N256_nb24_j120,cfloat,24,112,136,2048,C,vendor_free,Native:RegisterTiled
G3_N256_nb24_j120,cfloat,136,112,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j120,cfloat,136,112,24,2048,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j216,cfloat,24,16,40,2048,C,vendor_present,Vendor:Auto
G1_N256_nb24_j216,cfloat,24,16,40,2048,C,vendor_free,Native:RegisterTiled
G3_N256_nb24_j216,cfloat,40,16,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j216,cfloat,40,16,24,2048,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j0,cfloat,48,464,512,512,C,vendor_present,Vendor:Auto
G1_N512_nb48_j0,cfloat,48,464,512,512,C,vendor_free,Native:RegisterTiled
G3_N512_nb48_j0,cfloat,512,464,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j0,cfloat,512,464,48,512,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j240,cfloat,48,224,272,512,C,vendor_present,Vendor:Auto
G1_N512_nb48_j240,cfloat,48,224,272,512,C,vendor_free,Native:RegisterTiled
G3_N512_nb48_j240,cfloat,272,224,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j240,cfloat,272,224,48,512,N,vendor_free,Native:RegisterTiled
