== (a) wide nb, vendor-free ==
nb_forced,op,type,n,batch,med_ms,mean_ms,rel_sd,GFLOPs,res,ortho,recon,ws,route,nbused,dQ
128,synthI,cdouble,256,512,560.1945,560.2323,0.0002,30.67,-1.000e+00,5.992e-15,-1.000e+00,939524096,route=1:3,nb=128,dQ=-1.000e+00
160,synthI,cdouble,256,512,634.2155,634.2146,0.0002,27.09,-1.000e+00,6.713e-15,-1.000e+00,1216348160,route=1:3,nb=160,dQ=-1.000e+00
192,synthI,cdouble,256,512,810.9451,810.9251,0.0002,21.18,-1.000e+00,7.128e-15,-1.000e+00,1509949440,route=1:3,nb=192,dQ=-1.000e+00
112,synthI,float,1024,64,71.8934,71.9023,0.0013,1911.71,-1.000e+00,3.816e-06,-1.000e+00,91291648,route=1:3,nb=112,dQ=-1.000e+00
128,synthI,float,1024,64,83.0367,83.0433,0.0001,1655.16,-1.000e+00,4.201e-06,-1.000e+00,104857600,route=1:3,nb=128,dQ=-1.000e+00
160,synthI,float,1024,64,111.3381,111.2406,0.0017,1234.43,-1.000e+00,4.222e-06,-1.000e+00,132382720,route=1:3,nb=160,dQ=-1.000e+00
192,synthI,float,1024,64,132.1303,132.1283,0.0000,1040.18,-1.000e+00,4.148e-06,-1.000e+00,160432128,route=1:3,nb=192,dQ=-1.000e+00
112,synthI,double,1024,64,266.0187,265.8650,0.0013,516.65,-1.000e+00,8.912e-15,-1.000e+00,182583296,route=1:3,nb=112,dQ=-1.000e+00
128,synthI,double,1024,64,303.4493,303.7046,0.0012,452.92,-1.000e+00,1.122e-14,-1.000e+00,209715200,route=1:3,nb=128,dQ=-1.000e+00
160,synthI,double,1024,64,383.7253,383.7206,0.0000,358.17,-1.000e+00,1.083e-14,-1.000e+00,264765440,route=1:3,nb=160,dQ=-1.000e+00
192,synthI,double,1024,64,481.7861,481.8304,0.0002,285.27,-1.000e+00,9.660e-15,-1.000e+00,320864256,route=1:3,nb=192,dQ=-1.000e+00
112,synthI,cfloat,1024,64,238.4319,238.4453,0.0002,576.43,-1.000e+00,4.764e-06,-1.000e+00,182583296,route=1:3,nb=112,dQ=-1.000e+00
128,synthI,cfloat,1024,64,296.9250,297.1310,0.0012,462.87,-1.000e+00,4.797e-06,-1.000e+00,209715200,route=1:3,nb=128,dQ=-1.000e+00
160,synthI,cfloat,1024,64,415.6972,415.7045,0.0003,330.62,-1.000e+00,4.073e-06,-1.000e+00,264765440,route=1:3,nb=160,dQ=-1.000e+00
192,synthI,cfloat,1024,64,583.7037,583.6748,0.0002,235.46,-1.000e+00,4.097e-06,-1.000e+00,320864256,route=1:3,nb=192,dQ=-1.000e+00
112,synthI,cdouble,1024,64,1722.2205,1722.2802,0.0001,79.80,-1.000e+00,8.136e-15,-1.000e+00,365166592,route=1:3,nb=112,dQ=-1.000e+00
128,synthI,cdouble,1024,64,1936.7504,1936.7909,0.0000,70.96,-1.000e+00,8.803e-15,-1.000e+00,419430400,route=1:3,nb=128,dQ=-1.000e+00
160,synthI,cdouble,1024,64,2391.8434,2391.8751,0.0000,57.46,-1.000e+00,9.684e-15,-1.000e+00,529530880,route=1:3,nb=160,dQ=-1.000e+00
192,synthI,cdouble,1024,64,2948.2232,2948.2277,0.0000,46.62,-1.000e+00,9.909e-15,-1.000e+00,641728512,route=1:3,nb=192,dQ=-1.000e+00
== (b) same ladder, VENDOR build ==
nb_forced,op,type,n,batch,med_ms,mean_ms,rel_sd,GFLOPs,res,ortho,recon,ws,route,nbused,dQ
