== PART 1: trailing GEMM pair vs nb, vendor-free build, N=1024 b=128 ==
build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
vendorfree,G1,cfloat,1024,8,512,128,8,504,512,0.5583,0.0011,3786.12
vendorfree,G3,cfloat,1024,8,512,128,512,504,8,0.7020,0.0013,3011.28
vendorfree,G1,cfloat,1024,16,0,128,16,1008,1024,2.2480,0.0006,7523.00
vendorfree,G3,cfloat,1024,16,0,128,1024,1008,16,3.3377,0.0006,5066.84
vendorfree,G1,cfloat,1024,16,512,128,16,496,512,0.5643,0.0006,7373.19
vendorfree,G3,cfloat,1024,16,512,128,512,496,16,0.8336,0.0004,4991.03
vendorfree,G1,cfloat,1024,24,0,128,24,1000,1024,4.2894,0.0003,5867.00
vendorfree,G3,cfloat,1024,24,0,128,1024,1000,24,4.3596,0.0001,5772.51
vendorfree,G1,cfloat,1024,24,512,128,24,488,512,1.0649,0.0008,5766.33
vendorfree,G3,cfloat,1024,24,512,128,512,488,24,1.0760,0.0004,5706.77
vendorfree,G1,cfloat,1024,32,0,128,32,992,1024,4.2982,0.0000,7744.10
vendorfree,G3,cfloat,1024,32,0,128,1024,992,32,2.3373,0.0001,14240.99
vendorfree,G1,cfloat,1024,32,512,128,32,480,512,1.0536,0.0002,7643.57
vendorfree,G3,cfloat,1024,32,512,128,512,480,32,0.5977,0.0008,13472.83
vendorfree,G1,cfloat,1024,48,0,128,48,976,1024,6.3049,0.0001,7791.32
vendorfree,G3,cfloat,1024,48,0,128,1024,976,48,2.3355,0.0002,21033.44
vendorfree,G1,cfloat,1024,48,512,128,48,464,512,1.5166,0.0007,7699.62
vendorfree,G3,cfloat,1024,48,512,128,512,464,48,0.5975,0.0018,19544.08
vendorfree,G1,cfloat,1024,56,0,128,56,968,1024,8.2558,0.0001,6884.99
vendorfree,G3,cfloat,1024,56,0,128,1024,968,56,2.3374,0.0007,24318.16
vendorfree,G1,cfloat,1024,56,512,128,56,456,512,1.9789,0.0001,6765.34
vendorfree,G3,cfloat,1024,56,512,128,512,456,56,0.6002,0.0003,22306.82
vendorfree,G1,cfloat,1024,64,0,128,64,960,1024,8.2508,0.0000,7808.32
vendorfree,G3,cfloat,1024,64,0,128,1024,960,64,2.3375,0.0005,27561.24
vendorfree,G1,cfloat,1024,64,512,128,64,448,512,1.9367,0.0002,7761.97
vendorfree,G3,cfloat,1024,64,512,128,512,448,64,0.5931,0.0008,25346.35
vendorfree,G1,cfloat,1024,96,0,128,96,928,1024,11.8241,0.0003,7900.41
vendorfree,G3,cfloat,1024,96,0,128,1024,928,96,2.6952,0.0006,34660.56
vendorfree,G1,cfloat,1024,96,512,128,96,416,512,2.6911,0.0001,7780.40
vendorfree,G3,cfloat,1024,96,512,128,512,416,96,0.6508,0.0006,32172.16
vendorfree,G1,cfloat,1024,128,0,128,128,896,1024,15.2327,0.0001,7894.78
vendorfree,G3,cfloat,1024,128,0,128,1024,896,128,3.0070,0.0004,39993.42
vendorfree,G1,cfloat,1024,128,512,128,128,384,512,3.2938,0.0002,7823.82
vendorfree,G3,cfloat,1024,128,512,128,512,384,128,0.6606,0.0009,39011.64
vendorfree,G1,cdouble,1024,8,0,128,8,1016,1024,43.3905,0.0000,196.42
vendorfree,G3,cdouble,1024,8,0,128,1024,1016,8,26.5409,0.0001,321.12
vendorfree,G1,cdouble,1024,8,512,128,8,504,512,10.8700,0.0000,194.47
vendorfree,G3,cdouble,1024,8,512,128,512,504,8,6.6237,0.0001,319.15
vendorfree,G1,cdouble,1024,16,0,128,16,1008,1024,42.6389,0.0000,396.62
vendorfree,G3,cdouble,1024,16,0,128,1024,1008,16,47.1868,0.0001,358.39
vendorfree,G1,cdouble,1024,16,512,128,16,496,512,10.5250,0.0009,395.32
vendorfree,G3,cdouble,1024,16,512,128,512,496,16,11.6196,0.0001,358.08
vendorfree,G1,cdouble,1024,24,0,128,24,1000,1024,85.1955,0.0001,295.39
vendorfree,G3,cdouble,1024,24,0,128,1024,1000,24,68.3424,0.0001,368.23
vendorfree,G1,cdouble,1024,24,512,128,24,488,512,20.9941,0.0001,292.48
vendorfree,G3,cdouble,1024,24,512,128,512,488,24,16.8263,0.0000,364.93
vendorfree,G1,cdouble,1024,32,0,128,32,992,1024,83.8462,0.0000,396.99
vendorfree,G3,cdouble,1024,32,0,128,1024,992,32,26.7872,0.0030,1242.61
vendorfree,G1,cdouble,1024,32,512,128,32,480,512,20.3346,0.0002,396.03
vendorfree,G3,cdouble,1024,32,512,128,512,480,32,6.7767,0.0007,1188.35
vendorfree,G1,cdouble,1024,48,0,128,48,976,1024,123.7768,0.0001,396.87
vendorfree,G3,cdouble,1024,48,0,128,1024,976,48,38.9884,0.0003,1259.96
vendorfree,G1,cdouble,1024,48,512,128,48,464,512,29.4816,0.0001,396.08
vendorfree,G3,cdouble,1024,48,512,128,512,464,48,9.7887,0.0001,1192.90
vendorfree,G1,cdouble,1024,56,0,128,56,968,1024,165.0318,0.0001,344.43
vendorfree,G3,cdouble,1024,56,0,128,1024,968,56,51.3662,0.0008,1106.59
vendorfree,G1,cdouble,1024,56,512,128,56,456,512,39.2925,0.0000,340.73
vendorfree,G3,cdouble,1024,56,512,128,512,456,56,12.8318,0.0000,1043.36
vendorfree,G1,cdouble,1024,64,0,128,64,960,1024,162.3165,0.0000,396.91
vendorfree,G3,cdouble,1024,64,0,128,1024,960,64,48.3133,0.0003,1333.47
vendorfree,G1,cdouble,1024,64,512,128,64,448,512,37.9578,0.0001,396.03
vendorfree,G3,cdouble,1024,64,512,128,512,448,64,11.3112,0.0002,1328.99
vendorfree,G1,cdouble,1024,96,0,128,96,928,1024,235.3849,0.0001,396.86
vendorfree,G3,cdouble,1024,96,0,128,1024,928,96,71.0876,0.0001,1314.09
vendorfree,G1,cdouble,1024,96,512,128,96,416,512,52.8641,0.0000,396.07
vendorfree,G3,cdouble,1024,96,512,128,512,416,96,16.6033,0.0000,1261.07
vendorfree,G1,cdouble,1024,128,0,128,128,896,1024,303.0549,0.0000,396.82
vendorfree,G3,cdouble,1024,128,0,128,1024,896,128,88.0054,0.0000,1366.50
vendorfree,G1,cdouble,1024,128,512,128,128,384,512,65.0552,0.0000,396.12
vendorfree,G3,cdouble,1024,128,512,128,512,384,128,18.9148,0.0004,1362.42
== PART 2: end-to-end WY apply vs forced nb, vendor-free build ==
nb_forced,op,type,n,batch,med_ms,mean_ms,rel_sd,GFLOPs,res,ortho,recon,ws,route,nbused,dQ
8,synthI,float,256,512,10.4391,10.4408,0.0002,1645.72,-1.000e+00,1.442e-06,-1.000e+00,12713984,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,float,256,512,6.2896,6.2891,0.0002,2731.48,-1.000e+00,1.390e-06,-1.000e+00,25690112,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,float,256,512,7.0045,7.0049,0.0001,2452.68,-1.000e+00,1.614e-06,-1.000e+00,38928384,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,float,256,512,6.7893,6.7916,0.0007,2530.42,-1.000e+00,1.699e-06,-1.000e+00,52428800,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,float,256,512,8.7980,8.7972,0.0002,1952.71,-1.000e+00,2.287e-06,-1.000e+00,80216064,route=1:3,nb=48,dQ=-1.000e+00
