build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
vendorfree,G3,double,1024,56,0,128,1024,968,56,10.8933,0.0001,1304.50
vendor,G1,double,1024,56,56,128,56,912,968,10.4170,0.0001,1214.94
vendorfree,G1,double,1024,56,56,128,56,912,968,10.4159,0.0001,1215.07
vendor,G3,double,1024,56,56,128,968,912,56,9.6905,0.0000,1306.02
vendorfree,G3,double,1024,56,56,128,968,912,56,9.6906,0.0001,1306.02
vendor,G1,double,1024,56,112,128,56,856,912,9.3102,0.0001,1202.09
vendorfree,G1,double,1024,56,112,128,56,856,912,9.3103,0.0000,1202.08
vendor,G3,double,1024,56,112,128,912,856,56,8.5906,0.0000,1302.78
vendorfree,G3,double,1024,56,112,128,912,856,56,8.5901,0.0001,1302.87
vendor,G1,double,1024,56,168,128,56,800,856,8.0819,0.0003,1214.73
vendorfree,G1,double,1024,56,168,128,56,800,856,8.0850,0.0001,1214.26
vendor,G3,double,1024,56,168,128,856,800,56,7.5287,0.0002,1303.99
vendorfree,G3,double,1024,56,168,128,856,800,56,7.5293,0.0001,1303.87
vendor,G1,double,1024,56,224,128,56,744,800,7.1148,0.0005,1199.30
vendorfree,G1,double,1024,56,224,128,56,744,800,7.1140,0.0001,1199.43
vendor,G3,double,1024,56,224,128,800,744,56,6.5611,0.0001,1300.52
vendorfree,G3,double,1024,56,224,128,800,744,56,6.5604,0.0001,1300.65
vendor,G1,double,1024,56,280,128,56,688,744,6.0531,0.0001,1212.31
vendorfree,G1,double,1024,56,280,128,56,688,744,6.0480,0.0002,1213.33
vendor,G3,double,1024,56,280,128,744,688,56,5.6350,0.0001,1302.26
vendorfree,G3,double,1024,56,280,128,744,688,56,5.6353,0.0001,1302.18
vendor,G1,double,1024,56,336,128,56,632,688,5.2131,0.0000,1195.73
vendorfree,G1,double,1024,56,336,128,56,632,688,5.2117,0.0000,1196.07
vendor,G3,double,1024,56,336,128,688,632,56,4.8044,0.0001,1297.46
vendorfree,G3,double,1024,56,336,128,688,632,56,4.8047,0.0002,1297.38
vendor,G1,double,1024,56,392,128,56,576,632,4.3091,0.0001,1211.12
vendorfree,G1,double,1024,56,392,128,56,576,632,4.3105,0.0002,1210.72
vendor,G3,double,1024,56,392,128,632,576,56,4.0163,0.0001,1299.39
vendorfree,G3,double,1024,56,392,128,632,576,56,4.0160,0.0001,1299.49
vendor,G1,double,1024,56,448,128,56,520,576,3.6047,0.0001,1191.19
vendorfree,G1,double,1024,56,448,128,56,520,576,3.6055,0.0002,1190.95
vendor,G3,double,1024,56,448,128,576,520,56,3.3212,0.0000,1292.87
vendorfree,G3,double,1024,56,448,128,576,520,56,3.3209,0.0001,1292.98
vendor,G1,double,1024,56,504,128,56,464,520,2.8627,0.0002,1208.28
vendorfree,G1,double,1024,56,504,128,56,464,520,2.8629,0.0003,1208.21
vendor,G3,double,1024,56,504,128,520,464,56,2.6739,0.0004,1293.63
vendorfree,G3,double,1024,56,504,128,520,464,56,2.6740,0.0002,1293.56
vendor,G1,double,1024,56,560,128,56,408,464,2.2946,0.0003,1182.75
vendorfree,G1,double,1024,56,560,128,56,408,464,2.2955,0.0005,1182.32
vendor,G3,double,1024,56,560,128,464,408,56,2.1106,0.0003,1285.87
vendorfree,G3,double,1024,56,560,128,464,408,56,2.1106,0.0005,1285.90
vendor,G1,double,1024,56,616,128,56,352,408,1.7109,0.0002,1203.41
vendorfree,G1,double,1024,56,616,128,56,352,408,1.7112,0.0002,1203.20
vendor,G3,double,1024,56,616,128,408,352,56,1.6021,0.0002,1285.12
vendorfree,G3,double,1024,56,616,128,408,352,56,1.6025,0.0005,1284.83
vendor,G1,double,1024,56,672,128,56,296,352,1.2781,0.0002,1168.66
vendorfree,G1,double,1024,56,672,128,56,296,352,1.2790,0.0003,1167.90
vendor,G3,double,1024,56,672,128,352,296,56,1.1739,0.0002,1272.43
vendorfree,G3,double,1024,56,672,128,352,296,56,1.1736,0.0001,1272.71
vendor,G1,double,1024,56,728,128,56,240,296,0.8523,0.0003,1194.86
vendorfree,G1,double,1024,56,728,128,56,240,296,0.8528,0.0004,1194.25
vendor,G3,double,1024,56,728,128,296,240,56,0.8027,0.0006,1268.82
vendorfree,G3,double,1024,56,728,128,296,240,56,0.8026,0.0002,1268.85
vendor,G1,double,1024,56,784,128,56,184,240,0.5569,0.0004,1136.81
vendorfree,G1,double,1024,56,784,128,56,184,240,0.5566,0.0003,1137.38
vendor,G3,double,1024,56,784,128,240,184,56,0.5107,0.0012,1239.60
vendorfree,G3,double,1024,56,784,128,240,184,56,0.5117,0.0030,1237.18
vendor,G1,double,1024,56,840,128,56,128,184,0.2888,0.0008,1168.98
vendorfree,G1,double,1024,56,840,128,56,128,184,0.2890,0.0010,1168.37
vendor,G3,double,1024,56,840,128,184,128,56,0.2749,0.0014,1228.22
vendorfree,G3,double,1024,56,840,128,184,128,56,0.2750,0.0005,1227.83
vendor,G1,double,1024,56,896,128,56,72,128,0.1304,0.0007,1013.33
vendorfree,G1,double,1024,56,896,128,56,72,128,0.1303,0.0013,1014.36
vendor,G3,double,1024,56,896,128,128,72,56,0.1189,0.0010,1111.44
vendorfree,G3,double,1024,56,896,128,128,72,56,0.1191,0.0006,1109.73
vendor,G1,double,1024,56,952,128,56,16,72,0.0215,0.0060,766.40
vendorfree,G1,double,1024,56,952,128,56,16,72,0.0215,0.0109,767.18
vendor,G3,double,1024,56,952,128,72,16,56,0.0212,0.0060,779.31
vendorfree,G3,double,1024,56,952,128,72,16,56,0.0212,0.0011,779.23
vendor,G1,double,1024,56,1008,128,SKIP_n2_le_0
vendorfree,G1,double,1024,56,1008,128,SKIP_n2_le_0
vendor,G3,double,1024,56,1008,128,SKIP_n2_le_0
vendorfree,G3,double,1024,56,1008,128,SKIP_n2_le_0
vendor,G1,cfloat,1024,56,0,128,56,968,1024,1.6795,0.0003,33844.39
vendorfree,G1,cfloat,1024,56,0,128,56,968,1024,8.1491,0.0024,6975.14
vendor,G3,cfloat,1024,56,0,128,1024,968,56,2.3638,0.0028,24046.24
vendorfree,G3,cfloat,1024,56,0,128,1024,968,56,2.3384,0.0003,24308.03
vendor,G1,cfloat,1024,56,56,128,56,912,968,1.4495,0.0003,34924.66
vendorfree,G1,cfloat,1024,56,56,128,56,912,968,7.3963,0.0013,6844.50
vendor,G3,cfloat,1024,56,56,128,968,912,56,2.1243,0.0025,23831.23
vendorfree,G3,cfloat,1024,56,56,128,968,912,56,2.2181,0.0001,22823.35
vendor,G1,cfloat,1024,56,112,128,56,856,912,1.2890,0.0004,34731.02
vendorfree,G1,cfloat,1024,56,112,128,56,856,912,6.4981,0.0021,6889.27
vendor,G3,cfloat,1024,56,112,128,912,856,56,1.8989,0.0021,23575.03
vendorfree,G3,cfloat,1024,56,112,128,912,856,56,1.9241,0.0013,23266.67
vendor,G1,cfloat,1024,56,168,128,56,800,856,1.1330,0.0005,34659.22
vendorfree,G1,cfloat,1024,56,168,128,56,800,856,5.7018,0.0005,6887.17
vendor,G3,cfloat,1024,56,168,128,856,800,56,1.6768,0.0031,23419.51
vendorfree,G3,cfloat,1024,56,168,128,856,800,56,1.7612,0.0204,22296.51
vendor,G1,cfloat,1024,56,224,128,56,744,800,0.9765,0.0005,34953.32
vendorfree,G1,cfloat,1024,56,224,128,56,744,800,4.9573,0.0030,6885.00
vendor,G3,cfloat,1024,56,224,128,800,744,56,1.4612,0.0014,23358.40
vendorfree,G3,cfloat,1024,56,224,128,800,744,56,1.4416,0.0007,23675.19
vendor,G1,cfloat,1024,56,280,128,56,688,744,0.8373,0.0011,35056.02
vendorfree,G1,cfloat,1024,56,280,128,56,688,744,4.2551,0.0002,6898.30
vendor,G3,cfloat,1024,56,280,128,744,688,56,1.3716,0.0027,21400.10
vendorfree,G3,cfloat,1024,56,280,128,744,688,56,1.3005,0.0022,22569.94
vendor,G1,cfloat,1024,56,336,128,56,632,688,0.7168,0.0004,34786.30
vendorfree,G1,cfloat,1024,56,336,128,56,632,688,3.6297,0.0041,6869.40
vendor,G3,cfloat,1024,56,336,128,688,632,56,1.0906,0.0008,22863.25
vendorfree,G3,cfloat,1024,56,336,128,688,632,56,1.1329,0.0015,22008.19
vendor,G1,cfloat,1024,56,392,128,56,576,632,0.5725,0.0015,36463.86
vendorfree,G1,cfloat,1024,56,392,128,56,576,632,3.0270,0.0016,6896.34
vendor,G3,cfloat,1024,56,392,128,632,576,56,0.9218,0.0018,22647.05
vendorfree,G3,cfloat,1024,56,392,128,632,576,56,0.9416,0.0021,22170.00
vendor,G1,cfloat,1024,56,448,128,56,520,576,0.5118,0.0011,33559.48
vendorfree,G1,cfloat,1024,56,448,128,56,520,576,2.5432,0.0002,6753.50
vendor,G3,cfloat,1024,56,448,128,576,520,56,0.7535,0.0040,22793.29
vendorfree,G3,cfloat,1024,56,448,128,576,520,56,0.7572,0.0006,22682.57
vendor,G1,cfloat,1024,56,504,128,56,464,520,0.4174,0.0012,33145.58
vendorfree,G1,cfloat,1024,56,504,128,56,464,520,2.0146,0.0002,6867.86
vendor,G3,cfloat,1024,56,504,128,520,464,56,0.6371,0.0019,21716.48
vendorfree,G3,cfloat,1024,56,504,128,520,464,56,0.6700,0.0016,20649.21
vendor,G1,cfloat,1024,56,560,128,56,408,464,0.3260,0.0007,33295.73
vendorfree,G1,cfloat,1024,56,560,128,56,408,464,1.6030,0.0001,6772.38
vendor,G3,cfloat,1024,56,560,128,464,408,56,0.5068,0.0078,21420.88
vendorfree,G3,cfloat,1024,56,560,128,464,408,56,0.5302,0.0028,20473.73
vendor,G1,cfloat,1024,56,616,128,56,352,408,0.2538,0.0013,32454.98
vendorfree,G1,cfloat,1024,56,616,128,56,352,408,1.2151,0.0003,6777.62
vendor,G3,cfloat,1024,56,616,128,408,352,56,0.4002,0.0062,20578.29
vendorfree,G3,cfloat,1024,56,616,128,408,352,56,0.4144,0.0017,19874.16
vendor,G1,cfloat,1024,56,672,128,56,296,352,0.2072,0.0009,28832.50
vendorfree,G1,cfloat,1024,56,672,128,56,296,352,0.8974,0.0006,6658.01
vendor,G3,cfloat,1024,56,672,128,352,296,56,0.2813,0.0011,21239.08
vendorfree,G3,cfloat,1024,56,672,128,352,296,56,0.2918,0.0018,20477.09
vendor,G1,cfloat,1024,56,728,128,56,240,296,0.1359,0.0040,29982.47
vendorfree,G1,cfloat,1024,56,728,128,56,240,296,0.6050,0.0004,6733.75
vendor,G3,cfloat,1024,56,728,128,296,240,56,0.2043,0.0049,19938.61
vendorfree,G3,cfloat,1024,56,728,128,296,240,56,0.2203,0.0026,18487.49
vendor,G1,cfloat,1024,56,784,128,56,184,240,0.0737,0.0030,34342.94
vendorfree,G1,cfloat,1024,56,784,128,56,184,240,0.3870,0.0008,6542.83
vendor,G3,cfloat,1024,56,784,128,240,184,56,0.0959,0.0043,26417.87
