build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
vendorfree,G1,cfloat,512,48,256,512,48,208,256,1.4461,0.0005,7239.55
vendor,G3,cfloat,512,48,256,512,256,208,48,0.5855,0.0019,17879.59
vendorfree,G3,cfloat,512,48,256,512,256,208,48,0.5886,0.0005,17787.18
vendor,G1,cfloat,1024,56,0,128,56,968,1024,1.8489,0.0033,30742.89
vendorfree,G1,cfloat,1024,56,0,128,56,968,1024,8.6476,0.0018,6573.09
vendor,G3,cfloat,1024,56,0,128,1024,968,56,2.3705,0.0020,23978.86
vendorfree,G3,cfloat,1024,56,0,128,1024,968,56,2.3397,0.0008,24294.11
vendor,G1,cfloat,1024,56,512,128,56,456,512,0.4616,0.0009,29003.44
vendorfree,G1,cfloat,1024,56,512,128,56,456,512,2.0749,0.0006,6452.35
vendor,G3,cfloat,1024,56,512,128,512,456,56,0.6008,0.0025,22282.91
vendorfree,G3,cfloat,1024,56,512,128,512,456,56,0.6013,0.0024,22266.79
vendor,G1,cfloat,2048,56,0,32,56,1992,2048,1.8600,0.0002,31443.36
vendorfree,G1,cfloat,2048,56,0,32,56,1992,2048,8.8743,0.0006,6590.40
vendor,G3,cfloat,2048,56,0,32,2048,1992,56,2.3520,0.0014,24866.59
vendorfree,G3,cfloat,2048,56,0,32,2048,1992,56,2.3514,0.0060,24873.03
vendor,G1,cfloat,2048,56,1024,32,56,968,1024,0.4625,0.0006,30726.84
vendorfree,G1,cfloat,2048,56,1024,32,56,968,1024,2.1823,0.0004,6511.49
vendor,G3,cfloat,2048,56,1024,32,1024,968,56,0.6300,0.0169,22556.79
vendorfree,G3,cfloat,2048,56,1024,32,1024,968,56,0.6146,0.0030,23122.35
vendor,G1,cdouble,256,24,0,2048,24,232,256,26.1326,0.0001,893.67
vendorfree,G1,cdouble,256,24,0,2048,24,232,256,81.8380,0.0001,285.37
vendor,G3,cdouble,256,24,0,2048,256,232,24,28.3342,0.0001,824.23
vendorfree,G3,cdouble,256,24,0,2048,256,232,24,65.0891,0.0000,358.80
vendor,G1,cdouble,256,24,128,2048,24,104,128,6.1258,0.0001,854.50
vendorfree,G1,cdouble,256,24,128,2048,24,104,128,19.1109,0.0001,273.90
vendor,G3,cdouble,256,24,128,2048,128,104,24,6.6043,0.0005,792.59
vendorfree,G3,cdouble,256,24,128,2048,128,104,24,15.1997,0.0000,344.38
vendor,G1,cdouble,512,48,0,512,48,464,512,50.0500,0.0000,933.22
vendorfree,G1,cdouble,512,48,0,512,48,464,512,117.8926,0.0001,396.19
vendor,G3,cdouble,512,48,0,512,512,464,48,39.5967,0.0001,1179.59
vendorfree,G3,cdouble,512,48,0,512,512,464,48,39.0362,0.0001,1196.52
vendor,G1,cdouble,512,48,256,512,48,208,256,11.2768,0.0037,928.36
vendorfree,G1,cdouble,512,48,256,512,48,208,256,26.5245,0.0000,394.69
vendor,G3,cdouble,512,48,256,512,256,208,48,8.8980,0.0002,1176.55
vendorfree,G3,cdouble,512,48,256,512,256,208,48,9.6598,0.0000,1083.76
vendor,G1,cdouble,1024,56,0,128,56,968,1024,52.5288,0.0000,1082.10
vendorfree,G1,cdouble,1024,56,0,128,56,968,1024,165.0593,0.0001,344.37
vendor,G3,cdouble,1024,56,0,128,1024,968,56,54.7429,0.0003,1038.33
vendorfree,G3,cdouble,1024,56,0,128,1024,968,56,51.2446,0.0009,1109.21
vendor,G1,cdouble,1024,56,512,128,56,456,512,12.5194,0.0001,1069.40
vendorfree,G1,cdouble,1024,56,512,128,56,456,512,39.2983,0.0001,340.68
vendor,G3,cdouble,1024,56,512,128,512,456,56,13.0252,0.0001,1027.87
vendorfree,G3,cdouble,1024,56,512,128,512,456,56,12.8340,0.0001,1043.18
vendor,G1,cdouble,2048,56,0,32,56,1992,2048,55.0091,0.0004,1063.19
vendorfree,G1,cdouble,2048,56,0,32,56,1992,2048,168.9490,0.0001,346.17
vendor,G3,cdouble,2048,56,0,32,2048,1992,56,56.0746,0.0002,1042.99
vendorfree,G3,cdouble,2048,56,0,32,2048,1992,56,51.1695,0.0002,1142.97
vendor,G1,cdouble,2048,56,1024,32,56,968,1024,13.7724,0.0000,1031.80
vendorfree,G1,cdouble,2048,56,1024,32,56,968,1024,41.2727,0.0000,344.30
vendor,G3,cdouble,2048,56,1024,32,1024,968,56,13.7008,0.0052,1037.19
vendorfree,G3,cdouble,2048,56,1024,32,1024,968,56,12.8397,0.0012,1106.75
