2760 MHz, 63
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      1       0       0       1       0       100         0.014042    1.2175e-05  1.5242e+05  112.01      28.294      14.042      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      2       0       0       1       0       100         0.014170    2.7150e-06  1.5242e+05  221.99      56.077      7.0851      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      4       0       0       1       0       100         0.015037    1.2432e-05  1.5242e+05  418.39      105.69      3.7593      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      8       0       0       1       0       100         0.017470    1.1691e-05  1.5242e+05  720.28      181.95      2.1837      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      16      0       0       1       0       100         0.028178    1.2577e-05  1.5242e+05  893.12      225.61      1.7611      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      32      0       0       1       0       100         0.050627    3.6766e-05  1.5242e+05  994.17      251.13      1.5821      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      64      0       0       1       0       100         0.078582    0.00020549  1.5242e+05  1281.0      323.59      1.2278      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      128     0       0       1       0       100         0.14008     0.0014102   1.5242e+05  1437.2      363.05      1.0944      16384       16          
2775 MHz, 62
