m,n,k,batch,beta,tA,tB,arm,rep,gflops
1024,1024,1024,64,0,0,0,vendor,1,1247.1
1024,1024,1024,64,0,0,0,vendor,2,1246.9
1024,1024,1024,64,0,0,0,vendor,3,1246.7
1024,1024,1024,64,0,0,0,sycl,1,1414.0
1024,1024,1024,64,0,0,0,sycl,2,1414.6
1024,1024,1024,64,0,0,0,sycl,3,1414.8
1024,1024,1024,64,1,0,0,vendor,1,1245.7
1024,1024,1024,64,1,0,0,vendor,2,1245.5
1024,1024,1024,64,1,0,0,vendor,3,1245.7
1024,1024,1024,64,1,0,0,sycl,1,1414.4
1024,1024,1024,64,1,0,0,sycl,2,1413.5
1024,1024,1024,64,1,0,0,sycl,3,1413.8
2048,2048,2048,16,0,0,0,vendor,1,1247.7
2048,2048,2048,16,0,0,0,vendor,2,1247.5
2048,2048,2048,16,0,0,0,vendor,3,1247.7
2048,2048,2048,16,0,0,0,sycl,1,1417.4
2048,2048,2048,16,0,0,0,sycl,2,1417.2
2048,2048,2048,16,0,0,0,sycl,3,1417.3
2048,2048,2048,16,1,0,0,vendor,1,1246.9
2048,2048,2048,16,1,0,0,vendor,2,1247.1
2048,2048,2048,16,1,0,0,vendor,3,1247.2
2048,2048,2048,16,1,0,0,sycl,1,1417.1
2048,2048,2048,16,1,0,0,sycl,2,1417.1
2048,2048,2048,16,1,0,0,sycl,3,1416.8
4096,64,64,64,0,0,0,vendor,1,1214.1
4096,64,64,64,0,0,0,vendor,2,1213.6
4096,64,64,64,0,0,0,vendor,3,1212.1
4096,64,64,64,0,0,0,sycl,1,1267.3
4096,64,64,64,0,0,0,sycl,2,1266.4
4096,64,64,64,0,0,0,sycl,3,1268.0
4096,64,64,64,1,0,0,vendor,1,1195.8
4096,64,64,64,1,0,0,vendor,2,1198.1
4096,64,64,64,1,0,0,vendor,3,1196.3
4096,64,64,64,1,0,0,sycl,1,1266.8
4096,64,64,64,1,0,0,sycl,2,1268.2
4096,64,64,64,1,0,0,sycl,3,1264.9
64,4096,64,64,0,0,0,vendor,1,1212.2
64,4096,64,64,0,0,0,vendor,2,1212.1
64,4096,64,64,0,0,0,vendor,3,1212.2
64,4096,64,64,0,0,0,sycl,1,1258.1
64,4096,64,64,0,0,0,sycl,2,1254.5
64,4096,64,64,0,0,0,sycl,3,1258.1
64,4096,64,64,1,0,0,vendor,1,1193.7
64,4096,64,64,1,0,0,vendor,2,1195.6
64,4096,64,64,1,0,0,vendor,3,1172.2
64,4096,64,64,1,0,0,sycl,1,1256.5
64,4096,64,64,1,0,0,sycl,2,1252.8
64,4096,64,64,1,0,0,sycl,3,1257.8
512,512,1,256,0,0,0,vendor,1,229.36
512,512,1,256,0,0,0,vendor,2,229.78
512,512,1,256,0,0,0,vendor,3,229.83
512,512,1,256,0,0,0,sycl,1,112.43
512,512,1,256,0,0,0,sycl,2,112.47
512,512,1,256,0,0,0,sycl,3,112.28
512,512,1,256,1,0,0,vendor,1,113.81
512,512,1,256,1,0,0,vendor,2,114.06
512,512,1,256,1,0,0,vendor,3,114.51
512,512,1,256,1,0,0,sycl,1,112.33
512,512,1,256,1,0,0,sycl,2,112.58
512,512,1,256,1,0,0,sycl,3,112.29
992,992,8,128,0,0,0,vendor,1,541.00
992,992,8,128,0,0,0,vendor,2,541.63
992,992,8,128,0,0,0,vendor,3,541.69
992,992,8,128,0,0,0,sycl,1,756.87
992,992,8,128,0,0,0,sycl,2,754.01
992,992,8,128,0,0,0,sycl,3,755.43
992,992,8,128,1,0,0,vendor,1,518.91
992,992,8,128,1,0,0,vendor,2,518.19
992,992,8,128,1,0,0,vendor,3,518.31
992,992,8,128,1,0,0,sycl,1,755.22
992,992,8,128,1,0,0,sycl,2,755.83
992,992,8,128,1,0,0,sycl,3,754.96
