m,n,k,batch,beta,tA,tB,arm,rep,gflops
992,992,32,128,0,0,0,vendor,1,12353.
992,992,32,128,0,0,0,vendor,2,12313.
992,992,32,128,0,0,0,vendor,3,12380.
992,992,32,128,0,0,0,sycl,1,5219.4
992,992,32,128,0,0,0,sycl,2,5208.9
992,992,32,128,0,0,0,sycl,3,5225.6
992,992,32,128,1,0,0,vendor,1,6908.8
992,992,32,128,1,0,0,vendor,2,6927.0
992,992,32,128,1,0,0,vendor,3,6926.3
992,992,32,128,1,0,0,sycl,1,5222.6
992,992,32,128,1,0,0,sycl,2,5215.4
992,992,32,128,1,0,0,sycl,3,5211.4
992,992,32,128,0,0,1,vendor,1,12353.
992,992,32,128,0,0,1,vendor,2,12299.
992,992,32,128,0,0,1,vendor,3,12352.
992,992,32,128,0,0,1,sycl,1,2504.5
992,992,32,128,0,0,1,sycl,2,2504.3
992,992,32,128,0,0,1,sycl,3,2509.4
992,992,32,128,1,0,1,vendor,1,6947.5
992,992,32,128,1,0,1,vendor,2,6933.6
992,992,32,128,1,0,1,vendor,3,6954.2
992,992,32,128,1,0,1,sycl,1,2509.7
992,992,32,128,1,0,1,sycl,2,2506.2
992,992,32,128,1,0,1,sycl,3,2503.4
992,992,32,128,0,1,0,vendor,1,12520.
992,992,32,128,0,1,0,vendor,2,12514.
992,992,32,128,0,1,0,vendor,3,12486.
992,992,32,128,0,1,0,sycl,1,2630.1
992,992,32,128,0,1,0,sycl,2,2616.1
992,992,32,128,0,1,0,sycl,3,2630.5
992,992,32,128,1,1,0,vendor,1,6870.9
992,992,32,128,1,1,0,vendor,2,6928.5
992,992,32,128,1,1,0,vendor,3,6909.2
992,992,32,128,1,1,0,sycl,1,2632.3
992,992,32,128,1,1,0,sycl,2,2628.2
992,992,32,128,1,1,0,sycl,3,2628.4
480,480,32,128,0,0,0,vendor,1,11678.
480,480,32,128,0,0,0,vendor,2,11548.
480,480,32,128,0,0,0,vendor,3,11454.
480,480,32,128,0,0,0,sycl,1,4166.3
480,480,32,128,0,0,0,sycl,2,4156.3
480,480,32,128,0,0,0,sycl,3,4178.3
480,480,32,128,1,0,0,vendor,1,6785.3
480,480,32,128,1,0,0,vendor,2,6787.4
480,480,32,128,1,0,0,vendor,3,6815.6
480,480,32,128,1,0,0,sycl,1,4162.5
480,480,32,128,1,0,0,sycl,2,4165.6
480,480,32,128,1,0,0,sycl,3,4169.4
480,480,32,128,0,0,1,vendor,1,11688.
480,480,32,128,0,0,1,vendor,2,11499.
480,480,32,128,0,0,1,vendor,3,11619.
480,480,32,128,0,0,1,sycl,1,1957.4
480,480,32,128,0,0,1,sycl,2,1956.2
480,480,32,128,0,0,1,sycl,3,1952.2
480,480,32,128,1,0,1,vendor,1,6698.2
480,480,32,128,1,0,1,vendor,2,6791.3
480,480,32,128,1,0,1,vendor,3,6789.6
480,480,32,128,1,0,1,sycl,1,1950.4
480,480,32,128,1,0,1,sycl,2,1958.6
480,480,32,128,1,0,1,sycl,3,1953.7
480,480,32,128,0,1,0,vendor,1,11623.
480,480,32,128,0,1,0,vendor,2,11592.
480,480,32,128,0,1,0,vendor,3,11506.
480,480,32,128,0,1,0,sycl,1,1996.8
480,480,32,128,0,1,0,sycl,2,1999.0
480,480,32,128,0,1,0,sycl,3,1998.3
480,480,32,128,1,1,0,vendor,1,6818.5
480,480,32,128,1,1,0,vendor,2,6785.1
480,480,32,128,1,1,0,vendor,3,6822.0
480,480,32,128,1,1,0,sycl,1,1994.8
480,480,32,128,1,1,0,sycl,2,1999.3
480,480,32,128,1,1,0,sycl,3,1997.4
288,288,32,128,0,0,0,vendor,1,13884.
288,288,32,128,0,0,0,vendor,2,13841.
288,288,32,128,0,0,0,vendor,3,13731.
288,288,32,128,0,0,0,sycl,1,5109.8
288,288,32,128,0,0,0,sycl,2,5138.9
288,288,32,128,0,0,0,sycl,3,5156.7
288,288,32,128,1,0,0,vendor,1,12551.
288,288,32,128,1,0,0,vendor,2,12821.
288,288,32,128,1,0,0,vendor,3,12381.
288,288,32,128,1,0,0,sycl,1,5080.1
288,288,32,128,1,0,0,sycl,2,5162.8
288,288,32,128,1,0,0,sycl,3,5134.3
288,288,32,128,0,0,1,vendor,1,13950.
288,288,32,128,0,0,1,vendor,2,13782.
288,288,32,128,0,0,1,vendor,3,13936.
288,288,32,128,0,0,1,sycl,1,3398.4
288,288,32,128,0,0,1,sycl,2,3418.3
288,288,32,128,0,0,1,sycl,3,3481.5
288,288,32,128,1,0,1,vendor,1,12733.
288,288,32,128,1,0,1,vendor,2,12787.
288,288,32,128,1,0,1,vendor,3,12675.
288,288,32,128,1,0,1,sycl,1,3436.3
288,288,32,128,1,0,1,sycl,2,3451.0
288,288,32,128,1,0,1,sycl,3,3437.3
288,288,32,128,0,1,0,vendor,1,13702.
288,288,32,128,0,1,0,vendor,2,14039.
288,288,32,128,0,1,0,vendor,3,13416.
288,288,32,128,0,1,0,sycl,1,3463.4
288,288,32,128,0,1,0,sycl,2,3472.5
288,288,32,128,0,1,0,sycl,3,3443.0
288,288,32,128,1,1,0,vendor,1,12349.
288,288,32,128,1,1,0,vendor,2,12364.
288,288,32,128,1,1,0,vendor,3,12420.
288,288,32,128,1,1,0,sycl,1,3453.1
288,288,32,128,1,1,0,sycl,2,3466.7
288,288,32,128,1,1,0,sycl,3,3442.5
224,224,32,128,0,0,0,vendor,1,14681.
224,224,32,128,0,0,0,vendor,2,14892.
224,224,32,128,0,0,0,vendor,3,14747.
224,224,32,128,0,0,0,sycl,1,5273.8
224,224,32,128,0,0,0,sycl,2,5331.2
224,224,32,128,0,0,0,sycl,3,5322.5
224,224,32,128,1,0,0,vendor,1,12866.
224,224,32,128,1,0,0,vendor,2,12511.
224,224,32,128,1,0,0,vendor,3,13469.
224,224,32,128,1,0,0,sycl,1,5336.4
224,224,32,128,1,0,0,sycl,2,5315.3
224,224,32,128,1,0,0,sycl,3,5270.3
224,224,32,128,0,0,1,vendor,1,15263.
224,224,32,128,0,0,1,vendor,2,15563.
224,224,32,128,0,0,1,vendor,3,15658.
224,224,32,128,0,0,1,sycl,1,3379.7
224,224,32,128,0,0,1,sycl,2,3357.2
224,224,32,128,0,0,1,sycl,3,3393.3
224,224,32,128,1,0,1,vendor,1,13869.
224,224,32,128,1,0,1,vendor,2,14146.
224,224,32,128,1,0,1,vendor,3,14147.
224,224,32,128,1,0,1,sycl,1,3394.6
224,224,32,128,1,0,1,sycl,2,3384.7
224,224,32,128,1,0,1,sycl,3,3390.0
224,224,32,128,0,1,0,vendor,1,14570.
224,224,32,128,0,1,0,vendor,2,14342.
224,224,32,128,0,1,0,vendor,3,14646.
224,224,32,128,0,1,0,sycl,1,3421.4
224,224,32,128,0,1,0,sycl,2,3415.5
224,224,32,128,0,1,0,sycl,3,3419.4
224,224,32,128,1,1,0,vendor,1,13429.
224,224,32,128,1,1,0,vendor,2,13620.
224,224,32,128,1,1,0,vendor,3,13841.
224,224,32,128,1,1,0,sycl,1,3420.9
224,224,32,128,1,1,0,sycl,2,3398.7
224,224,32,128,1,1,0,sycl,3,3420.0
248,248,8,128,0,0,0,vendor,1,5406.5
248,248,8,128,0,0,0,vendor,2,5457.9
248,248,8,128,0,0,0,vendor,3,5324.7
248,248,8,128,0,0,0,sycl,1,2158.3
248,248,8,128,0,0,0,sycl,2,2270.2
248,248,8,128,0,0,0,sycl,3,2266.4
248,248,8,128,1,0,0,vendor,1,4739.5
248,248,8,128,1,0,0,vendor,2,4716.1
248,248,8,128,1,0,0,vendor,3,4713.9
248,248,8,128,1,0,0,sycl,1,2211.8
248,248,8,128,1,0,0,sycl,2,2271.9
248,248,8,128,1,0,0,sycl,3,2269.2
248,248,8,128,0,0,1,vendor,1,5409.8
248,248,8,128,0,0,1,vendor,2,5546.5
248,248,8,128,0,0,1,vendor,3,5470.3
248,248,8,128,0,0,1,sycl,1,2217.1
248,248,8,128,0,0,1,sycl,2,2212.9
248,248,8,128,0,0,1,sycl,3,2232.2
248,248,8,128,1,0,1,vendor,1,4693.5
248,248,8,128,1,0,1,vendor,2,4632.1
248,248,8,128,1,0,1,vendor,3,4699.3
248,248,8,128,1,0,1,sycl,1,2211.9
248,248,8,128,1,0,1,sycl,2,2233.8
