arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,foreign
vendor,cdouble,32,64,128,T,vendor:auto,0.01172,0.01171,0.0126,374.8,0.395,0.00e+00,32,64,32,4,0
native:cta,cdouble,32,64,128,T,native:cta,0.01709,0.01709,0.0097,256.9,0.270,0.00e+00,32,64,32,4,0
vendor,cdouble,32,64,128,C,vendor:auto,0.01056,0.01054,0.0111,415.7,0.438,0.00e+00,32,64,32,4,0
native:cta,cdouble,32,64,128,C,native:cta,0.01595,0.01598,0.0051,275.3,0.290,0.00e+00,32,64,32,4,0
vendor,cdouble,32,64,512,T,vendor:auto,0.02572,0.02595,0.0356,682.8,0.719,0.00e+00,32,64,32,16,0
native:cta,cdouble,32,64,512,T,native:cta,0.04575,0.04578,0.0031,383.9,0.404,0.00e+00,32,64,32,16,0
vendor,cdouble,32,64,512,C,vendor:auto,0.02811,0.02812,0.0134,624.8,0.658,0.00e+00,32,64,32,16,0
native:cta,cdouble,32,64,512,C,native:cta,0.04683,0.04681,0.0056,375.0,0.395,0.00e+00,32,64,32,16,0
vendor,cdouble,64,64,128,T,vendor:auto,0.01209,0.01212,0.0099,715.5,0.753,0.00e+00,64,64,64,8,0
native:cta,cdouble,64,64,128,T,native:cta,0.01820,0.01823,0.0055,475.4,0.500,0.00e+00,64,64,64,8,0
vendor,cdouble,64,64,128,C,vendor:auto,0.01223,0.01229,0.0140,707.4,0.745,0.00e+00,64,64,64,8,0
native:cta,cdouble,64,64,128,C,native:cta,0.01852,0.01846,0.0087,467.2,0.492,0.00e+00,64,64,64,8,0
vendor,cdouble,64,64,512,T,vendor:auto,0.04507,0.04511,0.0034,767.7,0.808,0.00e+00,64,64,64,32,0
native:cta,cdouble,64,64,512,T,native:cta,0.05399,0.05401,0.0015,640.9,0.675,0.00e+00,64,64,64,32,0
vendor,cdouble,64,64,512,C,vendor:auto,0.04624,0.04616,0.0086,748.4,0.788,0.00e+00,64,64,64,32,0
native:cta,cdouble,64,64,512,C,native:cta,0.05419,0.05415,0.0035,638.5,0.672,0.00e+00,64,64,64,32,0
