type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,1,2048,512,T,auto,8,1,0.12452,1.26381,0.0109,0.0034,269.5,26.6,10.1499,0.00e+00,0.00e+00,1,2048,1,16,0
double,1,2048,512,T,auto,8,1,0.04912,0.50573,0.0031,0.0006,341.7,33.2,10.2967,0.00e+00,0.00e+00,1,2048,1,8,0
cfloat,1,2048,512,T,auto,8,1,0.02665,0.16020,0.0218,0.0011,629.6,104.7,6.0110,0.00e+00,0.00e+00,1,2048,1,8,0
float,1,2048,512,T,auto,8,1,0.02499,0.14216,0.0064,0.0020,335.7,59.0,5.6876,0.00e+00,0.00e+00,1,2048,1,4,0
cdouble,2,2048,512,T,auto,8,1,0.12404,1.26673,0.0020,0.0003,405.9,39.7,10.2122,0.00e+00,0.00e+00,2,2048,2,32,0
double,2,2048,512,T,auto,8,1,0.04801,0.50321,0.0074,0.0003,524.3,50.0,10.4809,0.00e+00,0.00e+00,2,2048,2,16,0
cfloat,2,2048,512,T,auto,8,1,0.02545,0.15953,0.0024,0.0026,989.0,157.8,6.2672,0.00e+00,0.00e+00,2,2048,2,16,0
float,2,2048,512,T,auto,8,1,0.02407,0.14119,0.0028,0.0008,523.0,89.1,5.8665,0.00e+00,0.00e+00,2,2048,2,8,0
cdouble,4,2048,512,T,auto,8,1,0.12526,1.26985,0.0076,0.0002,670.0,66.1,10.1381,0.00e+00,0.00e+00,4,2048,4,64,0
double,4,2048,512,T,auto,8,1,0.04808,0.50434,0.0018,0.0006,872.7,83.2,10.4901,0.00e+00,0.00e+00,4,2048,4,32,0
cfloat,4,2048,512,T,auto,8,1,0.02551,0.16027,0.0046,0.0011,1645.0,261.8,6.2834,0.00e+00,0.00e+00,4,2048,4,32,0
float,4,2048,512,T,auto,8,1,0.02391,0.14154,0.0101,0.0010,877.6,148.2,5.9206,0.00e+00,0.00e+00,4,2048,4,16,0
cdouble,8,2048,512,T,auto,8,1,0.17225,1.27097,0.0020,0.0004,877.0,118.9,7.3785,0.00e+00,0.00e+00,8,2048,8,128,0
double,8,2048,512,T,auto,8,1,0.05448,0.50439,0.0608,0.0010,1386.3,149.7,9.2576,0.00e+00,0.00e+00,8,2048,8,64,0
cfloat,8,2048,512,T,auto,8,1,0.04335,0.16811,0.0229,0.0025,1742.3,449.3,3.8778,0.00e+00,0.00e+00,8,2048,8,64,0
float,8,2048,512,T,auto,8,1,0.02527,0.14451,0.0091,0.0008,1494.3,261.3,5.7180,0.00e+00,0.00e+00,8,2048,8,32,0
cdouble,16,2048,512,T,auto,8,1,0.31929,1.27413,0.0022,0.0005,893.7,224.0,3.9905,0.00e+00,0.00e+00,16,2048,16,256,0
double,16,2048,512,T,auto,8,1,0.16129,0.50590,0.0088,0.0005,884.6,282.0,3.1365,0.00e+00,0.00e+00,16,2048,16,128,0
cfloat,16,2048,512,T,auto,8,1,0.16201,0.18446,0.0108,0.0020,880.6,773.4,1.1386,0.00e+00,0.00e+00,16,2048,16,128,0
float,16,2048,512,T,auto,8,1,0.02836,0.14406,0.0055,0.0068,2515.3,495.2,5.0795,0.00e+00,0.00e+00,16,2048,16,64,0
cdouble,24,2048,512,T,auto,8,1,0.46599,1.27425,0.0311,0.0021,900.5,329.3,2.7345,0.00e+00,0.00e+00,24,2048,24,384,0
double,24,2048,512,T,auto,8,1,0.23410,0.50567,0.0086,0.0016,896.3,414.9,2.1601,0.00e+00,0.00e+00,24,2048,24,192,0
cfloat,24,2048,512,T,auto,1,1,0.23115,0.23119,0.0032,0.0054,907.7,907.5,1.0002,0.00e+00,0.00e+00,24,2048,24,192,0
float,24,2048,512,T,auto,8,1,0.11911,0.16037,0.0032,0.0031,880.8,654.2,1.3464,0.00e+00,0.00e+00,24,2048,24,96,0
cdouble,32,2048,512,T,auto,8,1,0.60745,1.27448,0.0019,0.0003,911.9,434.6,2.0981,0.00e+00,0.00e+00,32,2048,32,512,0
double,32,2048,512,T,auto,8,1,0.30573,0.50613,0.0020,0.0011,905.9,547.2,1.6555,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,T,auto,1,1,0.30087,0.30077,0.0076,0.0022,920.5,920.8,0.9997,0.00e+00,0.00e+00,32,2048,32,256,0
float,32,2048,512,T,auto,4,1,0.15528,0.16612,0.0090,0.0065,891.8,833.6,1.0698,0.00e+00,0.00e+00,32,2048,32,128,0
cdouble,48,2048,512,T,auto,4,1,0.89451,1.80264,0.0019,0.0002,919.5,456.3,2.0152,0.00e+00,0.00e+00,48,2048,48,768,0
double,48,2048,512,T,auto,4,1,0.44827,0.50275,0.0018,0.0025,917.4,818.0,1.1215,0.00e+00,0.00e+00,48,2048,48,384,0
cfloat,48,2048,512,T,auto,1,1,0.44300,0.44256,0.0080,0.0012,928.3,929.2,0.9990,0.00e+00,0.00e+00,48,2048,48,384,0
float,48,2048,512,T,auto,1,1,0.22517,0.22476,0.0045,0.0099,913.2,914.8,0.9982,0.00e+00,0.00e+00,48,2048,48,192,0
cdouble,64,2048,512,T,auto,4,1,1.18161,1.54024,0.0041,0.0022,923.4,708.4,1.3035,0.00e+00,0.00e+00,64,2048,64,1024,0
double,64,2048,512,T,auto,1,1,0.58689,0.58631,0.0022,0.0025,929.5,930.4,0.9990,0.00e+00,0.00e+00,64,2048,64,512,0
cfloat,64,2048,512,T,auto,1,1,0.59027,0.58971,0.0058,0.0027,924.2,925.1,0.9991,0.00e+00,0.00e+00,64,2048,64,512,0
float,64,2048,512,T,auto,1,1,0.29454,0.29448,0.0010,0.0005,926.1,926.2,0.9998,0.00e+00,0.00e+00,64,2048,64,256,0
