arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,1,64,512,N,vendor:auto,0.00773,0.00776,0.0188,34.2,0.036,0.00e+00,1,1,64,0
native:direct,float,1,64,512,N,native:direct,0.00627,0.00629,0.0154,42.1,0.044,0.00e+00,1,1,64,0
vendor,double,1,64,512,N,vendor:auto,0.00834,0.00832,0.0112,63.4,0.067,0.00e+00,1,1,64,0
native:direct,double,1,64,512,N,native:direct,0.00654,0.00659,0.0180,80.8,0.085,0.00e+00,1,1,64,0
vendor,cfloat,1,64,512,N,vendor:auto,0.00780,0.00787,0.0179,67.8,0.071,0.00e+00,1,1,64,0
native:direct,cfloat,1,64,512,N,native:direct,0.00643,0.00643,0.0101,82.1,0.086,0.00e+00,1,1,64,0
vendor,cdouble,1,64,512,N,vendor:auto,0.00936,0.00956,0.0605,112.9,0.119,0.00e+00,1,1,64,0
native:direct,cdouble,1,64,512,N,native:direct,0.00663,0.00663,0.0129,159.4,0.168,0.00e+00,1,1,64,0
vendor,float,64,1,512,T,vendor:auto,0.00775,0.00814,0.1418,34.1,0.036,0.00e+00,64,1,64,0
native:direct,float,64,1,512,T,native:direct,0.00815,0.00921,0.3802,32.4,0.034,0.00e+00,64,1,64,0
native:cta,float,64,1,512,T,native:cta,0.00610,0.00612,0.0150,43.3,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,T,vendor:auto,0.00833,0.00835,0.0152,63.4,0.067,0.00e+00,64,1,64,0
native:direct,double,64,1,512,T,native:direct,0.00931,0.00932,0.0059,56.7,0.060,0.00e+00,64,1,64,0
native:cta,double,64,1,512,T,native:cta,0.00617,0.00617,0.0088,85.7,0.090,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,T,vendor:auto,0.00789,0.00794,0.0182,67.0,0.071,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,T,native:direct,0.01080,0.01083,0.0114,48.9,0.051,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,T,native:cta,0.00611,0.00617,0.0217,86.4,0.091,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,T,vendor:auto,0.00926,0.00933,0.0241,114.2,0.120,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,T,native:direct,0.01371,0.01378,0.0299,77.1,0.081,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,T,native:cta,0.00682,0.00684,0.0137,154.9,0.163,0.00e+00,64,1,64,0
vendor,float,64,1,512,C,vendor:auto,0.00781,0.00787,0.0232,33.8,0.036,0.00e+00,64,1,64,0
native:direct,float,64,1,512,C,native:direct,0.00807,0.00942,0.4623,32.7,0.034,0.00e+00,64,1,64,0
native:cta,float,64,1,512,C,native:cta,0.00609,0.00610,0.0132,43.4,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,C,vendor:auto,0.00833,0.00836,0.0208,63.4,0.067,0.00e+00,64,1,64,0
native:direct,double,64,1,512,C,native:direct,0.00936,0.00979,0.1354,56.4,0.059,0.00e+00,64,1,64,0
native:cta,double,64,1,512,C,native:cta,0.00615,0.00617,0.0094,85.8,0.090,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,C,vendor:auto,0.00783,0.00787,0.0196,67.5,0.071,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,C,native:direct,0.01073,0.01074,0.0056,49.2,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,C,native:cta,0.00605,0.00607,0.0195,87.4,0.092,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,C,vendor:auto,0.00920,0.00924,0.0187,114.9,0.121,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,C,native:direct,0.01364,0.01364,0.0049,77.4,0.082,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,C,native:cta,0.00691,0.00693,0.0117,152.9,0.161,0.00e+00,64,1,64,0
vendor,float,1,512,512,N,vendor:auto,0.00877,0.00882,0.0206,239.5,0.252,0.00e+00,1,1,512,0
native:direct,float,1,512,512,N,native:direct,0.00685,0.00704,0.0767,306.4,0.323,0.00e+00,1,1,512,0
vendor,double,1,512,512,N,vendor:auto,0.01134,0.01171,0.0971,370.1,0.390,0.00e+00,1,1,512,0
native:direct,double,1,512,512,N,native:direct,0.00721,0.00720,0.0081,582.3,0.613,0.00e+00,1,1,512,0
vendor,cfloat,1,512,512,N,vendor:auto,0.00895,0.00898,0.0160,469.0,0.494,0.00e+00,1,1,512,0
native:direct,cfloat,1,512,512,N,native:direct,0.00699,0.00700,0.0163,601.0,0.633,0.00e+00,1,1,512,0
vendor,cdouble,1,512,512,N,vendor:auto,0.02134,0.02139,0.0097,393.5,0.414,0.00e+00,1,1,512,0
native:direct,cdouble,1,512,512,N,native:direct,0.00840,0.00843,0.0155,999.6,1.052,0.00e+00,1,1,512,0
vendor,float,512,1,512,T,vendor:auto,0.00842,0.00841,0.0112,249.2,0.262,0.00e+00,512,1,512,0
native:direct,float,512,1,512,T,native:direct,0.02582,0.02582,0.0032,81.3,0.086,0.00e+00,512,1,512,0
native:cta,float,512,1,512,T,native:cta,0.00651,0.00654,0.0139,322.6,0.340,0.00e+00,512,1,512,0
vendor,double,512,1,512,T,vendor:auto,0.01132,0.01134,0.0080,370.9,0.390,0.00e+00,512,1,512,0
native:direct,double,512,1,512,T,native:direct,0.03557,0.03559,0.0018,118.0,0.124,0.00e+00,512,1,512,0
