type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cfloat,256,256,512,T,auto,1,1,0.29400,0.29352,0.0029,0.0027,920.2,921.7,0.9984,0.00e+00,0.00e+00,256,256,256,256,0
float,256,256,512,T,auto,1,1,0.15041,0.15033,0.0017,0.0022,899.3,899.8,0.9994,0.00e+00,0.00e+00,256,256,256,128,0
cdouble,8,64,512,T,auto,8,1,0.01116,0.04557,0.0869,0.0020,428.8,105.0,4.0842,0.00e+00,0.00e+00,8,64,8,4,0
double,8,64,512,T,auto,8,1,0.00748,0.02159,0.0107,0.0038,319.7,110.8,2.8856,0.00e+00,0.00e+00,8,64,8,2,0
cfloat,8,64,512,T,auto,8,1,0.00673,0.01091,0.0827,0.0083,355.3,219.3,1.6202,0.00e+00,0.00e+00,8,64,8,2,0
float,8,64,512,T,auto,8,1,0.00645,0.01013,0.0136,0.0104,185.3,118.0,1.5701,0.00e+00,0.00e+00,8,64,8,1,0
cdouble,16,64,512,T,auto,8,1,0.01305,0.04570,0.0058,0.0022,692.9,197.9,3.5013,0.00e+00,0.00e+00,16,64,16,8,0
double,16,64,512,T,auto,8,1,0.00853,0.02159,0.0123,0.0040,529.9,209.4,2.5306,0.00e+00,0.00e+00,16,64,16,4,0
cfloat,16,64,512,T,auto,8,1,0.00789,0.01086,0.0543,0.0139,573.3,416.5,1.3764,0.00e+00,0.00e+00,16,64,16,4,0
float,16,64,512,T,auto,8,1,0.00768,0.01101,0.1532,0.0583,294.5,205.3,1.4343,0.00e+00,0.00e+00,16,64,16,2,0
cdouble,32,64,512,T,auto,8,1,0.01703,0.04571,0.0072,0.0087,1031.6,384.3,2.6845,0.00e+00,0.00e+00,32,64,32,16,0
double,32,64,512,T,auto,8,1,0.00980,0.02148,0.0066,0.0039,895.9,408.9,2.1912,0.00e+00,0.00e+00,32,64,32,8,0
cfloat,32,64,512,T,auto,1,1,0.01136,0.01119,0.0175,0.0214,772.8,784.9,0.9846,0.00e+00,0.00e+00,32,64,32,8,0
float,32,64,512,T,auto,4,1,0.00751,0.01021,0.0227,0.0249,584.5,430.1,1.3589,0.00e+00,0.00e+00,32,64,32,4,0
