type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,8,1,512,T,auto,1,1,0.00768,0.00767,0.2236,0.0203,18.1,18.2,0.9986,0.00e+00,0.00e+00,8,1,8,0,0
double,8,1,512,T,auto,1,1,0.00729,0.00749,0.0204,0.0240,9.5,9.3,1.0269,0.00e+00,0.00e+00,8,1,8,0,0
cfloat,8,1,512,T,auto,1,1,0.00745,0.00743,0.0191,0.0545,9.3,9.4,0.9972,0.00e+00,0.00e+00,8,1,8,0,0
float,8,1,512,T,auto,1,1,0.00634,0.00638,0.0170,0.0167,5.5,5.5,1.0063,0.00e+00,0.00e+00,8,1,8,0,0
cdouble,32,1,512,T,auto,1,1,0.00661,0.00660,0.0105,0.0089,80.6,80.7,0.9986,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,512,T,auto,1,1,0.00682,0.00676,0.0160,0.0216,39.0,39.4,0.9914,0.00e+00,0.00e+00,32,1,32,0,0
cfloat,32,1,512,T,auto,1,1,0.00615,0.00626,0.0144,0.0156,43.3,42.5,1.0180,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,512,T,auto,1,1,0.00617,0.00625,0.0155,0.0213,21.6,21.3,1.0136,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,512,T,auto,1,1,0.00789,0.00787,0.0312,0.0189,133.9,134.3,0.9968,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,512,T,auto,1,1,0.00630,0.00626,0.0113,0.0160,83.9,84.5,0.9935,0.00e+00,0.00e+00,64,1,64,0,0
cfloat,64,1,512,T,auto,1,1,0.00672,0.00675,0.0113,0.0168,78.6,78.3,1.0036,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,512,T,auto,1,1,0.00741,0.00739,0.0171,0.0294,35.7,35.7,0.9984,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,32,2,512,T,auto,8,1,0.00811,0.00841,0.1003,0.0188,99.0,95.4,1.0376,0.00e+00,0.00e+00,32,2,32,0,0
double,32,2,512,T,auto,8,1,0.00645,0.00647,0.0137,0.0111,62.2,62.0,1.0039,0.00e+00,0.00e+00,32,2,32,0,0
cfloat,32,2,512,T,auto,1,1,0.00626,0.00617,0.0171,0.0175,64.1,65.1,0.9850,0.00e+00,0.00e+00,32,2,32,0,0
float,32,2,512,T,auto,4,1,0.00625,0.00620,0.0079,0.0141,32.1,32.4,0.9920,0.00e+00,0.00e+00,32,2,32,0,0
cdouble,64,2,512,T,auto,4,1,0.00760,0.00808,0.0096,0.0078,209.1,196.7,1.0631,0.00e+00,0.00e+00,64,2,64,1,0
double,64,2,512,T,auto,1,1,0.00655,0.00657,0.0155,0.0149,121.3,120.9,1.0034,0.00e+00,0.00e+00,64,2,64,0,0
cfloat,64,2,512,T,auto,1,1,0.00625,0.00628,0.0178,0.0569,127.1,126.5,1.0050,0.00e+00,0.00e+00,64,2,64,0,0
float,64,2,512,T,auto,1,1,0.00619,0.00618,0.0141,0.0121,64.1,64.3,0.9974,0.00e+00,0.00e+00,64,2,64,0,0
cdouble,32,4,512,T,auto,8,1,0.00698,0.00858,0.0125,0.0109,192.5,156.6,1.2297,0.00e+00,0.00e+00,32,4,32,1,0
double,32,4,512,T,auto,8,1,0.00649,0.00683,0.0123,0.0094,103.4,98.4,1.0513,0.00e+00,0.00e+00,32,4,32,0,0
cfloat,32,4,512,T,auto,1,1,0.00630,0.00632,0.0093,0.0117,106.7,106.4,1.0029,0.00e+00,0.00e+00,32,4,32,0,0
float,32,4,512,T,auto,4,1,0.00637,0.00631,0.0116,0.0471,52.7,53.2,0.9909,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,64,4,512,T,auto,4,1,0.00762,0.00930,0.0135,0.0090,348.5,285.3,1.2213,0.00e+00,0.00e+00,64,4,64,2,0
double,64,4,512,T,auto,1,1,0.00706,0.00709,0.0216,0.0158,188.0,187.2,1.0047,0.00e+00,0.00e+00,64,4,64,1,0
cfloat,64,4,512,T,auto,1,1,0.00630,0.00631,0.0154,0.0702,210.5,210.3,1.0011,0.00e+00,0.00e+00,64,4,64,1,0
float,64,4,512,T,auto,1,1,0.00628,0.00627,0.0137,0.0110,105.7,105.8,0.9990,0.00e+00,0.00e+00,64,4,64,0,0
cdouble,32,8,512,T,auto,8,1,0.00747,0.01111,0.0128,0.0098,324.5,218.2,1.4868,0.00e+00,0.00e+00,32,8,32,2,0
double,32,8,512,T,auto,8,1,0.00680,0.00787,0.0113,0.0114,178.3,154.1,1.1571,0.00e+00,0.00e+00,32,8,32,1,0
cfloat,32,8,512,T,auto,1,1,0.00655,0.00652,0.0132,0.0143,185.0,186.0,0.9950,0.00e+00,0.00e+00,32,8,32,1,0
float,32,8,512,T,auto,4,1,0.00632,0.00637,0.0140,0.1049,95.9,95.1,1.0084,0.00e+00,0.00e+00,32,8,32,0,0
cdouble,64,8,512,T,auto,4,1,0.01002,0.01352,0.0728,0.0526,477.4,354.0,1.3486,0.00e+00,0.00e+00,64,8,64,4,0
double,64,8,512,T,auto,1,1,0.00808,0.00812,0.0113,0.0125,296.2,294.7,1.0050,0.00e+00,0.00e+00,64,8,64,2,0
cfloat,64,8,512,T,auto,1,1,0.00660,0.00664,0.0097,0.0130,362.7,360.3,1.0065,0.00e+00,0.00e+00,64,8,64,2,0
float,64,8,512,T,auto,1,1,0.00624,0.00631,0.0124,0.0106,191.6,189.5,1.0109,0.00e+00,0.00e+00,64,8,64,1,0
cdouble,32,16,512,T,auto,8,1,0.00882,0.01612,0.0107,0.0052,520.0,284.6,1.8269,0.00e+00,0.00e+00,32,16,32,4,0
double,32,16,512,T,auto,8,1,0.00683,0.01018,0.0119,0.0757,336.0,225.4,1.4908,0.00e+00,0.00e+00,32,16,32,2,0
cfloat,32,16,512,T,auto,1,1,0.00719,0.00720,0.0118,0.0142,319.1,318.4,1.0021,0.00e+00,0.00e+00,32,16,32,2,0
float,32,16,512,T,auto,4,1,0.00647,0.00699,0.0139,0.0137,177.2,164.2,1.0794,0.00e+00,0.00e+00,32,16,32,1,0
cdouble,64,16,512,T,auto,4,1,0.01195,0.01827,0.0070,0.0051,756.8,495.1,1.5286,0.00e+00,0.00e+00,64,16,64,8,0
double,64,16,512,T,auto,1,1,0.01050,0.01048,0.0233,0.0215,430.8,431.5,0.9984,0.00e+00,0.00e+00,64,16,64,4,0
cfloat,64,16,512,T,auto,1,1,0.00756,0.00752,0.0151,0.0142,598.4,601.5,0.9948,0.00e+00,0.00e+00,64,16,64,4,0
float,64,16,512,T,auto,1,1,0.00704,0.00707,0.0140,0.0147,321.1,319.9,1.0037,0.00e+00,0.00e+00,64,16,64,2,0
cdouble,32,32,512,T,auto,8,1,0.01167,0.02597,0.0084,0.0045,763.8,343.2,2.2253,0.00e+00,0.00e+00,32,32,32,8,0
double,32,32,512,T,auto,8,1,0.00792,0.01425,0.0175,0.0137,562.5,312.8,1.7981,0.00e+00,0.00e+00,32,32,32,4,0
cfloat,32,32,512,T,auto,1,1,0.00853,0.00844,0.0127,0.0108,522.4,527.8,0.9898,0.00e+00,0.00e+00,32,32,32,4,0
float,32,32,512,T,auto,4,1,0.00669,0.00787,0.0151,0.0163,333.3,283.1,1.1772,0.00e+00,0.00e+00,32,32,32,2,0
cdouble,64,32,512,T,auto,4,1,0.01759,0.03019,0.0054,0.0026,998.3,581.9,1.7156,0.00e+00,0.00e+00,64,32,64,16,0
double,64,32,512,T,auto,1,1,0.01427,0.01425,0.0093,0.0074,615.2,616.1,0.9985,0.00e+00,0.00e+00,64,32,64,8,0
cfloat,64,32,512,T,auto,1,1,0.00881,0.00876,0.0935,0.0168,996.2,1002.3,0.9940,0.00e+00,0.00e+00,64,32,64,8,0
float,64,32,512,T,auto,1,1,0.00792,0.00789,0.0110,0.0161,554.1,556.2,0.9962,0.00e+00,0.00e+00,64,32,64,4,0
cdouble,32,64,512,T,auto,8,1,0.01707,0.04591,0.0062,0.0021,1029.0,382.5,2.6898,0.00e+00,0.00e+00,32,64,32,16,0
double,32,64,512,T,auto,8,1,0.00985,0.02154,0.1207,0.0143,891.1,407.6,2.1861,0.00e+00,0.00e+00,32,64,32,8,0
cfloat,32,64,512,T,auto,1,1,0.01092,0.01092,0.0064,0.1033,804.0,803.9,1.0001,0.00e+00,0.00e+00,32,64,32,8,0
float,32,64,512,T,auto,4,1,0.00751,0.01011,0.0347,0.0083,584.3,434.2,1.3457,0.00e+00,0.00e+00,32,64,32,4,0
cdouble,64,64,512,T,auto,4,1,0.02895,0.05417,0.0037,0.0024,1195.2,638.8,1.8711,0.00e+00,0.00e+00,64,64,64,32,0
double,64,64,512,T,auto,1,1,0.02180,0.02204,0.0054,0.0084,793.5,785.0,1.0109,0.00e+00,0.00e+00,64,64,64,16,0
cfloat,64,64,512,T,auto,1,1,0.01133,0.01131,0.0069,0.1549,1527.6,1529.6,0.9987,0.00e+00,0.00e+00,64,64,64,16,0
float,64,64,512,T,auto,1,1,0.01016,0.01023,0.0069,0.1186,851.3,845.3,1.0071,0.00e+00,0.00e+00,64,64,64,8,0
cdouble,32,1,128,T,auto,1,1,0.00610,0.00613,0.0237,0.0104,21.8,21.7,1.0061,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,128,T,auto,1,1,0.00603,0.00599,0.0118,0.0239,11.0,11.1,0.9935,0.00e+00,0.00e+00,32,1,32,0,0
cfloat,32,1,128,T,auto,1,1,0.00597,0.00609,0.0303,0.0324,11.1,10.9,1.0203,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,128,T,auto,1,1,0.00601,0.00611,0.0134,0.0222,5.5,5.4,1.0165,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,128,T,auto,1,1,0.00628,0.00630,0.0197,0.0128,42.1,42.0,1.0024,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,128,T,auto,1,1,0.00617,0.00617,0.0104,0.0357,21.4,21.4,1.0006,0.00e+00,0.00e+00,64,1,64,0,0
cfloat,64,1,128,T,auto,1,1,0.00599,0.00606,0.0163,0.0168,22.1,21.8,1.0124,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,128,T,auto,1,1,0.00603,0.00598,0.0140,0.0161,11.0,11.0,0.9912,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,32,4,128,T,auto,1,1,0.00669,0.00666,0.0131,0.0114,50.2,50.4,0.9964,0.00e+00,0.00e+00,32,4,32,0,0
double,32,4,128,T,auto,1,1,0.00625,0.00629,0.0130,0.0144,26.9,26.7,1.0056,0.00e+00,0.00e+00,32,4,32,0,0
cfloat,32,4,128,T,auto,1,1,0.00627,0.00628,0.0129,0.0160,26.8,26.7,1.0026,0.00e+00,0.00e+00,32,4,32,0,0
float,32,4,128,T,auto,1,1,0.00626,0.00622,0.0140,0.0150,13.4,13.5,0.9947,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,64,4,128,T,auto,1,1,0.00676,0.00674,0.0085,0.0241,98.1,98.4,0.9967,0.00e+00,0.00e+00,64,4,64,0,0
double,64,4,128,T,auto,1,1,0.00629,0.00631,0.1002,0.0141,52.7,52.6,1.0029,0.00e+00,0.00e+00,64,4,64,0,0
cfloat,64,4,128,T,auto,1,1,0.00624,0.00623,0.0083,0.0150,53.2,53.3,0.9981,0.00e+00,0.00e+00,64,4,64,0,0
float,64,4,128,T,auto,1,1,0.00624,0.00622,0.0119,0.0173,26.6,26.7,0.9970,0.00e+00,0.00e+00,64,4,64,0,0
cdouble,32,16,128,T,auto,8,1,0.00718,0.00875,0.0123,0.0133,159.8,131.0,1.2196,0.00e+00,0.00e+00,32,16,32,1,0
double,32,16,128,T,auto,8,1,0.00660,0.00695,0.0127,0.0113,86.9,82.5,1.0538,0.00e+00,0.00e+00,32,16,32,0,0
cfloat,32,16,128,T,auto,1,1,0.00623,0.00628,0.0156,0.0859,92.1,91.3,1.0084,0.00e+00,0.00e+00,32,16,32,0,0
float,32,16,128,T,auto,4,1,0.00637,0.00632,0.1359,0.0159,45.0,45.4,0.9911,0.00e+00,0.00e+00,32,16,32,0,0
cdouble,64,16,128,T,auto,4,1,0.00809,0.00977,0.0187,0.0053,279.7,231.4,1.2085,0.00e+00,0.00e+00,64,16,64,2,0
double,64,16,128,T,auto,1,1,0.00753,0.00753,2.1126,0.0206,150.1,150.1,0.9996,0.00e+00,0.00e+00,64,16,64,1,0
cfloat,64,16,128,T,auto,1,1,0.00643,0.00647,0.0135,0.0089,175.8,174.8,1.0058,0.00e+00,0.00e+00,64,16,64,1,0
float,64,16,128,T,auto,1,1,0.00606,0.00616,0.0117,0.0082,93.2,91.7,1.0162,0.00e+00,0.00e+00,64,16,64,0,0
cdouble,32,64,128,T,auto,8,1,0.00890,0.01608,0.0126,0.0062,493.6,273.1,1.8076,0.00e+00,0.00e+00,32,64,32,4,0
double,32,64,128,T,auto,8,1,0.00682,0.01021,0.0116,0.0134,321.7,215.1,1.4955,0.00e+00,0.00e+00,32,64,32,2,0
cfloat,32,64,128,T,auto,1,1,0.00724,0.00718,0.0108,0.0988,303.4,305.9,0.9917,0.00e+00,0.00e+00,32,64,32,2,0
float,32,64,128,T,auto,4,1,0.00636,0.00701,0.0142,0.0103,172.7,156.5,1.1030,0.00e+00,0.00e+00,32,64,32,1,0
cdouble,64,64,128,T,auto,4,1,0.01190,0.01827,0.0073,0.0115,727.0,473.6,1.5351,0.00e+00,0.00e+00,64,64,64,8,0
double,64,64,128,T,auto,1,1,0.01037,0.01039,0.0088,0.0119,416.9,416.5,1.0011,0.00e+00,0.00e+00,64,64,64,4,0
cfloat,64,64,128,T,auto,1,1,0.00749,0.00742,0.0138,0.0140,577.1,583.2,0.9896,0.00e+00,0.00e+00,64,64,64,4,0
float,64,64,128,T,auto,1,1,0.00703,0.00711,0.0240,0.0298,307.6,304.3,1.0108,0.00e+00,0.00e+00,64,64,64,2,0
cdouble,32,1,4096,T,auto,8,1,0.00779,0.01135,1.8850,1.5260,546.8,375.3,1.4569,0.00e+00,0.00e+00,32,1,32,2,0
double,32,1,4096,T,auto,8,1,0.00677,0.00792,0.0287,0.0183,314.8,269.0,1.1706,0.00e+00,0.00e+00,32,1,32,1,0
cfloat,32,1,4096,T,auto,1,1,0.00651,0.00653,0.0144,0.0176,326.9,326.0,1.0028,0.00e+00,0.00e+00,32,1,32,1,0
float,32,1,4096,T,auto,4,1,0.00633,0.00632,0.0122,0.0118,168.3,168.6,0.9983,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,32,4,4096,T,auto,8,1,0.01186,0.02609,0.0075,0.0049,906.0,411.9,2.1995,0.00e+00,0.00e+00,32,4,32,8,0
double,32,4,4096,T,auto,8,1,0.00811,0.01411,0.1759,0.0124,662.4,380.8,1.7396,0.00e+00,0.00e+00,32,4,32,4,0
cfloat,32,4,4096,T,auto,1,1,0.00856,0.00852,0.0106,0.0157,627.7,630.8,0.9950,0.00e+00,0.00e+00,32,4,32,4,0
float,32,4,4096,T,auto,4,1,0.00685,0.00794,0.0105,0.0088,392.5,338.3,1.1604,0.00e+00,0.00e+00,32,4,32,2,0
cdouble,32,16,4096,T,auto,8,1,0.02801,0.08544,0.0186,0.0015,1310.2,429.5,3.0504,0.00e+00,0.00e+00,32,16,32,32,0
double,32,16,4096,T,auto,8,1,0.01326,0.03727,0.0107,0.0023,1383.9,492.3,2.8109,0.00e+00,0.00e+00,32,16,32,16,0
cfloat,32,16,4096,T,auto,1,1,0.01565,0.01571,0.0058,0.0069,1172.3,1168.3,1.0034,0.00e+00,0.00e+00,32,16,32,16,0
float,32,16,4096,T,auto,4,1,0.00898,0.01444,0.0073,0.0065,1021.9,635.4,1.6083,0.00e+00,0.00e+00,32,16,32,8,0
