arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,gpu,foreign
vendor,cdouble,64,256,1,T,vendor:auto,2.27346,1.74196,0.4985,0.1,0.000,0.00e+00,64,256,64,0,0,0
native:cta,cdouble,64,256,1,T,native:cta,0.43456,1.26408,0.7262,0.6,0.001,0.00e+00,64,256,64,0,0,0
vendor,cdouble,64,256,2,T,vendor:auto,2.27283,1.95687,0.3430,0.2,0.000,0.00e+00,64,256,64,0,0,0
native:cta,cdouble,64,256,2,T,native:cta,2.26508,1.70313,0.4371,0.2,0.000,0.00e+00,64,256,64,0,0,0
vendor,cdouble,64,256,4,T,vendor:auto,0.15135,0.15126,0.0027,7.1,0.007,0.00e+00,64,256,64,1,0,0
native:cta,cdouble,64,256,4,T,native:cta,0.14184,0.14184,0.0010,7.5,0.008,0.00e+00,64,256,64,1,0,0
vendor,cdouble,64,256,8,T,vendor:auto,0.17731,0.17755,0.0047,12.1,0.013,0.00e+00,64,256,64,2,0,0
native:cta,cdouble,64,256,8,T,native:cta,0.16140,0.16140,0.0004,13.2,0.014,0.00e+00,64,256,64,2,0,0
vendor,cdouble,64,256,16,T,vendor:auto,0.16079,0.16075,0.0010,26.6,0.028,0.00e+00,64,256,64,4,0,0
native:cta,cdouble,64,256,16,T,native:cta,0.14588,0.14589,0.0005,29.3,0.031,0.00e+00,64,256,64,4,0,0
vendor,cdouble,64,256,32,T,vendor:auto,0.19716,0.19724,0.0049,43.4,0.046,0.00e+00,64,256,64,8,0,0
native:cta,cdouble,64,256,32,T,native:cta,0.18998,0.18998,0.0009,45.0,0.047,0.00e+00,64,256,64,8,0,0
vendor,cdouble,64,256,64,T,vendor:auto,0.20737,0.20742,0.0013,82.5,0.087,0.00e+00,64,256,64,16,0,0
native:cta,cdouble,64,256,64,T,native:cta,0.21825,0.21812,0.0022,78.4,0.082,0.00e+00,64,256,64,16,0,0
vendor,cdouble,64,256,96,T,vendor:auto,0.30814,0.30868,0.0059,83.3,0.088,0.00e+00,64,256,64,24,0,0
native:cta,cdouble,64,256,96,T,native:cta,0.30579,0.30545,0.0022,83.9,0.088,0.00e+00,64,256,64,24,0,0
vendor,cdouble,64,256,128,T,vendor:auto,0.26033,0.26020,0.0028,131.4,0.138,0.00e+00,64,256,64,32,0,0
native:cta,cdouble,64,256,128,T,native:cta,0.21698,0.21672,0.0054,157.7,0.166,0.00e+00,64,256,64,32,0,0
vendor,cdouble,64,256,160,T,vendor:auto,0.33645,0.33661,0.0030,127.1,0.134,0.00e+00,64,256,64,40,0,0
native:cta,cdouble,64,256,160,T,native:cta,0.29087,0.29090,0.0021,147.0,0.155,0.00e+00,64,256,64,40,0,0
vendor,cdouble,64,256,224,T,vendor:auto,0.34427,0.34412,0.0021,173.9,0.183,0.00e+00,64,256,64,56,0,0
native:cta,cdouble,64,256,224,T,native:cta,0.26904,0.26993,0.0069,222.5,0.234,0.00e+00,64,256,64,56,0,0
vendor,cdouble,64,256,288,T,vendor:auto,0.45938,0.45934,0.0011,167.6,0.176,0.00e+00,64,256,64,72,0,0
native:cta,cdouble,64,256,288,T,native:cta,0.36053,0.22432,0.6664,213.5,0.225,0.00e+00,64,256,64,72,0,0
vendor,cdouble,128,256,1,T,vendor:auto,0.27683,0.27683,0.0009,1.9,0.002,0.00e+00,128,256,128,0,0,0
native:cta,cdouble,128,256,1,T,native:cta,0.27470,0.27479,0.0018,1.9,0.002,0.00e+00,128,256,128,0,0,0
vendor,cdouble,128,256,2,T,vendor:auto,0.41909,0.41912,0.0014,2.5,0.003,0.00e+00,128,256,128,1,0,0
native:cta,cdouble,128,256,2,T,native:cta,0.41847,0.41931,0.0064,2.5,0.003,0.00e+00,128,256,128,1,0,0
vendor,cdouble,128,256,4,T,vendor:auto,0.17835,0.17837,0.0007,11.9,0.013,0.00e+00,128,256,128,2,0,0
native:cta,cdouble,128,256,4,T,native:cta,0.14378,0.14386,0.0015,14.8,0.016,0.00e+00,128,256,128,2,0,0
vendor,cdouble,128,256,8,T,vendor:auto,0.23058,0.23046,0.0021,18.4,0.019,0.00e+00,128,256,128,4,0,0
native:cta,cdouble,128,256,8,T,native:cta,0.01023,0.01029,0.0164,414.6,0.436,0.00e+00,128,256,128,4,0,0
vendor,cdouble,128,256,16,T,vendor:auto,0.01243,0.01262,0.0363,682.8,0.719,0.00e+00,128,256,128,8,0,0
native:cta,cdouble,128,256,16,T,native:cta,0.01442,0.01445,0.0138,588.6,0.620,0.00e+00,128,256,128,8,0,0
