type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,4,2048,512,C,auto,8,1,0.12543,1.27026,0.0039,0.0005,669.0,66.1,10.1268,0.00e+00,0.00e+00,4,2048,4,64,0
double,4,2048,512,C,auto,8,1,0.04833,0.50457,0.0014,0.0005,868.2,83.2,10.4400,0.00e+00,0.00e+00,4,2048,4,32,0
cfloat,4,2048,512,C,auto,8,1,0.02542,0.16040,0.0038,0.0014,1650.8,261.6,6.3108,0.00e+00,0.00e+00,4,2048,4,32,0
float,4,2048,512,C,auto,8,1,0.02412,0.14174,0.0058,0.0009,869.7,148.0,5.8755,0.00e+00,0.00e+00,4,2048,4,16,0
cdouble,16,2048,512,C,auto,8,1,0.31796,1.27333,0.0028,0.0005,897.4,224.1,4.0047,0.00e+00,0.00e+00,16,2048,16,256,0
double,16,2048,512,C,auto,8,1,0.16172,0.50605,0.0030,0.0009,882.2,281.9,3.1293,0.00e+00,0.00e+00,16,2048,16,128,0
cfloat,16,2048,512,C,auto,8,1,0.16121,0.18366,0.0033,0.0020,885.0,776.8,1.1393,0.00e+00,0.00e+00,16,2048,16,128,0
float,16,2048,512,C,auto,8,1,0.02883,0.14468,0.0062,0.0082,2474.1,493.1,5.0179,0.00e+00,0.00e+00,16,2048,16,64,0
cdouble,32,2048,512,C,auto,8,1,0.60794,1.27488,0.0028,0.0007,911.1,434.5,2.0970,0.00e+00,0.00e+00,32,2048,32,512,0
double,32,2048,512,C,auto,8,1,0.30578,0.50750,0.0018,0.0012,905.7,545.7,1.6597,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,C,auto,1,1,0.30157,0.30130,0.0028,0.0029,918.4,919.2,0.9991,0.00e+00,0.00e+00,32,2048,32,256,0
float,32,2048,512,C,auto,4,1,0.15477,0.16618,0.0016,0.0013,894.7,833.3,1.0737,0.00e+00,0.00e+00,32,2048,32,128,0
cdouble,48,2048,512,C,auto,4,1,0.89413,1.80306,0.0012,0.0002,919.9,456.2,2.0166,0.00e+00,0.00e+00,48,2048,48,768,0
double,48,2048,512,C,auto,4,1,0.44936,0.50307,0.0018,0.0020,915.2,817.5,1.1195,0.00e+00,0.00e+00,48,2048,48,384,0
cfloat,48,2048,512,C,auto,1,1,0.44364,0.44400,0.0072,0.0020,927.0,926.2,1.0008,0.00e+00,0.00e+00,48,2048,48,384,0
float,48,2048,512,C,auto,1,1,0.22471,0.22505,0.0035,0.0030,915.0,913.6,1.0015,0.00e+00,0.00e+00,48,2048,48,192,0
cdouble,64,2048,512,C,auto,4,1,1.18246,1.54489,0.0013,0.0002,922.7,706.2,1.3065,0.00e+00,0.00e+00,64,2048,64,1024,0
double,64,2048,512,C,auto,1,1,0.58732,0.58729,0.0028,0.1540,928.8,928.9,1.0000,0.00e+00,0.00e+00,64,2048,64,512,0
cfloat,64,2048,512,C,auto,1,1,0.59003,0.58926,0.0015,0.1536,924.6,925.8,0.9987,0.00e+00,0.00e+00,64,2048,64,512,0
float,64,2048,512,C,auto,1,1,0.29465,0.29440,0.0008,0.0016,925.7,926.5,0.9991,0.00e+00,0.00e+00,64,2048,64,256,0
cdouble,8,256,512,C,auto,8,1,0.02530,0.16437,0.0056,0.0008,748.8,115.2,6.4982,0.00e+00,0.00e+00,8,256,8,16,0
double,8,256,512,C,auto,8,1,0.01155,0.06852,0.0105,0.0045,819.6,138.2,5.9300,0.00e+00,0.00e+00,8,256,8,8,0
cfloat,8,256,512,C,auto,8,1,0.00876,0.02529,0.0121,0.0036,1080.9,374.5,2.8862,0.00e+00,0.00e+00,8,256,8,8,0
float,8,256,512,C,auto,8,1,0.00820,0.02317,0.0069,0.0024,577.4,204.4,2.8256,0.00e+00,0.00e+00,8,256,8,4,0
cdouble,16,256,512,C,auto,8,1,0.03344,0.16466,0.0021,0.0010,1070.0,217.3,4.9235,0.00e+00,0.00e+00,16,256,16,32,0
double,16,256,512,C,auto,8,1,0.01509,0.06845,0.0075,0.0012,1185.4,261.4,4.5351,0.00e+00,0.00e+00,16,256,16,16,0
