arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,512,1,512,C,vendor:auto,0.00848,0.00848,0.0106,247.6,0.261,0.00e+00,512,1,512,0
native:direct,float,512,1,512,C,native:direct,0.02584,0.02586,0.0042,81.2,0.086,0.00e+00,512,1,512,0
native:cta,float,512,1,512,C,native:cta,0.00647,0.00646,0.0124,324.5,0.342,0.00e+00,512,1,512,0
vendor,double,512,1,512,C,vendor:auto,0.01115,0.01114,0.0136,376.7,0.396,0.00e+00,512,1,512,0
native:direct,double,512,1,512,C,native:direct,0.03559,0.03558,0.0019,118.0,0.124,0.00e+00,512,1,512,0
native:cta,double,512,1,512,C,native:cta,0.00717,0.00719,0.0120,585.6,0.616,0.00e+00,512,1,512,0
vendor,cfloat,512,1,512,C,vendor:auto,0.00886,0.00958,0.2364,474.0,0.499,0.00e+00,512,1,512,0
native:direct,cfloat,512,1,512,C,native:direct,0.04675,0.04675,0.0028,89.8,0.095,0.00e+00,512,1,512,0
native:cta,cfloat,512,1,512,C,native:cta,0.00688,0.00719,0.1210,610.0,0.642,0.00e+00,512,1,512,0
vendor,cdouble,512,1,512,C,vendor:auto,0.01584,0.01608,0.0296,530.1,0.558,0.00e+00,512,1,512,0
native:direct,cdouble,512,1,512,C,native:direct,0.06900,0.06901,0.0019,121.7,0.128,0.00e+00,512,1,512,0
native:cta,cdouble,512,1,512,C,native:cta,0.00874,0.00899,0.0717,961.2,1.012,0.00e+00,512,1,512,0
vendor,float,1,2048,512,N,vendor:auto,0.01222,0.01225,0.0095,686.4,0.722,0.00e+00,1,1,2048,0
native:direct,float,1,2048,512,N,native:direct,0.00834,0.00851,0.0661,1006.4,1.059,0.00e+00,1,1,2048,0
vendor,double,1,2048,512,N,vendor:auto,0.02151,0.02163,0.0099,780.0,0.821,0.00e+00,1,1,2048,0
native:direct,double,1,2048,512,N,native:direct,0.01013,0.01014,0.0097,1656.6,1.744,0.00e+00,1,1,2048,0
vendor,cfloat,1,2048,512,N,vendor:auto,0.01372,0.01378,0.0113,1223.0,1.287,0.00e+00,1,1,2048,0
native:direct,cfloat,1,2048,512,N,native:direct,0.00976,0.00975,0.0053,1719.2,1.810,0.00e+00,1,1,2048,0
vendor,cdouble,1,2048,512,N,vendor:auto,0.05931,0.05939,0.0071,565.8,0.596,0.00e+00,1,1,2048,0
native:direct,cdouble,1,2048,512,N,native:direct,0.02392,0.02386,0.0091,1403.4,1.477,0.00e+00,1,1,2048,0
vendor,float,2048,1,512,T,vendor:auto,0.01230,0.01233,0.0114,682.0,0.718,0.00e+00,2048,1,2048,0
native:direct,float,2048,1,512,T,native:direct,0.08676,0.08678,0.0010,96.7,0.102,0.00e+00,2048,1,2048,0
native:cta,float,2048,1,512,T,native:cta,0.00820,0.00821,0.0085,1023.8,1.078,0.00e+00,2048,1,2048,0
vendor,double,2048,1,512,T,vendor:auto,0.02162,0.02165,0.0059,776.3,0.817,0.00e+00,2048,1,2048,0
native:direct,double,2048,1,512,T,native:direct,0.12556,0.12555,0.0007,133.6,0.141,0.00e+00,2048,1,2048,0
native:cta,double,2048,1,512,T,native:cta,0.01007,0.01008,0.0047,1666.8,1.755,0.00e+00,2048,1,2048,0
vendor,cfloat,2048,1,512,T,vendor:auto,0.01400,0.01398,0.0100,1198.3,1.261,0.00e+00,2048,1,2048,0
native:direct,cfloat,2048,1,512,T,native:direct,0.17064,0.17075,0.0020,98.3,0.104,0.00e+00,2048,1,2048,0
native:cta,cfloat,2048,1,512,T,native:cta,0.00961,0.00964,0.0117,1745.9,1.838,0.00e+00,2048,1,2048,0
vendor,cdouble,2048,1,512,T,vendor:auto,0.05916,0.05924,0.0099,567.3,0.597,0.00e+00,2048,1,2048,0
native:direct,cdouble,2048,1,512,T,native:direct,0.25986,0.25984,0.0004,129.2,0.136,0.00e+00,2048,1,2048,0
native:cta,cdouble,2048,1,512,T,native:cta,0.01573,0.01583,0.0101,2133.4,2.246,0.00e+00,2048,1,2048,0
vendor,float,2048,1,512,C,vendor:auto,0.01224,0.01227,0.0103,685.6,0.722,0.00e+00,2048,1,2048,0
native:direct,float,2048,1,512,C,native:direct,0.08682,0.08682,0.0010,96.6,0.102,0.00e+00,2048,1,2048,0
native:cta,float,2048,1,512,C,native:cta,0.00825,0.00826,0.0123,1016.8,1.070,0.00e+00,2048,1,2048,0
vendor,double,2048,1,512,C,vendor:auto,0.02161,0.02161,0.0063,776.7,0.818,0.00e+00,2048,1,2048,0
native:direct,double,2048,1,512,C,native:direct,0.12590,0.12591,0.0013,133.3,0.140,0.00e+00,2048,1,2048,0
native:cta,double,2048,1,512,C,native:cta,0.01009,0.01051,0.1151,1664.0,1.752,0.00e+00,2048,1,2048,0
vendor,cfloat,2048,1,512,C,vendor:auto,0.01329,0.01330,0.0097,1262.6,1.329,0.00e+00,2048,1,2048,0
native:direct,cfloat,2048,1,512,C,native:direct,0.17008,0.17011,0.0011,98.7,0.104,0.00e+00,2048,1,2048,0
native:cta,cfloat,2048,1,512,C,native:cta,0.00958,0.00958,0.0115,1751.0,1.843,0.00e+00,2048,1,2048,0
vendor,cdouble,2048,1,512,C,vendor:auto,0.03922,0.03924,0.0037,855.8,0.901,0.00e+00,2048,1,2048,0
native:direct,cdouble,2048,1,512,C,native:direct,0.25972,0.25978,0.0006,129.2,0.136,0.00e+00,2048,1,2048,0
