type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
double,8,256,512,T,8,8,1,0.01159,0.06853,0.0081,0.0009,817.2,138.2,5.9140,0.00e+00,0.00e+00,8,256,8,8,0
cfloat,8,256,512,T,2,2,1,0.01635,0.02533,0.0049,0.0036,579.3,373.9,1.5494,0.00e+00,0.00e+00,8,256,8,8,0
cfloat,8,256,512,T,4,4,1,0.01083,0.02517,0.0081,0.0045,874.0,376.2,2.3232,0.00e+00,0.00e+00,8,256,8,8,0
cfloat,8,256,512,T,8,8,1,0.00865,0.02529,0.0080,0.0035,1095.2,374.4,2.9249,0.00e+00,0.00e+00,8,256,8,8,0
float,8,256,512,T,2,2,1,0.01526,0.02305,0.0076,0.0174,310.3,205.4,1.5111,0.00e+00,0.00e+00,8,256,8,4,0
float,8,256,512,T,4,4,1,0.01043,0.02312,0.0075,0.0032,454.1,204.8,2.2173,0.00e+00,0.00e+00,8,256,8,4,0
float,8,256,512,T,8,8,1,0.00821,0.02309,0.0083,0.0032,576.7,205.1,2.8120,0.00e+00,0.00e+00,8,256,8,4,0
cdouble,16,256,512,T,2,2,1,0.07894,0.16459,0.0020,0.0008,453.3,217.4,2.0851,0.00e+00,0.00e+00,16,256,16,32,0
cdouble,16,256,512,T,4,4,1,0.04754,0.16463,0.0022,0.0010,752.7,217.4,3.4630,0.00e+00,0.00e+00,16,256,16,32,0
cdouble,16,256,512,T,8,8,1,0.03358,0.16473,0.0036,0.0011,1065.7,217.2,4.9059,0.00e+00,0.00e+00,16,256,16,32,0
double,16,256,512,T,2,2,1,0.03407,0.06853,0.0052,0.0016,525.1,261.1,2.0113,0.00e+00,0.00e+00,16,256,16,16,0
double,16,256,512,T,4,4,1,0.01857,0.06853,0.0060,0.0015,963.2,261.1,3.6896,0.00e+00,0.00e+00,16,256,16,16,0
double,16,256,512,T,8,8,1,0.01648,0.06995,0.0538,0.0104,1085.3,255.8,4.2431,0.00e+00,0.00e+00,16,256,16,16,0
cfloat,16,256,512,T,2,2,1,0.01754,0.02676,0.0105,0.0058,1020.1,668.7,1.5255,0.00e+00,0.00e+00,16,256,16,16,0
