type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
float,32,16,128,T,auto,4,1,0.00622,0.00611,0.0087,0.0139,46.1,46.9,0.9828,0.00e+00,0.00e+00,32,16,32,0,0
double,32,16,128,T,auto,8,1,0.00650,0.00687,0.0125,0.0115,88.2,83.5,1.0564,0.00e+00,0.00e+00,32,16,32,0,0
cdouble,32,16,128,T,auto,8,1,0.00703,0.00858,0.0631,0.0112,163.1,133.7,1.2205,0.00e+00,0.00e+00,32,16,32,1,0
float,32,4,512,T,auto,4,1,0.00702,0.00691,0.0189,0.0154,47.9,48.6,0.9855,0.00e+00,0.00e+00,32,4,32,0,0
double,32,4,512,T,auto,8,1,0.00658,0.00685,0.0218,0.0156,102.2,98.0,1.0426,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,32,4,512,T,auto,8,1,0.00703,0.00861,0.0117,0.0091,191.2,156.1,1.2250,0.00e+00,0.00e+00,32,4,32,1,0
float,32,2,512,T,auto,4,1,0.00717,0.00717,0.0215,0.3154,28.0,28.0,1.0004,0.00e+00,0.00e+00,32,2,32,0,0
double,32,2,512,T,auto,8,1,0.00742,0.00743,0.0227,0.0170,54.1,54.0,1.0015,0.00e+00,0.00e+00,32,2,32,0,0
cdouble,32,2,512,T,auto,8,1,0.00691,0.00722,0.0097,0.0263,116.2,111.2,1.0456,0.00e+00,0.00e+00,32,2,32,0,0
float,32,1,4096,T,auto,4,1,0.00631,0.00625,0.0655,0.0124,168.7,170.4,0.9895,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,4096,T,auto,8,1,0.00676,0.00783,0.0614,0.0088,315.2,272.0,1.1586,0.00e+00,0.00e+00,32,1,32,1,0
cdouble,32,1,4096,T,auto,8,1,0.00752,0.01119,0.0103,0.0331,566.1,380.8,1.4868,0.00e+00,0.00e+00,32,1,32,2,0
float,32,8,512,T,auto,4,1,0.00619,0.00623,0.1372,0.0174,97.9,97.4,1.0050,0.00e+00,0.00e+00,32,8,32,0,0
double,32,8,512,T,auto,8,1,0.00668,0.00779,0.0153,0.0127,181.4,155.7,1.1650,0.00e+00,0.00e+00,32,8,32,1,0
cdouble,32,8,512,T,auto,8,1,0.00747,0.01102,0.0093,0.0091,324.7,220.0,1.4758,0.00e+00,0.00e+00,32,8,32,2,0
float,32,32,512,T,auto,4,1,0.00667,0.00788,0.0116,0.0119,334.0,282.7,1.1817,0.00e+00,0.00e+00,32,32,32,2,0
double,32,32,512,T,auto,8,1,0.00773,0.01401,0.0106,0.0102,576.2,318.0,1.8119,0.00e+00,0.00e+00,32,32,32,4,0
cdouble,32,32,512,T,auto,8,1,0.01158,0.02587,0.0094,0.0045,769.7,344.5,2.2346,0.00e+00,0.00e+00,32,32,32,8,0
float,32,16,512,T,auto,4,1,0.00633,0.00695,0.0188,0.1870,181.2,165.1,1.0978,0.00e+00,0.00e+00,32,16,32,1,0
double,32,16,512,T,auto,8,1,0.00684,0.01018,0.0131,0.0199,335.5,225.3,1.4895,0.00e+00,0.00e+00,32,16,32,2,0
cdouble,32,16,512,T,auto,8,1,0.00870,0.01592,0.0282,0.0198,527.5,288.2,1.8304,0.00e+00,0.00e+00,32,16,32,4,0
float,32,64,128,T,auto,4,1,0.00634,0.00694,0.0228,0.0123,173.0,158.2,1.0939,0.00e+00,0.00e+00,32,64,32,1,0
double,32,64,128,T,auto,8,1,0.00690,0.01020,0.3496,0.0162,318.3,215.3,1.4783,0.00e+00,0.00e+00,32,64,32,2,0
cdouble,32,64,128,T,auto,8,1,0.00862,0.01593,0.0106,0.0163,509.2,275.7,1.8469,0.00e+00,0.00e+00,32,64,32,4,0
