type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,24,2048,512,T,4,4,1,0.46508,1.27599,0.0065,0.0019,902.3,328.9,2.7436,0.00e+00,0.00e+00,24,2048,24,384,0
cdouble,24,2048,512,T,8,8,1,0.46417,1.27581,0.0024,0.0003,904.0,328.9,2.7486,0.00e+00,0.00e+00,24,2048,24,384,0
double,24,2048,512,T,4,4,1,0.23287,0.50733,0.0090,0.0008,901.0,413.6,2.1786,0.00e+00,0.00e+00,24,2048,24,192,0
double,24,2048,512,T,8,8,1,0.23447,0.50830,0.0045,0.0023,894.9,412.8,2.1679,0.00e+00,0.00e+00,24,2048,24,192,0
cfloat,24,2048,512,T,4,4,1,0.23302,0.23134,0.0009,0.0019,900.4,906.9,0.9928,0.00e+00,0.00e+00,24,2048,24,192,0
cfloat,24,2048,512,T,8,8,1,0.23627,0.23043,0.0028,0.0092,888.0,910.5,0.9753,0.00e+00,0.00e+00,24,2048,24,192,0
float,24,2048,512,T,4,4,1,0.11878,0.16065,0.0018,0.0027,883.2,653.0,1.3526,0.00e+00,0.00e+00,24,2048,24,96,0
float,24,2048,512,T,8,8,1,0.11908,0.16033,0.0117,0.0030,881.0,654.3,1.3465,0.00e+00,0.00e+00,24,2048,24,96,0
cdouble,32,2048,512,T,4,4,1,0.60650,1.27514,0.0018,0.0003,913.3,434.4,2.1025,0.00e+00,0.00e+00,32,2048,32,512,0
cdouble,32,2048,512,T,8,8,1,0.60911,1.27761,0.0040,0.0004,909.4,433.6,2.0975,0.00e+00,0.00e+00,32,2048,32,512,0
double,32,2048,512,T,4,4,1,0.30506,0.50698,0.0015,0.0017,907.9,546.3,1.6619,0.00e+00,0.00e+00,32,2048,32,256,0
double,32,2048,512,T,8,8,1,0.30548,0.50676,0.0021,0.0015,906.6,546.5,1.6589,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,T,4,4,1,0.30543,0.30252,0.0016,0.0023,906.8,915.5,0.9905,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,T,8,8,1,0.30945,0.30219,0.0575,0.0105,895.0,916.5,0.9765,0.00e+00,0.00e+00,32,2048,32,256,0
float,32,2048,512,T,4,4,1,0.15522,0.16725,0.0085,0.0058,892.2,827.9,1.0776,0.00e+00,0.00e+00,32,2048,32,128,0
float,32,2048,512,T,8,8,1,0.15538,0.16630,0.0022,0.0021,891.2,832.7,1.0703,0.00e+00,0.00e+00,32,2048,32,128,0
cdouble,48,2048,512,T,4,4,1,0.89851,1.80598,0.0046,0.0003,915.4,455.4,2.0100,0.00e+00,0.00e+00,48,2048,48,768,0
cdouble,48,2048,512,T,8,8,1,1.04983,1.80533,0.0949,0.0493,783.4,455.6,1.7196,0.00e+00,0.00e+00,48,2048,48,768,0
double,48,2048,512,T,4,4,1,0.44890,0.50388,0.0020,0.0040,916.1,816.1,1.1225,0.00e+00,0.00e+00,48,2048,48,384,0
double,48,2048,512,T,8,8,1,0.46239,0.50402,0.0099,0.0023,889.4,815.9,1.0900,0.00e+00,0.00e+00,48,2048,48,384,0
cfloat,48,2048,512,T,4,4,1,0.44886,0.44385,0.0023,0.0026,916.2,926.5,0.9888,0.00e+00,0.00e+00,48,2048,48,384,0
