arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,foreign
vendor,cdouble,128,256,128,C,vendor:auto,0.08197,0.08196,0.0088,828.3,0.872,0.00e+00,128,256,128,64,0
native:cta,cdouble,128,256,128,C,native:cta,0.07185,0.07187,0.0026,945.0,0.995,0.00e+00,128,256,128,64,0
vendor,cdouble,128,256,512,T,vendor:auto,0.71617,0.71443,0.0186,379.2,0.399,0.00e+00,128,256,128,256,0
native:cta,cdouble,128,256,512,T,native:cta,0.30561,0.39744,0.2927,888.6,0.935,0.00e+00,128,256,128,256,0
vendor,cdouble,128,256,512,C,vendor:auto,0.77124,0.77282,0.0073,352.1,0.371,0.00e+00,128,256,128,256,0
native:cta,cdouble,128,256,512,C,native:cta,0.30271,0.30292,0.0017,897.2,0.944,0.00e+00,128,256,128,256,0
vendor,cdouble,32,512,128,T,vendor:auto,0.04600,0.04613,0.0091,753.7,0.793,0.00e+00,32,512,32,32,0
native:cta,cdouble,32,512,128,T,native:cta,0.08586,0.08592,0.0020,403.8,0.425,0.00e+00,32,512,32,32,0
vendor,cdouble,32,512,128,C,vendor:auto,0.04665,0.04667,0.0085,743.2,0.782,0.00e+00,32,512,32,32,0
native:cta,cdouble,32,512,128,C,native:cta,0.08664,0.08669,0.0035,400.1,0.421,0.00e+00,32,512,32,32,0
vendor,cdouble,32,512,512,T,vendor:auto,0.15348,0.15384,0.0083,903.6,0.951,0.00e+00,32,512,32,128,0
native:cta,cdouble,32,512,512,T,native:cta,0.32588,0.32600,0.0018,425.5,0.448,0.00e+00,32,512,32,128,0
vendor,cdouble,32,512,512,C,vendor:auto,0.15105,0.15114,0.0029,918.1,0.966,0.00e+00,32,512,32,128,0
native:cta,cdouble,32,512,512,C,native:cta,0.32442,0.32442,0.0005,427.5,0.450,0.00e+00,32,512,32,128,0
vendor,cdouble,64,512,128,T,vendor:auto,0.18050,0.18055,0.0063,378.3,0.398,0.00e+00,64,512,64,64,0
native:cta,cdouble,64,512,128,T,native:cta,0.10189,0.10194,0.0014,670.2,0.705,0.00e+00,64,512,64,64,0
vendor,cdouble,64,512,128,C,vendor:auto,0.18177,0.18199,0.0077,375.7,0.395,0.00e+00,64,512,64,64,0
native:cta,cdouble,64,512,128,C,native:cta,0.10187,0.10185,0.0013,670.3,0.706,0.00e+00,64,512,64,64,0
