type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,8,1,512,T,auto,1,1,0.00788,0.00787,0.0107,0.0171,17.7,17.7,0.9980,0.00e+00,0.00e+00,8,1,8,0,0
double,8,1,512,T,auto,1,1,0.00759,0.00761,0.0166,0.0271,9.2,9.2,1.0021,0.00e+00,0.00e+00,8,1,8,0,0
cfloat,8,1,512,T,auto,1,1,0.00807,0.00800,0.0072,0.0165,8.6,8.7,0.9919,0.00e+00,0.00e+00,8,1,8,0,0
float,8,1,512,T,auto,1,1,0.00770,0.00773,0.0093,0.0185,4.5,4.5,1.0048,0.00e+00,0.00e+00,8,1,8,0,0
cdouble,32,1,512,T,auto,1,1,0.00771,0.00766,0.0147,0.0263,69.1,69.5,0.9939,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,512,T,auto,1,1,0.00629,0.00630,0.0737,0.0183,42.3,42.3,1.0008,0.00e+00,0.00e+00,32,1,32,0,0
cfloat,32,1,512,T,auto,1,1,0.00624,0.00627,0.2677,0.0150,42.6,42.5,1.0037,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,512,T,auto,1,1,0.00616,0.00621,0.0090,0.0173,21.6,21.4,1.0076,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,512,T,auto,1,1,0.00676,0.00679,0.0116,0.0118,156.2,155.6,1.0040,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,512,T,auto,1,1,0.00614,0.00616,0.0257,0.0278,86.1,85.8,1.0034,0.00e+00,0.00e+00,64,1,64,0,0
cfloat,64,1,512,T,auto,1,1,0.00623,0.00617,0.0235,0.0105,84.9,85.7,0.9908,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,512,T,auto,1,1,0.00619,0.00618,0.0063,0.0642,42.7,42.8,0.9976,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,32,2,512,T,auto,8,1,0.00688,0.00723,0.0134,0.0056,116.7,111.0,1.0512,0.00e+00,0.00e+00,32,2,32,0,0
double,32,2,512,T,auto,8,1,0.00635,0.00633,0.0092,0.0144,63.2,63.4,0.9972,0.00e+00,0.00e+00,32,2,32,0,0
cfloat,32,2,512,T,auto,1,1,0.00628,0.00616,0.0163,0.0092,63.9,65.2,0.9806,0.00e+00,0.00e+00,32,2,32,0,0
float,32,2,512,T,auto,4,1,0.00615,0.00613,0.0609,0.0605,32.6,32.8,0.9964,0.00e+00,0.00e+00,32,2,32,0,0
cdouble,64,2,512,T,auto,4,1,0.00701,0.00751,0.0105,0.0396,226.7,211.6,1.0710,0.00e+00,0.00e+00,64,2,64,1,0
double,64,2,512,T,auto,1,1,0.00645,0.00644,0.0129,0.0226,123.3,123.3,0.9995,0.00e+00,0.00e+00,64,2,64,0,0
cfloat,64,2,512,T,auto,1,1,0.00618,0.00620,0.0221,0.0132,128.6,128.1,1.0045,0.00e+00,0.00e+00,64,2,64,0,0
float,64,2,512,T,auto,1,1,0.00617,0.00610,0.0133,0.0151,64.3,65.1,0.9883,0.00e+00,0.00e+00,64,2,64,0,0
cdouble,32,4,512,T,auto,8,1,0.00810,0.00963,0.0195,0.0166,165.8,139.5,1.1884,0.00e+00,0.00e+00,32,4,32,1,0
double,32,4,512,T,auto,8,1,0.00679,0.00721,0.0095,0.0156,99.0,93.2,1.0620,0.00e+00,0.00e+00,32,4,32,0,0
cfloat,32,4,512,T,auto,1,1,0.00627,0.00633,0.0141,0.0791,107.1,106.1,1.0091,0.00e+00,0.00e+00,32,4,32,0,0
float,32,4,512,T,auto,4,1,0.00741,0.00733,0.0146,0.5596,45.3,45.8,0.9891,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,64,4,512,T,auto,4,1,0.00757,0.00930,0.0557,0.0152,350.7,285.5,1.2282,0.00e+00,0.00e+00,64,4,64,2,0
double,64,4,512,T,auto,1,1,0.00811,0.00825,0.0176,0.0366,163.7,160.9,1.0171,0.00e+00,0.00e+00,64,4,64,1,0
