n,batch,beta,arm,rep,gflops
8,512,0,vendor,1,48.428
8,512,0,vendor,2,48.343
8,512,0,vendor,3,48.141
8,512,0,sycl,1,68.879
8,512,0,sycl,2,68.728
8,512,0,sycl,3,69.291
8,512,1,vendor,1,47.002
8,512,1,vendor,2,46.949
8,512,1,vendor,3,46.528
8,512,1,sycl,1,68.758
8,512,1,sycl,2,68.912
8,512,1,sycl,3,68.533
16,512,0,vendor,1,345.70
16,512,0,vendor,2,343.09
16,512,0,vendor,3,347.05
16,512,0,sycl,1,427.79
16,512,0,sycl,2,422.99
16,512,0,sycl,3,420.04
16,512,1,vendor,1,331.91
16,512,1,vendor,2,332.57
16,512,1,vendor,3,332.10
16,512,1,sycl,1,434.91
16,512,1,sycl,2,435.48
16,512,1,sycl,3,435.26
32,512,0,vendor,1,1375.4
32,512,0,vendor,2,1434.3
32,512,0,vendor,3,1434.3
32,512,0,sycl,1,1470.5
32,512,0,sycl,2,1474.2
32,512,0,sycl,3,1466.0
32,512,1,vendor,1,1362.7
32,512,1,vendor,2,1360.4
32,512,1,vendor,3,1361.1
32,512,1,sycl,1,1472.8
32,512,1,sycl,2,1471.2
32,512,1,sycl,3,1470.9
33,512,0,vendor,1,1408.9
33,512,0,vendor,2,1414.4
33,512,0,vendor,3,1414.7
33,512,0,sycl,1,1299.2
33,512,0,sycl,2,1294.9
33,512,0,sycl,3,1296.2
33,512,1,vendor,1,1341.1
33,512,1,vendor,2,1355.3
33,512,1,vendor,3,1355.0
33,512,1,sycl,1,1296.8
33,512,1,sycl,2,1296.7
33,512,1,sycl,3,1297.1
48,512,0,vendor,1,4063.5
48,512,0,vendor,2,4086.0
48,512,0,vendor,3,4041.2
48,512,0,sycl,1,2361.6
48,512,0,sycl,2,2356.0
48,512,0,sycl,3,2355.9
48,512,1,vendor,1,3910.1
48,512,1,vendor,2,3906.7
48,512,1,vendor,3,3916.1
48,512,1,sycl,1,2360.5
48,512,1,sycl,2,2352.8
48,512,1,sycl,3,2352.9
64,512,0,vendor,1,8142.6
64,512,0,vendor,2,8148.4
64,512,0,vendor,3,8145.8
64,512,0,sycl,1,6428.7
64,512,0,sycl,2,6430.8
64,512,0,sycl,3,6424.1
64,512,1,vendor,1,7584.1
64,512,1,vendor,2,7788.2
64,512,1,vendor,3,7821.5
64,512,1,sycl,1,6424.1
64,512,1,sycl,2,6422.9
64,512,1,sycl,3,6418.2
96,512,0,vendor,1,16386.
96,512,0,vendor,2,16186.
96,512,0,vendor,3,16183.
96,512,0,sycl,1,7963.1
