n,batch,beta,tA,tB,arm,rep,gflops
192,256,0,1,1,sycl,2,11048.
192,256,0,1,1,sycl,3,11007.
192,256,1,1,1,vendor,1,20129.
192,256,1,1,1,vendor,2,20024.
192,256,1,1,1,vendor,3,19790.
192,256,1,1,1,sycl,1,11038.
192,256,1,1,1,sycl,2,11006.
192,256,1,1,1,sycl,3,10808.
256,256,0,1,0,vendor,1,34156.
256,256,0,1,0,vendor,2,34322.
256,256,0,1,0,vendor,3,34307.
256,256,0,1,0,sycl,1,12724.
256,256,0,1,0,sycl,2,12772.
256,256,0,1,0,sycl,3,12716.
256,256,1,1,0,vendor,1,26888.
256,256,1,1,0,vendor,2,26588.
256,256,1,1,0,vendor,3,26864.
256,256,1,1,0,sycl,1,12586.
256,256,1,1,0,sycl,2,12766.
256,256,1,1,0,sycl,3,12717.
256,256,0,0,1,vendor,1,35626.
256,256,0,0,1,vendor,2,35751.
256,256,0,0,1,vendor,3,35655.
256,256,0,0,1,sycl,1,14205.
256,256,0,0,1,sycl,2,14208.
256,256,0,0,1,sycl,3,14211.
256,256,1,0,1,vendor,1,27305.
256,256,1,0,1,vendor,2,27317.
256,256,1,0,1,vendor,3,27508.
256,256,1,0,1,sycl,1,14193.
256,256,1,0,1,sycl,2,14243.
256,256,1,0,1,sycl,3,14164.
256,256,0,1,1,vendor,1,34965.
256,256,0,1,1,vendor,2,35086.
256,256,0,1,1,vendor,3,35293.
256,256,0,1,1,sycl,1,13880.
256,256,0,1,1,sycl,2,13939.
256,256,0,1,1,sycl,3,13905.
256,256,1,1,1,vendor,1,27139.
256,256,1,1,1,vendor,2,27194.
256,256,1,1,1,vendor,3,27282.
256,256,1,1,1,sycl,1,13886.
256,256,1,1,1,sycl,2,13943.
256,256,1,1,1,sycl,3,13788.
384,256,0,1,0,vendor,1,42975.
384,256,0,1,0,vendor,2,43633.
384,256,0,1,0,vendor,3,43211.
384,256,0,1,0,sycl,1,14797.
384,256,0,1,0,sycl,2,14819.
384,256,0,1,0,sycl,3,14809.
384,256,1,1,0,vendor,1,38776.
384,256,1,1,0,vendor,2,38880.
384,256,1,1,0,vendor,3,38705.
384,256,1,1,0,sycl,1,14812.
384,256,1,1,0,sycl,2,14789.
384,256,1,1,0,sycl,3,14799.
384,256,0,0,1,vendor,1,46638.
384,256,0,0,1,vendor,2,46430.
384,256,0,0,1,vendor,3,46971.
384,256,0,0,1,sycl,1,16378.
384,256,0,0,1,sycl,2,16396.
384,256,0,0,1,sycl,3,16357.
384,256,1,0,1,vendor,1,40152.
384,256,1,0,1,vendor,2,40466.
384,256,1,0,1,vendor,3,40142.
384,256,1,0,1,sycl,1,16373.
384,256,1,0,1,sycl,2,16394.
384,256,1,0,1,sycl,3,16391.
384,256,0,1,1,vendor,1,45115.
384,256,0,1,1,vendor,2,45146.
384,256,0,1,1,vendor,3,45461.
384,256,0,1,1,sycl,1,16305.
384,256,0,1,1,sycl,2,16333.
384,256,0,1,1,sycl,3,16315.
384,256,1,1,1,vendor,1,40072.
384,256,1,1,1,vendor,2,39894.
384,256,1,1,1,vendor,3,40041.
384,256,1,1,1,sycl,1,16311.
384,256,1,1,1,sycl,2,16332.
384,256,1,1,1,sycl,3,16304.
512,256,0,1,0,vendor,1,45101.
512,256,0,1,0,vendor,2,45240.
512,256,0,1,0,vendor,3,45269.
512,256,0,1,0,sycl,1,15294.
512,256,0,1,0,sycl,2,15291.
512,256,0,1,0,sycl,3,15298.
512,256,1,1,0,vendor,1,42479.
512,256,1,1,0,vendor,2,42189.
512,256,1,1,0,vendor,3,41929.
512,256,1,1,0,sycl,1,15270.
512,256,1,1,0,sycl,2,15285.
512,256,1,1,0,sycl,3,15304.
512,256,0,0,1,vendor,1,47644.
512,256,0,0,1,vendor,2,48229.
512,256,0,0,1,vendor,3,47716.
512,256,0,0,1,sycl,1,16784.
512,256,0,0,1,sycl,2,16783.
512,256,0,0,1,sycl,3,16754.
512,256,1,0,1,vendor,1,44440.
512,256,1,0,1,vendor,2,44216.
512,256,1,0,1,vendor,3,44817.
512,256,1,0,1,sycl,1,16775.
512,256,1,0,1,sycl,2,16768.
512,256,1,0,1,sycl,3,16779.
512,256,0,1,1,vendor,1,47158.
512,256,0,1,1,vendor,2,46144.
512,256,0,1,1,vendor,3,45945.
512,256,0,1,1,sycl,1,16797.
512,256,0,1,1,sycl,2,16740.
512,256,0,1,1,sycl,3,16802.
512,256,1,1,1,vendor,1,43349.
512,256,1,1,1,vendor,2,44130.
512,256,1,1,1,vendor,3,43899.
512,256,1,1,1,sycl,1,16787.
512,256,1,1,1,sycl,2,16790.
512,256,1,1,1,sycl,3,16773.
768,256,0,1,0,vendor,1,46746.
768,256,0,1,0,vendor,2,46882.
768,256,0,1,0,vendor,3,46882.
768,256,0,1,0,sycl,1,16235.
768,256,0,1,0,sycl,2,16220.
768,256,0,1,0,sycl,3,16224.
768,256,1,1,0,vendor,1,45815.
768,256,1,1,0,vendor,2,44901.
768,256,1,1,0,vendor,3,45938.
768,256,1,1,0,sycl,1,16239.
768,256,1,1,0,sycl,2,16218.
768,256,1,1,0,sycl,3,16237.
768,256,0,0,1,vendor,1,49733.
768,256,0,0,1,vendor,2,49301.
768,256,0,0,1,vendor,3,50493.
768,256,0,0,1,sycl,1,17911.
768,256,0,0,1,sycl,2,17894.
768,256,0,0,1,sycl,3,17898.
768,256,1,0,1,vendor,1,48754.
768,256,1,0,1,vendor,2,48453.
768,256,1,0,1,vendor,3,47837.
768,256,1,0,1,sycl,1,17885.
768,256,1,0,1,sycl,2,17883.
768,256,1,0,1,sycl,3,17885.
768,256,0,1,1,vendor,1,48659.
768,256,0,1,1,vendor,2,48057.
768,256,0,1,1,vendor,3,48335.
768,256,0,1,1,sycl,1,18021.
768,256,0,1,1,sycl,2,18010.
768,256,0,1,1,sycl,3,17974.
768,256,1,1,1,vendor,1,47432.
768,256,1,1,1,vendor,2,47287.
768,256,1,1,1,vendor,3,47276.
768,256,1,1,1,sycl,1,18020.
768,256,1,1,1,sycl,2,18023.
768,256,1,1,1,sycl,3,18007.
