n,batch,beta,kernel,gflops
544,96,0,cublas,35081.
544,96,0,auto,13372.
544,96,0,128x128x8,27101.
544,96,1,cublas,33163.
544,96,1,auto,13373.
544,96,1,128x128x8,25978.
672,96,0,cublas,35581.
672,96,0,auto,14107.
672,96,0,128x128x8,29715.
672,96,1,cublas,36577.
672,96,1,auto,14112.
672,96,1,128x128x8,28860.
800,96,0,cublas,39508.
800,96,0,auto,14654.
800,96,0,128x128x8,31354.
800,96,1,cublas,37576.
800,96,1,auto,14651.
800,96,1,128x128x8,30548.
1056,96,0,cublas,40401.
1056,96,0,auto,15065.
1056,96,0,128x128x8,33314.
1056,96,1,cublas,41677.
1056,96,1,auto,15059.
1056,96,1,128x128x8,32701.
