2760 MHz, 58
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       0       100         0.17135     0.00012215  2501.8      73.433      293.75      0.33467     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       0       100         0.18406     0.00018100  4985.5      136.73      364.62      0.35949     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       4       512     0       0       1       0       100         0.30050     0.00016005  9973.2      167.49      334.99      0.58692     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       8       512     0       0       1       0       100         0.53614     0.0011185   19873.      187.76      312.93      1.0471      3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       12      512     0       0       1       0       100         0.76477     0.00026645  29814.      197.44      307.13      1.4937      3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       25      512     0       0       1       0       100         1.5276      0.0013571   61852.      205.92      296.53      2.9837      3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       1       512     0       0       1       0       100         0.24489     0.00022917  4887.6      102.76      333.99      0.47830     6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       2       512     0       0       1       0       100         0.31710     0.00019071  9761.0      158.73      310.84      0.61933     6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       4       512     0       0       1       0       100         0.54514     0.00016761  19641.      184.66      242.36      1.0647      6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       8       512     0       0       1       0       100         0.97361     0.015185    38905.      206.78      204.63      1.9016      6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       12      512     0       0       1       0       100         1.4344      0.0012575   58388.      210.53      185.68      2.8016      6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       25      512     0       0       1       0       100         2.8227      0.031267    1.2115e+05  222.89      171.62      5.5131      6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    8       1       512     0       0       1       0       100         0.30535     0.00023019  6451.2      109.89      336.54      0.59639     8192        8           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    8       2       512     0       0       1       0       100         0.40170     0.00019816  12868.      167.06      297.59      0.78457     8192        8           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    8       4       512     0       0       1       0       100         0.70636     0.00013099  26001.      190.01      216.74      1.3796      8192        8           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    8       8       512     0       0       1       0       100         1.2636      0.00075921  51482.      212.43      174.26      2.4680      8192        8           
