2760 MHz, 63
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       1       128     0       0       1       1       100         0.087529    0.00019242  2184.2      17.970      167.72      0.68382     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       2       128     0       0       1       1       100         0.089000    0.00010732  4415.0      35.345      212.08      0.69531     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       4       128     0       0       1       1       100         0.093706    6.9795e-05  8708.1      67.140      290.95      0.73208     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       8       128     0       0       1       1       100         0.12850     0.00020232  17237.      97.924      342.74      1.0039      6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       12      128     0       0       1       1       100         0.17408     0.00018282  25776.      108.43      349.38      1.3600      6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       25      128     0       0       1       1       100         0.42596     0.00027522  53575.      92.312      270.78      3.3278      6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    6       1       128     0       0       1       1       100         0.10579     0.00096907  3800.0      29.736      227.98      0.82647     12288       6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    6       2       128     0       0       1       1       100         0.10742     0.00021180  7646.0      58.569      263.57      0.83921     12288       6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    6       4       128     0       0       1       1       100         0.16117     0.00049316  15264.      78.072      227.71      1.2591      12288       6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    6       8       128     0       0       1       1       100         0.24994     0.010452    30180.      100.69      213.96      1.9527      12288       6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    6       12      128     0       0       1       1       100         0.33506     0.00049628  45196.      112.66      209.68      2.6177      12288       6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    6       25      128     0       0       1       1       100         0.71727     0.00043208  93999.      109.64      173.97      5.6036      12288       6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    8       1       128     0       0       1       1       100         0.11658     0.00011706  4904.7      35.977      260.84      0.91080     16384       8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    8       2       128     0       0       1       1       100         0.12690     0.00013437  9836.0      66.103      272.68      0.99142     16384       8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    8       4       128     0       0       1       1       100         0.18892     0.00016478  19577.      88.807      227.57      1.4759      16384       8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    8       8       128     0       0       1       1       100         0.33964     0.00037600  38707.      98.793      175.98      2.6535      16384       8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    8       12      128     0       0       1       1       100         0.46731     0.0017731   58001.      107.70      163.80      3.6509      16384       8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    8       25      128     0       0       1       1       100         0.94057     0.0029226   1.2049e+05  111.48      139.35      7.3482      16384       8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    12      1       128     0       0       1       1       100         0.13342     0.00013697  6993.3      47.154      322.22      1.0424      24576       12          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    12      2       128     0       0       1       1       100         0.17587     0.0015727   14069.      71.545      268.30      1.3740      24576       12          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    12      4       128     0       0       1       1       100         0.27049     0.0044797   27903.      93.037      205.46      2.1132      24576       12          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    12      8       128     0       0       1       1       100         0.46214     0.00019566  55379.      108.91      156.56      3.6105      24576       12          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    12      12      128     0       0       1       1       100         0.66276     0.011230    82961.      113.91      134.48      5.1778      24576       12          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    12      25      128     0       0       1       1       100         1.3772      0.0051949   1.7226e+05  114.21      104.31      10.760      24576       12          
