== grid : 168 cells usable, 0 skipped
   shipped vendor-free route: 83 cells FUSED, 85 cells COMPOSITION

type     n      nrhs   batch       cuBLAS     BEFORE      AFTER arm             b/cub    a/cub
cdouble  1024   64     128        64.4771    59.2539    59.2539 composition     1.088    1.088
cdouble  1024   128    128       128.5917   116.4379   116.4379 composition     1.104    1.104
cdouble  2048   1      32         11.1235    50.9048     5.1507 fused           0.219    2.160
cdouble  2048   2      32         22.6278    51.0259     9.7906 fused           0.443    2.311
cdouble  2048   4      32         22.7554    51.4518    51.4518 composition     0.442    0.442
cdouble  2048   16     32         24.3626    55.1456    55.1456 composition     0.442    0.442
cdouble  2048   64     32         71.4975   182.0211   182.0211 composition     0.393    0.393
cdouble  2048   128    32        135.0888   120.6146   120.6146 composition     1.120    1.120

WHOLE GRID, 168 cells, cuBLAS_ms / native_ms:
   BEFORE (composition everywhere) geomean 0.523, 50 wins
   AFTER  (shipped vendor-free)    geomean 1.291, 124 wins
   speed-up of the op itself, BEFORE_ms / AFTER_ms: geomean 2.468
