== vendor arm: AFTER / BEFORE, getrf and getri
op     type     n      batch       before      after    ratio route(after)
getri  float    64     1024        0.2548     0.2546    0.999 vendor:auto|vendor:auto
getri  float    128    32          0.4012     0.4032    1.005 vendor:auto|vendor:auto
getri  float    128    1024        1.4087     1.4114    1.002 vendor:auto|vendor:auto
getri  float    256    32          2.4258     2.4281    1.001 vendor:auto|vendor:auto
getri  float    256    1024       18.1802    18.1362    0.998 vendor:auto|vendor:auto
getri  float    512    32         17.0718    17.0462    0.999 vendor:auto|vendor:auto
getri  float    512    1024      156.2419   156.6929    1.003 vendor:auto|vendor:auto
getri  float    1024   32        173.6488   174.2114    1.003 vendor:auto|vendor:auto
getri  float    2048   32       1472.1818  1473.5051    1.001 vendor:auto|vendor:auto
   96 cells compared, GEOMEAN after/before = 0.9996, worst 0.934, best 1.031, 2 outside +/-5%

== native arm: AFTER / BEFORE, getrf and getri
op     type     n      batch       before      after    ratio route(after)
getrf  cdouble  32     32          0.0856     0.0854    0.998 native:cta
getrf  cdouble  32     1024        0.4588     0.4582    0.999 native:cta
getrf  cdouble  64     32          0.3411     0.3412    1.000 native:cta
getrf  cdouble  64     1024        2.7468     2.7412    0.998 native:cta
getrf  cdouble  128    32          1.6835     1.6838    1.000 native:blocked
getrf  cdouble  128    1024       16.9968    16.9885    1.000 native:blocked
getrf  cdouble  256    32          5.1946     5.1949    1.000 native:blocked
getrf  cdouble  256    1024       84.0049    83.9548    0.999 native:blocked
getrf  cdouble  512    32         19.5452    19.5582    1.001 native:blocked
getrf  cdouble  512    1024      470.0455   470.9409    1.002 native:blocked
getrf  cdouble  1024   32        105.6128   105.6626    1.000 native:blocked
getrf  cdouble  2048   32        694.1613   694.4297    1.000 native:blocked
getrf  cfloat   32     32          0.0389     0.0388    0.997 native:cta
getrf  cfloat   32     1024        0.0679     0.0678    0.999 native:cta
getrf  cfloat   64     32          0.0931     0.0933    1.002 native:cta
getrf  cfloat   64     1024        0.4234     0.4220    0.997 native:cta
getrf  cfloat   128    32          0.6841     0.6854    1.002 native:blocked
getrf  cfloat   128    1024        3.3810     3.3801    1.000 native:blocked
getrf  cfloat   256    32          1.7213     1.7202    0.999 native:blocked
getrf  cfloat   256    1024       22.4733    22.5013    1.001 native:blocked
getrf  cfloat   512    32          4.4303     4.3949    0.992 native:blocked
getrf  cfloat   512    1024      132.4120   132.9862    1.004 native:blocked
getrf  cfloat   1024   32         20.0525    20.0336    0.999 native:blocked
getrf  cfloat   2048   32        111.8667   111.8696    1.000 native:blocked
getrf  double   32     32          0.0561     0.0563    1.004 native:cta
getrf  double   32     1024        0.2425     0.2407    0.993 native:cta
getrf  double   64     32          0.2485     0.2484    1.000 native:blocked
getrf  double   64     1024        1.2391     1.2359    0.997 native:blocked
getrf  double   128    32          0.9018     0.9019    1.000 native:blocked
getrf  double   128    1024        6.9374     6.9173    0.997 native:blocked
getrf  double   256    32          2.5017     2.5036    1.001 native:blocked
getrf  double   256    1024       35.6366    35.6360    1.000 native:blocked
getrf  double   512    32          7.5355     7.5452    1.001 native:blocked
getrf  double   512    1024      187.4840   187.3064    0.999 native:blocked
getrf  double   1024   32         35.6836    35.7226    1.001 native:blocked
getrf  double   2048   32        212.6422   212.8860    1.001 native:blocked
getrf  float    32     32          0.0364     0.0339    0.931 native:cta   <-- MOVED
getrf  float    32     1024        0.0536     0.0515    0.961 native:cta
getrf  float    64     32          0.0764     0.0764    1.000 native:cta
getrf  float    64     1024        0.2312     0.2300    0.995 native:cta
getrf  float    128    32          0.2419     0.2425    1.002 native:cta
getrf  float    128    1024        1.9633     1.9640    1.000 native:cta
getrf  float    256    32          1.0754     1.0761    1.001 native:blocked
getrf  float    256    1024       14.0235    13.8017    0.984 native:blocked
getrf  float    512    32          2.6651     2.6640    1.000 native:blocked
getrf  float    512    1024       90.0043    89.4179    0.993 native:blocked
getrf  float    1024   32         10.6393    10.6053    0.997 native:blocked
getrf  float    2048   32         70.7807    70.8159    1.000 native:blocked
getri  cdouble  32     32          0.0930     0.0925    0.995 native:cta|native:blocked
getri  cdouble  32     1024        1.8109     1.8117    1.000 native:cta|native:blocked
getri  cdouble  64     32          0.2892     0.2870    0.992 native:cta|native:blocked
getri  cdouble  64     1024        5.4775     5.4763    1.000 native:cta|native:blocked
getri  cdouble  128    32          1.4431     1.4464    1.002 native:blocked|native:blocked
getri  cdouble  128    1024       27.5212    27.5337    1.000 native:blocked|native:blocked
getri  cdouble  256    32          4.8867     4.8940    1.001 native:blocked|native:blocked
getri  cdouble  256    1024      145.6249   145.6657    1.000 native:blocked|native:blocked
