name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,128,0,50,0.20028,0.00920161,1.56469
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,128,2,50,0.279067,0.0142821,2.18021
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,512,0,50,0.397879,0.0104572,0.777108
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,512,2,50,0.595601,0.012412,1.16328
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,128,0,50,0.310765,0.00998125,2.42785
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,128,2,50,0.462978,0.0116138,3.61702
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,512,0,50,0.844307,0.0271782,1.64904
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,512,2,50,1.26216,0.0854394,2.46516
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,128,0,50,0.680691,0.0119742,5.3179
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,128,2,50,1.02757,0.0719914,8.02792
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,512,0,50,3.52537,0.108597,6.88549
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,512,2,38,5.28371,0.130458,10.3197
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,128,0,50,1.65563,0.0386057,12.9346
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,128,2,50,2.63012,0.12551,20.5478
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,512,0,23,8.98561,0.235349,17.55
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,512,2,15,13.4767,0.228102,26.3216
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,128,0,37,5.42306,0.147277,42.3676
