name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,128,0,50,0.125029,0.00367655,0.976792
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,128,2,50,0.18627,0.00674997,1.45523
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,512,0,50,0.169087,0.00736698,0.330249
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,512,2,50,0.25384,0.0109798,0.495781
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,128,0,50,0.166273,0.00449359,1.29901
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,128,2,50,0.249107,0.00985354,1.94615
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,512,0,50,0.333334,0.0114561,0.651044
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,512,2,50,0.48401,0.0142627,0.945331
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,128,0,50,0.431249,0.00838536,3.36913
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,128,2,50,0.653114,0.01697,5.10245
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,512,0,50,1.77755,0.0419441,3.47178
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,512,2,50,2.66417,0.0961033,5.20346
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,128,0,50,1.4439,0.0379104,11.2804
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,128,2,50,2.179,0.0638359,17.0234
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,512,0,33,6.06752,0.177419,11.8506
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,512,2,22,9.13558,0.172521,17.8429
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,128,0,50,3.92907,0.0897841,30.6959
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,128,2,34,5.88493,0.124461,45.976
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,512,0,13,15.7034,0.213,30.6707
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,512,2,9,23.659,0.14166,46.209
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,128,0,50,0.335358,0.0120201,2.61998
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,128,2,50,0.497684,0.00957544,3.88816
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,512,0,50,0.978783,0.0139222,1.91169
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,512,2,50,1.46422,0.0762917,2.8598
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,128,0,50,0.563033,0.0119894,4.39869
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,128,2,50,0.805971,0.0159857,6.29665
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,512,0,50,2.04379,0.0625026,3.99178
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,512,2,50,3.03873,0.092219,5.93503
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,128,0,50,1.96268,0.0484979,15.3335
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,128,2,50,2.96084,0.0827116,23.1316
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,512,0,28,7.15087,0.203024,13.9666
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,512,2,19,10.6962,0.181832,20.8909
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,128,0,34,5.96468,0.170395,46.599
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,128,2,23,8.94826,0.230089,69.9083
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,512,0,9,23.7906,0.323206,46.4659
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,512,2,6,35.9384,0.145982,70.1922
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,128,0,14,14.8484,0.22052,116.003
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,128,2,9,22.4821,0.216136,175.641
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,512,0,5,58.5137,0.466652,114.285
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,512,2,5,88.3845,0.593353,172.626
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,128,0,50,0.597831,0.00936079,4.67055
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,128,2,50,0.897743,0.0143185,7.01361
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,512,0,50,2.05769,0.0596317,4.01893
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,512,2,50,3.09503,0.099883,6.04497
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,128,0,50,0.778014,0.0112296,6.07824
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,128,2,50,1.16676,0.053838,9.1153
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,512,0,50,2.7509,0.0916729,5.37285
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,512,2,49,4.1203,0.0951546,8.04746
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,128,0,50,2.16073,0.0634647,16.8807
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,128,2,50,3.22779,0.077372,25.2171
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,512,0,25,8.16131,0.156234,15.9401
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,512,2,17,12.2678,0.193743,23.9605
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,128,0,28,7.39484,0.150209,57.7722
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,128,2,18,11.1138,0.1986,86.8266
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,512,0,7,28.8921,0.200125,56.4298
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,512,2,5,43.3773,0.152849,84.7212
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,128,0,5,40.806,0.147328,318.797
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,128,2,5,61.2479,0.256629,478.499
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,512,0,5,161.954,0.221741,316.316
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,512,2,5,243.204,0.25085,475.008
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,128,0,50,2.19906,0.0707796,17.1801
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,128,2,50,3.29598,0.117654,25.7498
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,512,0,27,7.63048,0.135363,14.9033
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,512,2,18,11.5658,0.199882,22.5894
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,128,0,50,3.05636,0.0900778,23.8778
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,128,2,44,4.57677,0.106097,35.756
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,512,0,19,10.5622,0.1997,20.6293
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,512,2,13,15.8089,0.18735,30.8768
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,128,0,24,8.33617,0.137951,65.1264
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,128,2,16,12.5197,0.182154,97.8103
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,512,0,7,31.4633,0.0188505,61.4518
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,512,2,5,47.148,0.241742,92.0859
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,128,0,8,28.2083,0.166226,220.377
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,128,2,5,42.2404,0.121131,330.003
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,512,0,5,110.965,0.257631,216.728
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,512,2,5,166.853,0.289638,325.884
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,128,0,5,157.048,0.264451,1226.94
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,128,2,5,235.632,0.101821,1840.87
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,512,0,5,624.343,0.190593,1219.42
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,512,2,5,936.558,0.37499,1829.22
