name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,512,0,25,8.16689,0.146822,15.951
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,512,2,17,12.2952,0.194081,24.014
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,128,0,28,7.39711,0.118523,57.7899
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,128,2,19,11.0992,0.155556,86.7128
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,512,0,7,28.9677,0.199289,56.5776
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,512,2,5,43.5567,0.205335,85.0716
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,128,0,5,40.9817,0.292962,320.17
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,128,2,5,61.3779,0.131755,479.515
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,512,0,5,162.519,0.146235,317.42
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,512,2,5,243.727,0.249035,476.029
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,128,0,50,2.25064,0.107007,17.5831
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,128,2,50,3.32149,0.0973978,25.9491
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,512,0,27,7.61761,0.118802,14.8781
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,16,512,2,18,11.5419,0.183548,22.5428
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,128,0,50,3.05735,0.080037,23.8855
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,128,2,44,4.59294,0.117465,35.8823
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,512,0,19,10.5607,0.190154,20.6264
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,32,512,2,13,15.8292,0.189674,30.9165
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,128,0,24,8.3481,0.150106,65.2195
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,128,2,17,12.5164,0.16876,97.7845
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,512,0,7,31.3718,0.158117,61.273
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,64,512,2,5,47.1796,0.239601,92.1477
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,128,0,8,28.1883,0.165365,220.221
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,128,2,5,42.3699,0.193267,331.015
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,512,0,5,111.236,0.28851,217.258
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,128,512,2,5,166.79,0.148813,325.761
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,128,0,5,157.349,0.195648,1229.29
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,128,2,5,236.034,0.106399,1844.02
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,512,0,5,624.603,0.075923,1219.93
"(BM_Ortho<double, batchlas::Backend::CUDA>)",4096,256,512,2,5,936.63,0.0511886,1829.36
