name,arg0,arg1,arg2,arg3,arg4,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,128,0,1,50,0.220226,0.000555412,1.72051
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,128,2,1,50,0.318427,0.0118783,2.48771
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,512,0,1,50,0.404503,0.00066032,0.790044
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,512,2,1,50,0.605275,0.0006172,1.18218
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,128,0,1,50,0.643836,0.000681848,5.02997
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,128,2,1,50,0.963933,0.00174049,7.53073
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,512,0,1,50,1.59607,0.00265074,3.11732
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,512,2,1,50,2.38217,0.00207573,4.65267
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,128,0,1,50,0.322095,0.00032613,2.51637
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,128,2,1,50,0.483296,0.000329996,3.77575
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,512,0,1,50,0.84615,0.000331166,1.65264
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,512,2,1,50,1.27851,0.00179243,2.49709
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,128,0,1,50,1.12099,0.00135156,8.75772
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,128,2,1,50,1.64616,0.00123412,12.8606
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,512,0,1,50,3.2744,0.00137695,6.39532
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,512,2,1,41,4.90097,0.00138991,9.57221
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,128,0,1,50,0.667944,0.000327143,5.21831
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,128,2,1,50,1.00121,0.00163208,7.82192
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,512,0,1,50,2.24681,0.0016737,4.3883
