name,arg0,arg1,arg2,arg3,arg4,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,128,0,1,50,0.15224,0.014763,1.18938
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,128,2,1,50,0.220849,0.0177892,1.72538
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,512,0,1,50,0.195371,0.000304091,0.381584
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,512,2,1,50,0.294953,0.00333158,0.576081
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,128,0,1,50,0.433913,0.00105479,3.38995
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,128,2,1,50,0.655367,0.013605,5.12006
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,512,0,1,50,1.02205,0.016873,1.99619
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,512,2,1,50,1.55918,0.053697,3.04527
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,128,0,1,50,0.190121,0.00594164,1.48532
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,128,2,1,50,0.279801,0.0013889,2.18595
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,512,0,1,50,0.366524,0.000509848,0.715867
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,512,2,1,50,0.5361,0.00142439,1.04707
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,128,0,1,50,0.645799,0.000326179,5.0453
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,128,2,1,50,0.931605,0.000494635,7.27816
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,512,0,1,50,1.83767,0.00200933,3.5892
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,512,2,1,50,2.74839,0.00253133,5.36796
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,128,0,1,50,0.370658,0.000218721,2.89576
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,128,2,1,50,0.555088,0.000338759,4.33663
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,512,0,1,50,1.42633,0.00450602,2.78579
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,512,2,1,50,2.14501,0.00300265,4.18947
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,128,0,1,50,1.63522,0.00268193,12.7751
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,128,2,1,50,2.45399,0.00266697,19.1718
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,512,0,1,37,5.55272,0.00353719,10.8451
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,512,2,1,25,8.33309,0.00814276,16.2756
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,128,0,1,50,1.00487,0.00140067,7.85059
