name,arg0,arg1,arg2,arg3,arg4,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,128,0,1,50,0.783641,0.000227497,6.12219
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,128,2,1,50,1.17529,0.00156556,9.18195
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,512,0,1,50,2.79311,0.00609532,5.45528
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,512,2,1,48,4.19088,0.0135027,8.18532
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,128,0,1,50,3.08798,0.00614867,24.1249
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,128,2,1,44,4.61824,0.0102531,36.08
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,512,0,1,19,10.6919,0.0440582,20.8825
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,512,2,1,13,16.0094,0.0634287,31.2683
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,128,0,1,50,2.16867,0.00112708,16.9428
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,128,2,1,50,3.25701,0.0263387,25.4454
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,512,0,1,24,8.34211,0.0224132,16.2932
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,512,2,1,16,12.5618,0.0544863,24.5348
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,128,0,1,24,8.48898,0.0434079,66.3202
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,128,2,1,16,12.7755,0.0920065,99.8084
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,512,0,1,7,31.7377,0.051175,61.9877
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,512,2,1,5,47.5816,0.0934861,92.9329
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,128,0,1,27,7.60493,0.0260683,59.4135
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,128,2,1,18,11.4651,0.0303987,89.5713
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,512,0,1,7,29.8017,0.0134654,58.2065
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,512,2,1,5,44.8992,0.0435584,87.6937
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,128,0,1,7,29.0066,0.0435024,226.614
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,128,2,1,5,43.5557,0.0452276,340.279
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,512,0,1,5,114.047,0.0832453,222.748
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,512,2,1,5,171.414,0.186431,334.793
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,128,0,1,5,41.798,0.092619,326.547
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,128,2,1,5,62.9081,0.0198677,491.47
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,512,0,1,5,164.294,0.289237,320.886
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,512,2,1,5,248.224,0.571096,484.813
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,128,0,1,5,159.876,0.253579,1249.03
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,128,2,1,5,240.488,0.566497,1878.81
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,512,0,1,5,634.946,2.1266,1240.13
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,512,2,1,5,957.661,2.05785,1870.43
