type,m,n,batch,transA,median_ms,mean_ms,rel_sd,GBs,frac_of_900,relerr
cdouble,512,64,2048,Trans,1.18217,1.18121,0.0026,924.2,1.027,0.00e+00
cdouble,512,64,2048,NoTrans,1.18124,1.18108,0.0005,925.0,1.028,0.00e+00
cdouble,512,128,1024,Trans,1.17383,1.20597,0.0583,923.7,1.026,0.00e+00
cdouble,512,128,1024,NoTrans,1.16432,1.17643,0.0267,931.2,1.035,0.00e+00
cdouble,512,256,512,Trans,1.19438,1.19435,0.0017,904.3,1.005,0.00e+00
cdouble,512,256,512,NoTrans,1.15263,1.18470,0.0580,937.0,1.041,0.00e+00
cdouble,512,512,256,Trans,1.17176,1.17152,0.0028,919.9,1.022,0.00e+00
cdouble,512,512,256,NoTrans,1.14957,1.18160,0.0578,937.7,1.042,0.00e+00
cdouble,512,1024,128,Trans,1.17044,1.17068,0.0019,920.1,1.022,0.00e+00
cdouble,512,1024,128,NoTrans,1.14275,1.14391,0.0036,942.4,1.047,0.00e+00
cdouble,512,2048,64,Trans,1.17258,1.20700,0.0618,917.9,1.020,0.00e+00
cdouble,512,2048,64,NoTrans,1.29004,1.29016,0.0012,834.4,0.927,0.00e+00
cdouble,1024,32,2048,Trans,1.19301,1.19308,0.0009,929.0,1.032,0.00e+00
cdouble,1024,32,2048,NoTrans,1.20353,1.23630,0.0567,920.9,1.023,0.00e+00
cdouble,1024,64,1024,Trans,1.17164,1.17392,0.0046,931.7,1.035,0.00e+00
cdouble,1024,64,1024,NoTrans,1.17794,1.17812,0.0006,926.7,1.030,0.00e+00
cdouble,1024,128,512,Trans,1.16625,1.18052,0.0394,928.8,1.032,0.00e+00
cdouble,1024,128,512,NoTrans,1.16118,1.16145,0.0012,932.8,1.036,0.00e+00
cdouble,1024,256,256,Trans,1.19752,1.19859,0.0040,901.0,1.001,0.00e+00
cdouble,1024,256,256,NoTrans,1.15375,1.15299,0.0031,935.2,1.039,0.00e+00
cdouble,1024,512,128,Trans,1.16045,1.19418,0.0595,928.0,1.031,0.00e+00
cdouble,1024,512,128,NoTrans,1.14861,1.14812,0.0028,937.6,1.042,0.00e+00
cdouble,1024,1024,64,Trans,1.15844,1.19046,0.0596,928.7,1.032,0.00e+00
cdouble,1024,1024,64,NoTrans,1.14224,1.17575,0.0585,941.9,1.047,0.00e+00
cdouble,1024,2048,32,Trans,1.16176,1.16186,0.0043,925.6,1.028,0.00e+00
cdouble,1024,2048,32,NoTrans,1.28875,1.28860,0.0009,834.4,0.927,0.00e+00
cdouble,2048,32,1024,Trans,1.18518,1.18625,0.0039,934.7,1.039,0.00e+00
cdouble,2048,32,1024,NoTrans,1.20265,1.20372,0.0022,921.2,1.024,0.00e+00
cdouble,2048,64,512,Trans,1.23939,1.27249,0.0549,880.3,0.978,0.00e+00
cdouble,2048,64,512,NoTrans,1.17804,1.19588,0.0464,926.2,1.029,0.00e+00
cdouble,2048,128,256,Trans,1.14629,1.14629,0.0013,944.5,1.049,0.00e+00
cdouble,2048,128,256,NoTrans,1.16115,1.19288,0.0575,932.4,1.036,0.00e+00
cdouble,2048,256,128,Trans,1.14153,1.14212,0.0015,944.8,1.050,0.00e+00
cdouble,2048,256,128,NoTrans,1.15386,1.18651,0.0595,934.7,1.039,0.00e+00
cdouble,2048,512,64,Trans,1.14036,1.14097,0.0014,943.9,1.049,0.00e+00
cdouble,2048,512,64,NoTrans,1.14539,1.17744,0.0592,939.7,1.044,0.00e+00
cdouble,2048,1024,32,Trans,1.14001,1.17218,0.0587,943.3,1.048,0.00e+00
cdouble,2048,1024,32,NoTrans,1.20244,1.23413,0.0516,894.3,0.994,0.00e+00
cdouble,2048,2048,32,Trans,2.33683,2.33565,0.0033,919.9,1.022,0.00e+00
cdouble,2048,2048,32,NoTrans,2.42169,2.46504,0.0391,887.6,0.986,0.00e+00
cfloat,32,32,32768,Trans,0.29532,0.29520,0.0077,965.8,1.073,0.00e+00
cfloat,32,32,32768,NoTrans,0.28821,0.28832,0.0010,989.6,1.100,0.00e+00
cfloat,32,64,32768,Trans,0.59120,0.59967,0.0488,950.7,1.056,0.00e+00
cfloat,32,64,32768,NoTrans,0.56939,0.58768,0.0965,987.1,1.097,0.00e+00
cfloat,32,128,32768,Trans,1.17520,1.21499,0.0693,949.4,1.055,0.00e+00
cfloat,32,128,32768,NoTrans,1.19674,1.19678,0.0004,932.3,1.036,0.00e+00
cfloat,32,256,16384,Trans,1.17044,1.20662,0.0693,949.6,1.055,0.00e+00
