type,m,n,batch,transA,median_ms,mean_ms,rel_sd,GBs,frac_of_900,relerr
float,32,32,8192,NoTrans,0.01587,0.01586,0.0081,2246.1,2.496,0.00e+00
double,32,32,8192,NoTrans,0.07324,0.07324,0.0023,973.6,1.082,0.00e+00
cfloat,32,32,8192,NoTrans,0.06183,0.06184,0.0014,1153.1,1.281,0.00e+00
cdouble,32,32,8192,NoTrans,0.16328,0.16331,0.0022,873.4,0.970,0.00e+00
float,32,32,8192,Trans,0.02164,0.02164,0.0042,1647.3,1.830,0.00e+00
double,32,32,8192,Trans,0.06603,0.06602,0.0017,1079.8,1.200,0.00e+00
cfloat,32,32,8192,Trans,0.06946,0.06941,0.0034,1026.5,1.141,0.00e+00
cdouble,32,32,8192,Trans,0.15421,0.17693,0.3292,924.7,1.027,0.00e+00
float,64,64,4096,NoTrans,0.02180,0.02174,0.0078,3174.9,3.528,0.00e+00
double,64,64,4096,NoTrans,0.15093,0.15093,0.0017,917.1,1.019,0.00e+00
cfloat,64,64,4096,NoTrans,0.14842,0.14844,0.0012,932.6,1.036,0.00e+00
cdouble,64,64,4096,NoTrans,0.28820,0.28828,0.0012,960.5,1.067,0.00e+00
float,64,64,4096,Trans,0.06785,0.06785,0.0018,1020.0,1.133,0.00e+00
double,64,64,4096,Trans,0.14777,0.14783,0.0013,936.7,1.041,0.00e+00
cfloat,64,64,4096,Trans,0.14846,0.14846,0.0011,932.3,1.036,0.00e+00
cdouble,64,64,4096,Trans,0.29110,0.29115,0.0013,951.0,1.057,0.00e+00
float,128,128,2048,NoTrans,0.15233,0.15230,0.0017,894.9,0.994,0.00e+00
double,128,128,2048,NoTrans,0.29056,0.31340,0.1871,938.3,1.043,0.00e+00
cfloat,128,128,2048,NoTrans,0.29592,0.31959,0.1897,921.3,1.024,0.00e+00
cdouble,128,128,2048,NoTrans,0.59055,0.59069,0.0014,923.3,1.026,0.00e+00
float,128,128,2048,Trans,0.15191,0.15253,0.0075,897.3,0.997,0.00e+00
double,128,128,2048,Trans,0.28963,0.28982,0.0019,941.3,1.046,0.00e+00
cfloat,128,128,2048,Trans,0.28882,0.28883,0.0004,943.9,1.049,0.00e+00
cdouble,128,128,2048,Trans,0.59402,0.59429,0.0018,917.9,1.020,0.00e+00
float,256,256,1024,NoTrans,0.29427,0.29431,0.0006,919.3,1.021,0.00e+00
double,256,256,1024,NoTrans,0.58023,0.58027,0.0008,932.5,1.036,0.00e+00
cfloat,256,256,1024,NoTrans,0.57757,0.60173,0.1018,936.8,1.041,0.00e+00
cdouble,256,256,1024,NoTrans,1.15497,1.17869,0.0520,936.9,1.041,0.00e+00
float,256,256,1024,Trans,0.29456,0.29461,0.0007,918.4,1.020,0.00e+00
double,256,256,1024,Trans,0.56996,0.57040,0.0020,949.3,1.055,0.00e+00
cfloat,256,256,1024,Trans,0.58064,0.58079,0.0011,931.8,1.035,0.00e+00
cdouble,256,256,1024,Trans,3.35200,3.37292,0.0260,322.8,0.359,0.00e+00
float,512,512,512,NoTrans,0.57497,0.57487,0.0008,937.4,1.042,0.00e+00
double,512,512,512,NoTrans,1.14062,1.14090,0.0007,945.0,1.050,0.00e+00
cfloat,512,512,512,NoTrans,1.13729,1.13725,0.0001,947.8,1.053,0.00e+00
cdouble,512,512,512,NoTrans,2.27871,2.31110,0.0368,946.1,1.051,0.00e+00
float,512,512,512,Trans,0.57709,0.57700,0.0009,933.9,1.038,0.00e+00
double,512,512,512,Trans,1.12745,1.12753,0.0003,956.1,1.062,0.00e+00
cfloat,512,512,512,Trans,1.14352,1.16746,0.0526,942.6,1.047,0.00e+00
cdouble,512,512,512,Trans,2.32556,2.37635,0.0453,927.0,1.030,0.00e+00
float,1024,1024,256,NoTrans,1.13555,1.16352,0.0528,947.4,1.053,0.00e+00
double,1024,1024,256,NoTrans,2.28925,2.32048,0.0351,939.9,1.044,0.00e+00
cfloat,1024,1024,256,NoTrans,2.25789,2.29137,0.0382,953.0,1.059,0.00e+00
cdouble,1024,1024,256,NoTrans,4.51708,4.59813,0.0449,952.7,1.059,0.00e+00
float,1024,1024,256,Trans,1.12908,1.12908,0.0004,952.8,1.059,0.00e+00
double,1024,1024,256,Trans,2.24553,2.27445,0.0326,958.2,1.065,0.00e+00
cfloat,1024,1024,256,Trans,2.26436,2.29511,0.0347,950.2,1.056,0.00e+00
cdouble,1024,1024,256,Trans,4.60243,4.68464,0.0455,935.0,1.039,0.00e+00
float,2048,2048,128,NoTrans,2.25701,2.28938,0.0367,952.4,1.058,0.00e+00
double,2048,2048,128,NoTrans,4.55001,4.62097,0.0363,944.9,1.050,0.00e+00
cfloat,2048,2048,128,NoTrans,4.49717,4.57195,0.0372,956.0,1.062,0.00e+00
cdouble,2048,2048,128,NoTrans,9.57552,9.76415,0.0280,897.9,0.998,0.00e+00
float,2048,2048,128,Trans,2.24408,2.27307,0.0327,957.9,1.064,0.00e+00
double,2048,2048,128,Trans,4.48614,4.55496,0.0301,958.3,1.065,0.00e+00
cfloat,2048,2048,128,Trans,4.48430,4.54760,0.0299,958.7,1.065,0.00e+00
cdouble,2048,2048,128,Trans,9.29369,9.43340,0.0268,925.2,1.028,0.00e+00
float,64,64,8192,NoTrans,0.15581,0.15587,0.0013,888.4,0.987,0.00e+00
double,64,64,8192,NoTrans,0.28966,0.28965,0.0005,955.7,1.062,0.00e+00
cfloat,64,64,8192,NoTrans,0.28893,0.28898,0.0014,958.1,1.065,0.00e+00
cdouble,64,64,8192,NoTrans,0.57171,0.57183,0.0007,968.4,1.076,0.00e+00
float,64,64,8192,Trans,0.14799,0.14801,0.0007,935.3,1.039,0.00e+00
double,64,64,8192,Trans,0.28902,0.28902,0.0004,957.8,1.064,0.00e+00
cfloat,64,64,8192,Trans,0.28736,0.31858,0.1991,963.3,1.070,0.00e+00
cdouble,64,64,8192,Trans,0.56945,0.56947,0.0004,972.3,1.080,0.00e+00
float,2048,2048,64,NoTrans,1.13367,1.15775,0.0540,948.1,1.053,0.00e+00
double,2048,2048,64,NoTrans,2.28403,2.31834,0.0383,941.1,1.046,0.00e+00
cfloat,2048,2048,64,NoTrans,2.25386,2.28561,0.0362,953.7,1.060,0.00e+00
cdouble,2048,2048,64,NoTrans,4.80340,4.86621,0.0237,895.0,0.994,0.00e+00
float,2048,2048,64,Trans,1.12586,1.12591,0.0003,954.6,1.061,0.00e+00
double,2048,2048,64,Trans,2.24662,2.27515,0.0321,956.8,1.063,0.00e+00
cfloat,2048,2048,64,Trans,2.24457,2.27338,0.0326,957.7,1.064,0.00e+00
cdouble,2048,2048,64,Trans,4.65290,4.73199,0.0262,924.0,1.027,0.00e+00
float,2048,64,1024,NoTrans,0.59249,0.59258,0.0005,920.7,1.023,0.00e+00
double,2048,64,1024,NoTrans,1.13440,1.15948,0.0554,961.8,1.069,0.00e+00
cfloat,2048,64,1024,NoTrans,1.13403,1.13414,0.0004,962.1,1.069,0.00e+00
cdouble,2048,64,1024,NoTrans,2.34546,2.37774,0.0351,930.3,1.034,0.00e+00
float,2048,64,1024,Trans,0.57792,0.57792,0.0006,943.9,1.049,0.00e+00
double,2048,64,1024,Trans,1.12702,1.13852,0.0366,968.1,1.076,0.00e+00
cfloat,2048,64,1024,Trans,1.14868,1.17356,0.0545,949.8,1.055,0.00e+00
cdouble,2048,64,1024,Trans,2.36400,2.39618,0.0344,923.0,1.026,0.00e+00
float,64,2048,1024,NoTrans,0.57812,0.57815,0.0005,943.6,1.048,0.00e+00
double,64,2048,1024,NoTrans,1.15102,1.15068,0.0009,947.9,1.053,0.00e+00
cfloat,64,2048,1024,NoTrans,1.12805,1.15196,0.0527,967.2,1.075,0.00e+00
cdouble,64,2048,1024,NoTrans,2.46820,2.52386,0.0469,884.1,0.982,0.00e+00
float,64,2048,1024,Trans,0.56897,0.56893,0.0005,958.8,1.065,0.00e+00
double,64,2048,1024,Trans,1.12549,1.12563,0.0005,969.4,1.077,0.00e+00
cfloat,64,2048,1024,Trans,1.13219,1.13237,0.0003,963.7,1.071,0.00e+00
cdouble,64,2048,1024,Trans,5.74857,5.87804,0.0543,379.6,0.422,0.00e+00
float,32,32,65536,NoTrans,0.29050,0.29056,0.0009,981.8,1.091,0.00e+00
double,32,32,65536,NoTrans,0.57449,0.57454,0.0006,992.9,1.103,0.00e+00
cfloat,32,32,65536,NoTrans,0.57570,0.60169,0.1105,990.8,1.101,0.00e+00
cdouble,32,32,65536,NoTrans,1.24152,1.26537,0.0482,918.9,1.021,0.00e+00
float,32,32,65536,Trans,0.28997,0.28992,0.0005,983.6,1.093,0.00e+00
double,32,32,65536,Trans,0.57573,0.57640,0.0024,990.8,1.101,0.00e+00
cfloat,32,32,65536,Trans,0.58979,0.61338,0.1041,967.2,1.075,0.00e+00
cdouble,32,32,65536,Trans,1.23503,1.26200,0.0565,923.7,1.026,0.00e+00
float,64,64,16384,NoTrans,0.30425,0.30438,0.0014,909.9,1.011,0.00e+00
double,64,64,16384,NoTrans,0.57032,0.57080,0.0027,970.8,1.079,0.00e+00
cfloat,64,64,16384,NoTrans,0.57025,0.57051,0.0012,970.9,1.079,0.00e+00
cdouble,64,64,16384,NoTrans,1.13553,1.13540,0.0003,975.1,1.083,0.00e+00
float,64,64,16384,Trans,0.28710,0.28729,0.0019,964.2,1.071,0.00e+00
double,64,64,16384,Trans,0.56744,0.56741,0.0002,975.7,1.084,0.00e+00
cfloat,64,64,16384,Trans,0.56979,0.59340,0.1022,971.7,1.080,0.00e+00
cdouble,64,64,16384,Trans,1.13515,1.13526,0.0005,975.5,1.084,0.00e+00
