name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,GFLOPS,Time (µs) / matrix
"(BM_GEMM<float, batchlas::Backend::CUDA>)",128,1024,128,512,227,1.32226,0.0210404,12992.9,2.58253
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,227,1.3247,0.0226208,12968.9,2.58731
