arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,256,256,1,C,vendor:auto,0.01084,0.01078,0.0199,97.5,0.103,0.00e+00,256
native:cta,cdouble,256,256,1,C,native:cta,0.00828,0.00827,0.0151,127.6,0.134,0.00e+00,256
vendor,cdouble,256,256,8,C,vendor:auto,0.01214,0.01212,0.0096,696.1,0.733,0.00e+00,256
native:cta,cdouble,256,256,8,C,native:cta,0.01311,0.01314,0.0122,645.0,0.679,0.00e+00,256
vendor,cdouble,256,256,32,C,vendor:auto,0.02261,0.02263,0.0082,1495.6,1.574,0.00e+00,256
native:cta,cdouble,256,256,32,C,native:cta,0.03024,0.03024,0.0027,1118.1,1.177,0.00e+00,256
vendor,cdouble,256,256,64,C,vendor:auto,0.05734,0.07495,0.6497,1179.5,1.242,0.00e+00,256
native:cta,cdouble,256,256,64,C,native:cta,0.05439,0.05437,0.0016,1243.6,1.309,0.00e+00,256
vendor,cdouble,256,256,128,C,vendor:auto,0.15540,0.15534,0.0034,870.5,0.916,0.00e+00,256
native:cta,cdouble,256,256,128,C,native:cta,0.15549,0.15563,0.0044,870.0,0.916,0.00e+00,256
vendor,cdouble,256,256,256,C,vendor:auto,0.29593,0.29594,0.0016,914.2,0.962,0.00e+00,256
native:cta,cdouble,256,256,256,C,native:cta,0.29910,0.29929,0.0015,904.5,0.952,0.00e+00,256
vendor,cdouble,256,256,512,C,vendor:auto,1.66990,1.67029,0.0078,324.0,0.341,0.00e+00,256
native:cta,cdouble,256,256,512,C,native:cta,0.58634,0.58631,0.0014,922.8,0.971,0.00e+00,256
vendor,cdouble,256,256,1024,C,vendor:auto,3.51101,3.54999,0.0291,308.2,0.324,0.00e+00,256
native:cta,cdouble,256,256,1024,C,native:cta,1.16203,1.16159,0.0014,931.2,0.980,0.00e+00,256
vendor,cdouble,256,256,2048,C,vendor:auto,7.06888,7.20579,0.0324,306.2,0.322,0.00e+00,256
native:cta,cdouble,256,256,2048,C,native:cta,2.31062,2.36328,0.0429,936.7,0.986,0.00e+00,256
vendor,cdouble,64,2048,1,C,vendor:auto,0.01103,0.01107,0.0102,193.1,0.203,0.00e+00,64
native:cta,cdouble,64,2048,1,C,native:cta,0.00913,0.00915,0.0064,233.4,0.246,0.00e+00,64
vendor,cdouble,64,2048,8,C,vendor:auto,0.01675,0.01687,0.0212,1017.8,1.071,0.00e+00,64
native:cta,cdouble,64,2048,8,C,native:cta,0.03023,0.03021,0.0030,563.9,0.594,0.00e+00,64
vendor,cdouble,64,2048,32,C,vendor:auto,0.03698,0.03695,0.0072,1844.2,1.941,0.00e+00,64
native:cta,cdouble,64,2048,32,C,native:cta,0.10215,0.10228,0.0029,667.6,0.703,0.00e+00,64
vendor,cdouble,64,2048,64,C,vendor:auto,0.39270,0.39310,0.0035,347.3,0.366,0.00e+00,64
native:cta,cdouble,64,2048,64,C,native:cta,0.19941,0.19940,0.0007,683.9,0.720,0.00e+00,64
vendor,cdouble,64,2048,128,C,vendor:auto,0.79245,0.79326,0.0039,344.2,0.362,0.00e+00,64
native:cta,cdouble,64,2048,128,C,native:cta,0.39108,0.39115,0.0011,697.5,0.734,0.00e+00,64
vendor,cdouble,64,2048,256,C,vendor:auto,1.56774,1.56394,0.0064,348.0,0.366,0.00e+00,64
native:cta,cdouble,64,2048,256,C,native:cta,0.77426,0.79178,0.0624,704.6,0.742,0.00e+00,64
vendor,cdouble,64,2048,512,C,vendor:auto,3.06656,3.11310,0.0385,355.8,0.375,0.00e+00,64
native:cta,cdouble,64,2048,512,C,native:cta,1.53952,1.57709,0.0449,708.7,0.746,0.00e+00,64
vendor,cdouble,64,2048,1024,C,vendor:auto,6.10306,6.24645,0.0474,357.5,0.376,0.00e+00,64
native:cta,cdouble,64,2048,1024,C,native:cta,3.07169,3.12047,0.0300,710.4,0.748,0.00e+00,64
vendor,cdouble,64,2048,2048,C,vendor:auto,12.42305,12.47054,0.0287,351.3,0.370,0.00e+00,64
native:cta,cdouble,64,2048,2048,C,native:cta,6.13428,6.24243,0.0284,711.4,0.749,0.00e+00,64
