arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,128,512,64,C,vendor:auto,0.03849,0.03833,0.0175,1760.7,1.853,0.00e+00,128
native:cta,cdouble,128,512,64,C,native:cta,0.07073,0.07065,0.0018,958.1,1.009,0.00e+00,128
vendor,cdouble,128,512,128,C,vendor:auto,0.15116,0.15100,0.0020,896.6,0.944,0.00e+00,128
native:cta,cdouble,128,512,128,C,native:cta,0.15686,0.15682,0.0041,864.0,0.910,0.00e+00,128
vendor,cdouble,128,512,256,C,vendor:auto,0.29338,0.29343,0.0011,923.9,0.973,0.00e+00,128
native:cta,cdouble,128,512,256,C,native:cta,0.30152,0.30165,0.0028,899.0,0.946,0.00e+00,128
vendor,cdouble,128,512,512,C,vendor:auto,1.64033,1.67319,0.0477,330.5,0.348,0.00e+00,128
native:cta,cdouble,128,512,512,C,native:cta,0.59030,0.59021,0.0007,918.4,0.967,0.00e+00,128
vendor,cdouble,64,256,128,C,vendor:auto,0.02445,0.02458,0.0166,1399.3,1.473,0.00e+00,64
native:cta,cdouble,64,256,128,C,native:cta,0.05375,0.05377,0.0019,636.4,0.670,0.00e+00,64
vendor,cdouble,64,256,256,C,vendor:auto,0.10431,0.10398,0.0080,655.9,0.690,0.00e+00,64
native:cta,cdouble,64,256,256,C,native:cta,0.10181,0.10178,0.0015,672.0,0.707,0.00e+00,64
vendor,cdouble,64,256,512,C,vendor:auto,0.32790,0.32850,0.0038,417.3,0.439,0.00e+00,64
native:cta,cdouble,64,256,512,C,native:cta,0.19944,0.19946,0.0009,686.1,0.722,0.00e+00,64
vendor,cdouble,64,256,1024,C,vendor:auto,0.73479,0.77324,0.0947,372.5,0.392,0.00e+00,64
native:cta,cdouble,64,256,1024,C,native:cta,0.39194,0.39237,0.0033,698.3,0.735,0.00e+00,64
