arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,192,64,5086,C,vendor:auto,1.08125,1.10369,0.0592,944.1,0.994,0.00e+00,192
native:cta,cdouble,192,64,5086,C,native:cta,1.09817,1.13788,0.0659,929.5,0.978,0.00e+00,192
vendor,cdouble,192,128,2543,C,vendor:auto,1.20572,1.24669,0.0647,840.1,0.884,0.00e+00,192
native:cta,cdouble,192,128,2543,C,native:cta,1.08997,1.12912,0.0657,929.4,0.978,0.00e+00,192
vendor,cdouble,192,256,1271,C,vendor:auto,3.19921,3.23311,0.0301,315.3,0.332,0.00e+00,192
native:cta,cdouble,192,256,1271,C,native:cta,1.08441,1.08436,0.0004,930.1,0.979,0.00e+00,192
vendor,cdouble,192,512,635,C,vendor:auto,3.20923,3.26407,0.0327,313.4,0.330,0.00e+00,192
native:cta,cdouble,192,512,635,C,native:cta,1.08206,1.08197,0.0006,929.6,0.979,0.00e+00,192
vendor,cdouble,192,1024,317,C,vendor:auto,3.23016,3.27396,0.0302,310.6,0.327,0.00e+00,192
native:cta,cdouble,192,1024,317,C,native:cta,1.07921,1.11922,0.0671,929.7,0.979,0.00e+00,192
vendor,cdouble,192,2048,158,C,vendor:auto,3.20636,3.25935,0.0373,311.8,0.328,0.00e+00,192
native:cta,cdouble,192,2048,158,C,native:cta,1.07501,1.07521,0.0005,930.0,0.979,0.00e+00,192
vendor,cdouble,256,64,3814,C,vendor:auto,1.06454,1.06461,0.0013,957.5,1.008,0.00e+00,256
native:cta,cdouble,256,64,3814,C,native:cta,1.09492,1.09516,0.0009,931.0,0.980,0.00e+00,256
vendor,cdouble,256,128,1907,C,vendor:auto,1.16115,1.16162,0.0053,871.1,0.917,0.00e+00,256
native:cta,cdouble,256,128,1907,C,native:cta,1.08700,1.08696,0.0007,930.6,0.980,0.00e+00,256
vendor,cdouble,256,256,953,C,vendor:auto,3.25540,3.30580,0.0352,309.4,0.326,0.00e+00,256
native:cta,cdouble,256,256,953,C,native:cta,1.08177,1.08176,0.0007,931.0,0.980,0.00e+00,256
vendor,cdouble,256,512,476,C,vendor:auto,3.27470,3.31207,0.0323,306.6,0.323,0.00e+00,256
native:cta,cdouble,256,512,476,C,native:cta,1.07941,1.11879,0.0670,930.2,0.979,0.00e+00,256
vendor,cdouble,256,1024,238,C,vendor:auto,3.27133,3.32344,0.0340,306.6,0.323,0.00e+00,256
native:cta,cdouble,256,1024,238,C,native:cta,1.07809,1.09969,0.0555,930.5,0.979,0.00e+00,256
vendor,cdouble,256,2048,128,C,vendor:auto,3.49900,3.54990,0.0295,308.2,0.324,0.00e+00,256
native:cta,cdouble,256,2048,128,C,native:cta,1.15776,1.15741,0.0007,931.5,0.981,0.00e+00,256
vendor,cdouble,320,64,3051,C,vendor:auto,1.18393,1.18452,0.0055,860.3,0.906,0.00e+00,320
native:cta,cdouble,320,64,3051,C,native:cta,1.09179,1.09182,0.0007,932.9,0.982,0.00e+00,320
vendor,cdouble,320,128,1525,C,vendor:auto,1.23108,1.23266,0.0064,820.7,0.864,0.00e+00,320
native:cta,cdouble,320,128,1525,C,native:cta,1.08245,1.08266,0.0007,933.4,0.983,0.00e+00,320
vendor,cdouble,320,256,762,C,vendor:auto,3.27380,3.31787,0.0333,307.2,0.323,0.00e+00,320
native:cta,cdouble,320,256,762,C,native:cta,1.07873,1.09675,0.0466,932.4,0.981,0.00e+00,320
vendor,cdouble,320,512,381,C,vendor:auto,3.28875,3.32847,0.0341,305.2,0.321,0.00e+00,320
native:cta,cdouble,320,512,381,C,native:cta,1.07625,1.07595,0.0011,932.7,0.982,0.00e+00,320
vendor,cdouble,320,1024,190,C,vendor:auto,3.25464,3.30597,0.0350,307.3,0.324,0.00e+00,320
native:cta,cdouble,320,1024,190,C,native:cta,1.07193,1.09007,0.0478,933.1,0.982,0.00e+00,320
vendor,cdouble,320,2048,128,C,vendor:auto,4.40126,4.45954,0.0464,306.1,0.322,0.00e+00,320
native:cta,cdouble,320,2048,128,C,native:cta,1.44009,1.44019,0.0010,935.4,0.985,0.00e+00,320
vendor,cdouble,384,64,2543,C,vendor:auto,1.26797,1.29301,0.0535,803.0,0.845,0.00e+00,384
native:cta,cdouble,384,64,2543,C,native:cta,1.09111,1.09024,0.0013,933.2,0.982,0.00e+00,384
