arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,float,64,64,4096,N,vendor:auto,0.02218,0.02284,0.0564,3119.9,3.284,0.00e+00,64
native:direct,float,64,64,4096,N,native:direct,0.01966,0.01976,0.0112,3520.3,3.706,0.00e+00,64
vendor,double,64,64,4096,N,vendor:auto,0.14966,0.14958,0.0014,924.8,0.973,0.00e+00,64
native:direct,double,64,64,4096,N,native:direct,0.15542,0.15539,0.0028,890.5,0.937,0.00e+00,64
vendor,cfloat,64,64,4096,N,vendor:auto,0.14843,0.14854,0.0023,932.5,0.982,0.00e+00,64
native:direct,cfloat,64,64,4096,N,native:direct,0.15515,0.15525,0.0020,892.1,0.939,0.00e+00,64
vendor,cdouble,64,64,4096,N,vendor:auto,0.29359,0.29359,0.0013,942.9,0.993,0.00e+00,64
native:direct,cdouble,64,64,4096,N,native:direct,0.30946,0.30963,0.0070,894.5,0.942,0.00e+00,64
vendor,float,64,64,4096,T,vendor:auto,0.06137,0.06142,0.0041,1127.6,1.187,0.00e+00,64
native:direct,float,64,64,4096,T,native:direct,0.05463,0.05521,0.0326,1266.8,1.333,0.00e+00,64
native:cta,float,64,64,4096,T,native:cta,0.04093,0.04094,0.0038,1690.7,1.780,0.00e+00,64
vendor,double,64,64,4096,T,vendor:auto,0.14814,0.14846,0.0040,934.3,0.984,0.00e+00,64
native:direct,double,64,64,4096,T,native:direct,0.27438,0.27419,0.0019,504.4,0.531,0.00e+00,64
native:cta,double,64,64,4096,T,native:cta,0.15404,0.15397,0.0017,898.5,0.946,0.00e+00,64
vendor,cfloat,64,64,4096,T,vendor:auto,0.15201,0.15214,0.0042,910.6,0.958,0.00e+00,64
native:direct,cfloat,64,64,4096,T,native:direct,0.27003,0.27033,0.0036,512.6,0.540,0.00e+00,64
native:cta,cfloat,64,64,4096,T,native:cta,0.15336,0.15352,0.0030,902.5,0.950,0.00e+00,64
vendor,cdouble,64,64,4096,T,vendor:auto,0.29354,0.29350,0.0010,943.1,0.993,0.00e+00,64
native:direct,cdouble,64,64,4096,T,native:direct,1.06580,1.10975,0.0680,259.7,0.273,0.00e+00,64
native:cta,cdouble,64,64,4096,T,native:cta,0.39004,0.39134,0.0091,709.7,0.747,0.00e+00,64
vendor,float,64,64,4096,C,vendor:auto,0.05868,0.05882,0.0052,1179.4,1.242,0.00e+00,64
native:direct,float,64,64,4096,C,native:direct,0.06098,0.06031,0.0310,1134.9,1.195,0.00e+00,64
native:cta,float,64,64,4096,C,native:cta,0.04024,0.04024,0.0010,1719.8,1.810,0.00e+00,64
vendor,double,64,64,4096,C,vendor:auto,0.14890,0.14891,0.0019,929.6,0.978,0.00e+00,64
native:direct,double,64,64,4096,C,native:direct,0.27388,0.27441,0.0059,505.4,0.532,0.00e+00,64
native:cta,double,64,64,4096,C,native:cta,0.15485,0.15488,0.0014,893.9,0.941,0.00e+00,64
vendor,cfloat,64,64,4096,C,vendor:auto,0.13333,0.13331,0.0009,1038.1,1.093,0.00e+00,64
