arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,48,64,20345,C,vendor:auto,1.05902,1.05900,0.0003,978.7,1.030,0.00e+00,48
native:cta,cdouble,48,64,20345,C,native:cta,2.22937,2.22927,0.0003,464.9,0.489,0.00e+00,48
vendor,cdouble,48,128,10172,C,vendor:auto,1.27898,1.34482,0.0853,804.2,0.847,0.00e+00,48
native:cta,cdouble,48,128,10172,C,native:cta,2.23424,2.25284,0.0238,460.4,0.485,0.00e+00,48
vendor,cdouble,48,256,5086,C,vendor:auto,1.39956,1.42454,0.0969,732.1,0.771,0.00e+00,48
native:cta,cdouble,48,256,5086,C,native:cta,2.23492,2.28914,0.0458,458.5,0.483,0.00e+00,48
vendor,cdouble,48,512,2543,C,vendor:auto,1.24040,1.28257,0.0743,824.5,0.868,0.00e+00,48
native:cta,cdouble,48,512,2543,C,native:cta,2.23433,2.24786,0.0137,457.7,0.482,0.00e+00,48
vendor,cdouble,48,1024,1271,C,vendor:auto,1.31401,1.37064,0.0901,777.3,0.818,0.00e+00,48
native:cta,cdouble,48,1024,1271,C,native:cta,2.23355,2.23426,0.0007,457.3,0.481,0.00e+00,48
vendor,cdouble,48,2048,635,C,vendor:auto,2.22361,2.23335,0.0148,458.7,0.483,0.00e+00,48
native:cta,cdouble,48,2048,635,C,native:cta,2.22856,2.27917,0.0424,457.7,0.482,0.00e+00,48
vendor,cdouble,64,64,15258,C,vendor:auto,1.05702,1.05701,0.0003,975.6,1.027,0.00e+00,64
native:cta,cdouble,64,64,15258,C,native:cta,1.43094,1.43079,0.0005,720.6,0.759,0.00e+00,64
vendor,cdouble,64,128,7629,C,vendor:auto,2.71687,2.77220,0.0392,376.7,0.397,0.00e+00,64
native:cta,cdouble,64,128,7629,C,native:cta,1.43242,1.47144,0.0501,714.4,0.752,0.00e+00,64
vendor,cdouble,64,256,3814,C,vendor:auto,2.71886,2.73905,0.0243,374.9,0.395,0.00e+00,64
native:cta,cdouble,64,256,3814,C,native:cta,1.43286,1.47370,0.0517,711.4,0.749,0.00e+00,64
vendor,cdouble,64,512,1907,C,vendor:auto,2.71265,2.77626,0.0432,375.1,0.395,0.00e+00,64
